,how,many,examination,boards,exist,in,india,?
among,0.24921207129955292,0.4631800651550293,0.11874493956565857,0.17407457530498505,0.22471867501735687,0.3211768567562103,0.2116759568452835,0.14343059062957764
other,0.3591516315937042,0.6324484348297119,0.2184089869260788,0.3111380636692047,0.388637900352478,0.39989137649536133,0.22591955959796906,0.24682199954986572
things,0.6059117913246155,0.481106162071228,0.2059060037136078,0.32253915071487427,0.3321707546710968,0.2694495618343353,0.18179628252983093,0.36181706190109253
",",0.22659391164779663,0.40610817074775696,0.20730465650558472,0.22328053414821625,0.2977049946784973,0.5201468467712402,0.2621418535709381,0.31091248989105225
this,0.45272302627563477,0.43532639741897583,0.31534090638160706,0.1529870182275772,0.3270557224750519,0.45205554366111755,0.24712157249450684,0.3155723512172699
has,0.26820555329322815,0.4266262650489807,0.16850291192531586,0.15822733938694,0.26075437664985657,0.4173259735107422,0.18690930306911469,0.15994466841220856
also,0.43506327271461487,0.6258217096328735,0.23326623439788818,0.266073077917099,0.30290597677230835,0.5073733329772949,0.27483993768692017,0.21848613023757935
resulted,0.2043834775686264,0.2667960226535797,0.2386162430047989,0.17761026322841644,0.1380893886089325,0.3197503983974457,0.29303380846977234,0.1391388475894928
in,0.2601168751716614,0.41474202275276184,0.2262410968542099,0.15385428071022034,0.2361043095588684,1.0,0.27070173621177673,0.20430970191955566
30,-0.0035910264123231173,0.09108389914035797,-0.011200490407645702,0.06839051097631454,0.07887525856494904,-0.005278158001601696,0.018085472285747528,-0.08261742442846298
different,0.411273330450058,0.6061229109764099,0.22158916294574738,0.2859761416912079,0.4011842906475067,0.29409363865852356,0.2182159423828125,0.24476227164268494
examination,0.26654526591300964,0.2015807032585144,1.0,0.23407171666622162,0.2118833065032959,0.2262410968542099,0.18528112769126892,0.18956318497657776
boards,0.20695258677005768,0.2592203915119171,0.23407171666622162,0.9999999403953552,0.17491529881954193,0.15385428071022034,0.14329922199249268,0.14005763828754425
or,0.3378981947898865,0.36905089020729065,0.2792758643627167,0.30493858456611633,0.3274376392364502,0.3586423695087433,0.23156854510307312,0.32389625906944275
academic,0.144212007522583,0.2163168489933014,0.3049851357936859,0.15550972521305084,0.16079658269882202,0.1914365142583847,0.20100583136081696,0.11011603474617004
authorities,0.17469049990177155,0.32346704602241516,0.2906409204006195,0.26444709300994873,0.21641004085540771,0.2868952453136444,0.20645743608474731,0.17285770177841187
that,0.557814359664917,0.5391656160354614,0.2991906702518463,0.22272895276546478,0.42369726300239563,0.435920387506485,0.23341698944568634,0.32716336846351624
conduct,0.19928500056266785,0.2270473688840866,0.3355632424354553,0.15620674192905426,0.14245396852493286,0.2630637288093567,0.14336585998535156,0.10856030136346817
examinations,0.277308851480484,0.3005061447620392,0.9399914145469666,0.3166441321372986,0.24783854186534882,0.2401610016822815,0.21196502447128296,0.18493600189685822
for,0.3308170735836029,0.40972793102264404,0.2980543375015259,0.20032478868961334,0.23112118244171143,0.4322226941585541,0.19895431399345398,0.264628142118454
school,0.11585085093975067,0.20931920409202576,0.3482305109500885,0.24734584987163544,0.09875818341970444,0.26157811284065247,0.16354452073574066,0.15091250836849213
leaving,0.18475092947483063,0.17414532601833344,0.2001550942659378,0.2017507404088974,0.2022423893213272,0.2724153697490692,0.09296149015426636,0.11571593582630157
certificates,0.2081661969423294,0.22886450588703156,0.43608036637306213,0.23183153569698334,0.18150214850902557,0.20634618401527405,0.18993514776229858,0.2220875322818756
.,0.3287222981452942,0.3974229395389557,0.2085641622543335,0.20199787616729736,0.29937607049942017,0.5591574311256409,0.29068249464035034,0.4130953550338745
