,who,is,the,head,coach,of,the,broncos,?
following,0.1758657693862915,0.21705439686775208,0.39779382944107056,0.14337530732154846,0.15365993976593018,0.3576679527759552,0.39779382944107056,0.1433044970035553,0.1555173695087433
their,0.3767721951007843,0.2101074606180191,0.516537070274353,0.19489040970802307,0.14400330185890198,0.4329940676689148,0.516537070274353,0.2565864324569702,0.1898253709077835
loss,0.10800512880086899,0.1968395859003067,0.27898719906806946,0.15944170951843262,0.1634645313024521,0.26357072591781616,0.27898719906806946,0.21052643656730652,0.1312553584575653
in,0.2792111933231354,0.5394441485404968,0.6662389636039734,0.21927717328071594,0.1651318073272705,0.5696388483047485,0.6662389636039734,0.20316283404827118,0.20430970191955566
the,0.3733934462070465,0.5823672413825989,1.0,0.3079071640968323,0.14297698438167572,0.733189046382904,1.0,0.25985947251319885,0.22068053483963013
divisional,0.12287947535514832,0.18589705228805542,0.29866886138916016,0.14744974672794342,0.16330519318580627,0.3047286868095398,0.29866886138916016,0.32206958532333374,0.08093056827783585
round,0.14290806651115417,0.13961920142173767,0.19933617115020752,0.19881977140903473,0.14596354961395264,0.15754494071006775,0.19933617115020752,0.2565499246120453,0.17003268003463745
of,0.2827862501144409,0.4854315221309662,0.733189046382904,0.2945564389228821,0.144924595952034,1.0,0.733189046382904,0.19310332834720612,0.1826142966747284
the,0.3733934462070465,0.5823672413825989,1.0,0.3079071640968323,0.14297698438167572,0.733189046382904,1.0,0.25985947251319885,0.22068053483963013
previous,0.1923418641090393,0.18159280717372894,0.34706559777259827,0.13634024560451508,0.12951135635375977,0.2892087996006012,0.34706559777259827,0.18558572232723236,0.16724538803100586
season,0.13809308409690857,0.1786249428987503,0.2507155239582062,0.1542927622795105,0.24411138892173767,0.1598338931798935,0.2507155239582062,0.3664494454860687,0.16793298721313477
's,0.05599616840481758,0.02396530658006668,-0.01540423184633255,-0.041913021355867386,-0.02642884850502014,-0.03817026689648628,-0.01540423184633255,-0.037254199385643005,-0.023395681753754616
playoffs,0.1687159389257431,0.10962127894163132,0.21945282816886902,0.16539110243320465,0.30679038166999817,0.1136602908372879,0.21945282816886902,0.45545321702957153,0.17343482375144958
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.2711189091205597,0.2760384678840637,0.4946078956127167,0.4933079481124878,0.2558487057685852,0.31091248989105225
the,0.3733934462070465,0.5823672413825989,1.0,0.3079071640968323,0.14297698438167572,0.733189046382904,1.0,0.25985947251319885,0.22068053483963013
denver,0.20955970883369446,0.14918014407157898,0.2052404284477234,0.19997245073318481,0.29413852095603943,0.14595118165016174,0.2052404284477234,0.5774994492530823,0.1520889848470688
broncos,0.1763724684715271,0.1288805603981018,0.25985947251319885,0.2802664041519165,0.40552663803100586,0.19310332834720612,0.25985947251319885,1.0000001192092896,0.18377114832401276
underwent,0.169152170419693,0.23961056768894196,0.33590078353881836,0.17947538197040558,0.07083319872617722,0.236332967877388,0.33590078353881836,0.22430793941020966,0.12751154601573944
numerous,0.24434210360050201,0.14785398542881012,0.3353725075721741,0.1484152227640152,0.07306059449911118,0.3024154603481293,0.3353725075721741,0.10706484317779541,0.0875130444765091
coaching,0.1874576061964035,0.08991540968418121,0.21933473646640778,0.32347261905670166,0.7631375193595886,0.23815426230430603,0.21933473646640778,0.45415008068084717,0.18237164616584778
changes,0.20586563646793365,0.23356598615646362,0.3427845537662506,0.15704670548439026,0.09272276610136032,0.25827232003211975,0.3427845537662506,0.14588016271591187,0.21264225244522095
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.2711189091205597,0.2760384678840637,0.4946078956127167,0.4933079481124878,0.2558487057685852,0.31091248989105225
including,0.2835840582847595,0.25093933939933777,0.3738902807235718,0.1213342696428299,0.10371776670217514,0.44195112586021423,0.3738902807235718,0.19476310908794403,0.1633303165435791
a,0.36608949303627014,0.658733606338501,0.5829201340675354,0.2807295620441437,0.16662418842315674,0.5052502155303955,0.5829201340675354,0.19771797955036163,0.23916715383529663
mutual,0.2736228406429291,0.1490507572889328,0.21255530416965485,0.06464860588312149,0.0739947035908699,0.22917376458644867,0.21255530416965485,0.1722354292869568,0.14322642982006073
parting,0.22303956747055054,0.17821966111660004,0.2963137626647949,0.1395207643508911,0.11676628142595291,0.22257444262504578,0.2963137626647949,0.23499689996242523,0.1695823073387146
with,0.3282766342163086,0.3250955045223236,0.4223487675189972,0.2096976488828659,0.2121175080537796,0.41827285289764404,0.4223487675189972,0.2245701551437378,0.2433311939239502
head,0.20998527109622955,0.23193342983722687,0.3079071640968323,0.9999998807907104,0.41754329204559326,0.2945564389228821,0.3079071640968323,0.2802664041519165,0.10879309475421906
coach,0.1715262234210968,0.1173417791724205,0.14297698438167572,0.41754329204559326,0.9999998807907104,0.144924595952034,0.14297698438167572,0.40552663803100586,0.11963751912117004
john,0.30388808250427246,0.16449548304080963,0.2230520099401474,0.15809836983680725,0.19683262705802917,0.2407056987285614,0.2230520099401474,0.2301175743341446,0.13162356615066528
fox,0.20670369267463684,0.16790051758289337,0.24760441482067108,0.07893308252096176,0.17076337337493896,0.13095848262310028,0.24760441482067108,0.3150620460510254,0.1670110523700714
(,0.2443375140428543,0.35393038392066956,0.33289089798927307,0.23052836954593658,0.2267160564661026,0.35032153129577637,0.33289089798927307,0.22258663177490234,0.40561532974243164
who,0.9999998807907104,0.24293622374534607,0.3733934462070465,0.20998527109622955,0.1715262234210968,0.2827862501144409,0.3733934462070465,0.1763724684715271,0.26220351457595825
had,0.36173108220100403,0.2932159900665283,0.3875846862792969,0.24529026448726654,0.1863328069448471,0.37755560874938965,0.3875846862792969,0.19590453803539276,0.20728366076946259
won,0.24654650688171387,0.1919313222169876,0.29432493448257446,0.15105806291103363,0.2705681324005127,0.20832067728042603,0.29432493448257446,0.29654255509376526,0.17925700545310974
four,0.1980169266462326,0.22331103682518005,0.40344667434692383,0.15748171508312225,0.14225079119205475,0.36293646693229675,0.40344667434692383,0.2302631437778473,0.14532537758350372
divisional,0.12287947535514832,0.18589705228805542,0.29866886138916016,0.14744974672794342,0.16330519318580627,0.3047286868095398,0.29866886138916016,0.32206958532333374,0.08093056827783585
championships,0.17288143932819366,0.15770557522773743,0.2617073357105255,0.14123131334781647,0.39409053325653076,0.2130236178636551,0.2617073357105255,0.42363396286964417,0.12499503791332245
in,0.2792111933231354,0.5394441485404968,0.6662389636039734,0.21927717328071594,0.1651318073272705,0.5696388483047485,0.6662389636039734,0.20316283404827118,0.20430970191955566
his,0.44966956973075867,0.24372583627700806,0.4394008219242096,0.2232082635164261,0.21406444907188416,0.38364991545677185,0.4394008219242096,0.22318051755428314,0.18075084686279297
four,0.1980169266462326,0.22331103682518005,0.40344667434692383,0.15748171508312225,0.14225079119205475,0.36293646693229675,0.40344667434692383,0.2302631437778473,0.14532537758350372
years,0.29867154359817505,0.19551363587379456,0.2912273406982422,0.11371049284934998,0.18034127354621887,0.2904134690761566,0.2912273406982422,0.24300086498260498,0.1914375126361847
as,0.3923053741455078,0.43216490745544434,0.48381632566452026,0.23658350110054016,0.1861812025308609,0.3886612355709076,0.48381632566452026,0.23052668571472168,0.27043893933296204
broncos,0.1763724684715271,0.1288805603981018,0.25985947251319885,0.2802664041519165,0.40552663803100586,0.19310332834720612,0.25985947251319885,1.0000001192092896,0.18377114832401276
head,0.20998527109622955,0.23193342983722687,0.3079071640968323,0.9999998807907104,0.41754329204559326,0.2945564389228821,0.3079071640968323,0.2802664041519165,0.10879309475421906
coach,0.1715262234210968,0.1173417791724205,0.14297698438167572,0.41754329204559326,0.9999998807907104,0.144924595952034,0.14297698438167572,0.40552663803100586,0.11963751912117004
),0.2457384318113327,0.37732169032096863,0.3456730246543884,0.24616102874279022,0.22604507207870483,0.3680361211299896,0.3456730246543884,0.20362429320812225,0.42300865054130554
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.2711189091205597,0.2760384678840637,0.4946078956127167,0.4933079481124878,0.2558487057685852,0.31091248989105225
and,0.41279885172843933,0.3859752118587494,0.5171257257461548,0.24040718376636505,0.2508825957775116,0.5116966962814331,0.5171257257461548,0.20959050953388214,0.20544172823429108
the,0.3733934462070465,0.5823672413825989,1.0,0.3079071640968323,0.14297698438167572,0.733189046382904,1.0,0.25985947251319885,0.22068053483963013
hiring,0.33406466245651245,0.08002030849456787,0.19678819179534912,0.169167160987854,0.1324983835220337,0.17499062418937683,0.19678819179534912,0.23447872698307037,0.18248823285102844
