,what,is,the,roman,numeral,for,50,?
on,0.34226128458976746,0.3635730445384979,0.5107308030128479,0.15509356558322906,0.14965574443340302,0.36199691891670227,0.05590687692165375,0.2714994251728058
june,0.2171148657798767,0.2469720095396042,0.24568822979927063,0.11824105679988861,0.13288360834121704,0.27836936712265015,-0.07331757992506027,0.31416764855384827
4,-0.04324747622013092,0.025936461985111237,0.15499350428581238,0.16189806163311005,0.03896896913647652,0.03985929489135742,0.022022679448127747,0.010515431873500347
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.26863154768943787,0.2385959029197693,0.4464869201183319,-0.025195008143782616,0.31091248989105225
2014,0.041483160108327866,0.16745887696743011,0.059490643441677094,0.10688325762748718,0.03840583562850952,-0.029771532863378525,-0.08232341706752777,0.058127544820308685
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.26863154768943787,0.2385959029197693,0.4464869201183319,-0.025195008143782616,0.31091248989105225
the,0.42745697498321533,0.5823672413825989,1.0,0.2862859070301056,0.275889128446579,0.4739971458911896,0.03602437674999237,0.22068053483963013
nfl,0.12579965591430664,0.12479410320520401,0.15305201709270477,0.12639591097831726,0.16593337059020996,0.23749186098575592,-0.06279195845127106,0.10610254108905792
announced,0.09249057620763779,0.13701672852039337,0.2277132272720337,0.13161100447177887,0.1391517072916031,0.2801167368888855,0.039410315454006195,0.17416009306907654
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.20374512672424316,0.23273876309394836,0.4137635827064514,-0.014119508676230907,0.32716336846351624
the,0.42745697498321533,0.5823672413825989,1.0,0.2862859070301056,0.275889128446579,0.4739971458911896,0.03602437674999237,0.22068053483963013
practice,0.2749895751476288,0.21584326028823853,0.27333036065101624,0.2321038544178009,0.27727633714675903,0.3276185989379883,0.0348728708922863,0.21386858820915222
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.31028008460998535,0.25982263684272766,0.4185989499092102,0.006577443331480026,0.1826142966747284
branding,0.2191358357667923,0.21495428681373596,0.26101231575012207,0.14294500648975372,0.12528318166732788,0.33373960852622986,-0.016080133616924286,0.16631950438022614
super,0.13651713728904724,0.15390309691429138,0.21959073841571808,0.07821496576070786,0.24823492765426636,0.22938419878482819,0.0833745002746582,0.166326642036438
bowl,0.15942467749118805,0.14233897626399994,0.21576224267482758,0.12339023500680923,0.22180944681167603,0.24430087208747864,0.005446359980851412,0.21118052303791046
games,0.1820194572210312,0.17599987983703613,0.2676136791706085,0.13043218851089478,0.23944230377674103,0.2952845096588135,0.044272638857364655,0.1360001415014267
with,0.2464839518070221,0.3250955045223236,0.4223487675189972,0.16514341533184052,0.1310911476612091,0.39140474796295166,0.08371289074420929,0.2433311939239502
roman,0.17852471768856049,0.16690842807292938,0.2862859070301056,1.0,0.4465825855731964,0.13499169051647186,0.01018556673079729,0.1663191318511963
numerals,0.2182469516992569,0.21682307124137878,0.25819507241249084,0.4669416546821594,0.9101918339729309,0.18570570647716522,0.0405484102666378,0.22188253700733185
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.26863154768943787,0.2385959029197693,0.4464869201183319,-0.025195008143782616,0.31091248989105225
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.18130378425121307,0.22110208868980408,0.44038116931915283,0.034183140844106674,0.23916715383529663
practice,0.2749895751476288,0.21584326028823853,0.27333036065101624,0.2321038544178009,0.27727633714675903,0.3276185989379883,0.0348728708922863,0.21386858820915222
established,0.14869536459445953,0.1754443645477295,0.33092597126960754,0.16586624085903168,0.2130371779203415,0.1717284768819809,-0.058616723865270615,0.15917523205280304
at,0.2838611304759979,0.25906258821487427,0.457212895154953,0.15289406478405,0.10043513774871826,0.34237727522850037,-0.018447641283273697,0.21978627145290375
super,0.13651713728904724,0.15390309691429138,0.21959073841571808,0.07821496576070786,0.24823492765426636,0.22938419878482819,0.0833745002746582,0.166326642036438
bowl,0.15942467749118805,0.14233897626399994,0.21576224267482758,0.12339023500680923,0.22180944681167603,0.24430087208747864,0.005446359980851412,0.21118052303791046
v,0.16628342866897583,0.16126930713653564,0.18580520153045654,0.1573350727558136,0.17866258323192596,0.13933385908603668,0.024860752746462822,0.28677162528038025
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.26863154768943787,0.2385959029197693,0.4464869201183319,-0.025195008143782616,0.31091248989105225
would,0.45766422152519226,0.33626067638397217,0.4133751392364502,0.21116627752780914,0.16920064389705658,0.39877474308013916,0.05957036092877388,0.37178951501846313
be,0.3929833769798279,0.4819129705429077,0.4248143136501312,0.16603216528892517,0.20195305347442627,0.3801851272583008,0.015184788033366203,0.3324260413646698
temporarily,0.2163034975528717,0.20325882732868195,0.35498616099357605,0.16546212136745453,0.1543085128068924,0.2729134261608124,0.002285720780491829,0.11896703392267227
suspended,0.15452195703983307,0.17945344746112823,0.28768354654312134,0.14428016543388367,0.1878659725189209,0.2676193416118622,0.03428603708744049,0.13118882477283478
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.26863154768943787,0.2385959029197693,0.4464869201183319,-0.025195008143782616,0.31091248989105225
and,0.31309178471565247,0.3859752118587494,0.5171257257461548,0.2730041444301605,0.19960913062095642,0.5064792633056641,0.0032697415444999933,0.20544172823429108
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.20374512672424316,0.23273876309394836,0.4137635827064514,-0.014119508676230907,0.32716336846351624
the,0.42745697498321533,0.5823672413825989,1.0,0.2862859070301056,0.275889128446579,0.4739971458911896,0.03602437674999237,0.22068053483963013
game,0.2246788740158081,0.21222543716430664,0.285271555185318,0.11391695588827133,0.2327013909816742,0.2608485519886017,0.012895043939352036,0.1829071193933487
would,0.45766422152519226,0.33626067638397217,0.4133751392364502,0.21116627752780914,0.16920064389705658,0.39877474308013916,0.05957036092877388,0.37178951501846313
be,0.3929833769798279,0.4819129705429077,0.4248143136501312,0.16603216528892517,0.20195305347442627,0.3801851272583008,0.015184788033366203,0.3324260413646698
named,0.1525408923625946,0.28335005044937134,0.3521348536014557,0.10008247196674347,0.22197936475276947,0.22057102620601654,0.07201292365789413,0.1297498345375061
using,0.27984681725502014,0.26543745398521423,0.28364112973213196,0.13972263038158417,0.31142228841781616,0.3806014060974121,0.02692214958369732,0.2804589569568634
arabic,0.1854897290468216,0.2376166135072708,0.23818454146385193,0.1966908574104309,0.39767980575561523,0.21260014176368713,-0.017164113000035286,0.18792502582073212
numerals,0.2182469516992569,0.21682307124137878,0.25819507241249084,0.4669416546821594,0.9101918339729309,0.18570570647716522,0.0405484102666378,0.22188253700733185
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.22062699496746063,0.20080673694610596,0.44774648547172546,-0.0016074778977781534,0.27043893933296204
super,0.13651713728904724,0.15390309691429138,0.21959073841571808,0.07821496576070786,0.24823492765426636,0.22938419878482819,0.0833745002746582,0.166326642036438
bowl,0.15942467749118805,0.14233897626399994,0.21576224267482758,0.12339023500680923,0.22180944681167603,0.24430087208747864,0.005446359980851412,0.21118052303791046
50,-0.04124141484498978,0.0017694636480882764,0.03602437674999237,0.01018556673079729,0.0430731363594532,0.029183456674218178,0.9999999403953552,0.030512850731611252
as,0.31749409437179565,0.43216490745544434,0.48381632566452026,0.22062699496746063,0.20080673694610596,0.44774648547172546,-0.0016074778977781534,0.27043893933296204
opposed,0.35573211312294006,0.18266244232654572,0.24302934110164642,0.17820458114147186,0.20219743251800537,0.24677163362503052,0.018364163115620613,0.23428945243358612
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.24710409343242645,0.19123254716396332,0.4451248347759247,-0.024239253252744675,0.29463258385658264
super,0.13651713728904724,0.15390309691429138,0.21959073841571808,0.07821496576070786,0.24823492765426636,0.22938419878482819,0.0833745002746582,0.166326642036438
