,how,do,cestids,swim,?
cestids,0.2818846106529236,0.31712543964385986,0.9999998807907104,0.24546776711940765,0.26457497477531433
can,0.49246567487716675,0.45775556564331055,0.2629585862159729,0.28433191776275635,0.3226337134838104
swim,0.22056064009666443,0.2101353406906128,0.24546776711940765,1.0,0.122484490275383
by,0.34370526671409607,0.1481526494026184,0.2397247850894928,0.10893981903791428,0.17966607213020325
undulating,0.24745716154575348,0.23537488281726837,0.38715270161628723,0.2273664027452469,0.12481510639190674
their,0.3316696584224701,0.35424983501434326,0.3914351463317871,0.24520879983901978,0.1898253709077835
bodies,0.22852851450443268,0.23864081501960754,0.3996756374835968,0.244227796792984,0.18285469710826874
as,0.33782753348350525,0.38329678773880005,0.26341503858566284,0.19676177203655243,0.27043893933296204
well,0.410734087228775,0.367764413356781,0.29608404636383057,0.2123558670282364,0.24815571308135986
as,0.33782753348350525,0.38329678773880005,0.26341503858566284,0.19676177203655243,0.27043893933296204
by,0.34370526671409607,0.1481526494026184,0.2397247850894928,0.10893981903791428,0.17966607213020325
the,0.33890387415885925,0.30239659547805786,0.2918749153614044,0.2316722571849823,0.22068053483963013
beating,0.10806185007095337,0.22404882311820984,0.22073028981685638,0.14372959733009338,0.19785179197788239
of,0.2480744868516922,0.26150479912757874,0.2784265875816345,0.1506327986717224,0.1826142966747284
their,0.3316696584224701,0.35424983501434326,0.3914351463317871,0.24520879983901978,0.1898253709077835
comb-rows,0.3049473762512207,0.3308938145637512,0.3182320296764374,0.1923602819442749,0.2980233430862427
.,0.3287222981452942,0.3613996207714081,0.2981182634830475,0.2804950177669525,0.4130953550338745
