,what,is,the,catholic,doctrine,of,fides,caritate,formata,?
roman,0.17852471768856049,0.16690842807292938,0.2862859070301056,0.6597542762756348,0.28463369607925415,0.31028008460998535,0.3317472040653229,0.19936415553092957,0.23112472891807556,0.1663191318511963
catholic,0.1882777214050293,0.19233417510986328,0.26391419768333435,1.0000001192092896,0.42036405205726624,0.3452084958553314,0.35404616594314575,0.2857269048690796,0.21855534613132477,0.16609853506088257
theology,0.322174996137619,0.16262532770633698,0.1939574033021927,0.5228066444396973,0.5253931879997253,0.274120032787323,0.23745280504226685,0.27214550971984863,0.18522298336029053,0.1560962051153183
stated,0.3668954074382782,0.19155573844909668,0.2814950942993164,0.20651096105575562,0.3482540547847748,0.22148488461971283,0.216131329536438,0.3180980384349823,0.16595351696014404,0.24280361831188202
that,0.6297725439071655,0.3995479643344879,0.5473989248275757,0.2050773948431015,0.315192848443985,0.41498205065727234,0.21975241601467133,0.413871169090271,0.2684674859046936,0.32716336846351624
faith,0.3120079040527344,0.2154717594385147,0.20665863156318665,0.35558444261550903,0.4240439236164093,0.20991961658000946,0.282986581325531,0.363626092672348,0.16038095951080322,0.2833177447319031
alone,0.3431425094604492,0.224456325173378,0.2769272029399872,0.21970225870609283,0.1606185883283615,0.2295283079147339,0.2725418508052826,0.33090534806251526,0.1597210019826889,0.25589054822921753
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2713983952999115,0.15962223708629608,0.4946078956127167,0.2078087329864502,0.32683610916137695,0.27366480231285095,0.31091248989105225
whether,0.5516265630722046,0.30252501368522644,0.3211745023727417,0.1792168766260147,0.24547964334487915,0.24392437934875488,0.14747577905654907,0.36394593119621277,0.18359847366809845,0.3150278329849243
fiduciary,0.28259482979774475,0.254719078540802,0.3395555317401886,0.3469114601612091,0.36145448684692383,0.34112074971199036,0.44942548871040344,0.4213603436946869,0.24518989026546478,0.2270248830318451
or,0.33867141604423523,0.41870999336242676,0.4174870550632477,0.16083122789859772,0.15839318931102753,0.3792596757411957,0.18334273993968964,0.42955759167671204,0.2862555682659149,0.32389625906944275
dogmatic,0.4108916223049164,0.28235700726509094,0.28506842255592346,0.43055248260498047,0.5229476094245911,0.28452473878860474,0.3208911418914795,0.39432182908058167,0.26154017448425293,0.3081045150756836
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.2713983952999115,0.15962223708629608,0.4946078956127167,0.2078087329864502,0.32683610916137695,0.27366480231285095,0.31091248989105225
can,0.34502777457237244,0.44256699085235596,0.312528520822525,0.13095730543136597,0.12719719111919403,0.2603091299533844,0.18955650925636292,0.40258705615997314,0.22554796934127808,0.3226337134838104
not,0.5449194312095642,0.3776007890701294,0.4310511648654938,0.19292618334293365,0.23414641618728638,0.3307090103626251,0.1755131334066391,0.41973617672920227,0.25394192337989807,0.41942933201789856
justify,0.4040449857711792,0.12031934410333633,0.16716225445270538,0.21223393082618713,0.31540602445602417,0.17726022005081177,0.18232031166553497,0.3267524242401123,0.2080203741788864,0.3789809048175812
man,0.21916821599006653,0.2326623499393463,0.23171134293079376,0.09393732249736786,0.13197873532772064,0.16490690410137177,0.23397937417030334,0.24215885996818542,0.1506369262933731,0.2528940737247467
;,0.10986888408660889,0.05324986204504967,0.09152708947658539,0.01897076889872551,0.07752882689237595,0.054534342139959335,-0.037427451461553574,0.012378579005599022,0.0735911950469017,0.10349778085947037
justification,0.41217631101608276,0.2093798965215683,0.26831284165382385,0.2925703823566437,0.451293408870697,0.2991276681423187,0.23467665910720825,0.35056349635124207,0.3535468578338623,0.4005378186702728
rather,0.3923804461956024,0.2886356711387634,0.31983619928359985,0.14045679569244385,0.23440462350845337,0.3045461177825928,0.1885366588830948,0.3564682900905609,0.2738562226295471,0.3053998053073883
depends,0.3503915071487427,0.40560126304626465,0.3308880031108856,0.11885352432727814,0.1449187844991684,0.3327617049217224,0.12116231769323349,0.32788392901420593,0.1829914003610611,0.18496274948120117
