,what,church,runs,some,private,schools,in,victoria,?
private,0.16778090596199036,0.2016560584306717,0.04245321452617645,0.23412339389324188,1.0,0.4158569872379303,0.21135757863521576,0.1497776210308075,0.14389030635356903
fee-paying,0.3864109516143799,0.20106934010982513,0.19857880473136902,0.39923927187919617,0.3183121681213379,0.25693243741989136,0.24017971754074097,0.10121991485357285,0.2790212333202362
schools,0.1820785105228424,0.29122284054756165,0.18934756517410278,0.3067633807659149,0.4158569872379303,1.0,0.2632134258747101,0.11402804404497147,0.18349280953407288
include,0.1535889357328415,0.13315419852733612,0.1717803031206131,0.5271874070167542,0.11837748438119888,0.21952612698078156,0.28694382309913635,0.17870734632015228,0.14925788342952728
parish,0.13296297192573547,0.48603907227516174,0.13979576528072357,0.17478881776332855,0.16911937296390533,0.23386558890342712,0.21548442542552948,0.22095252573490143,0.099716417491436
schools,0.1820785105228424,0.29122284054756165,0.18934756517410278,0.3067633807659149,0.4158569872379303,1.0,0.2632134258747101,0.11402804404497147,0.18349280953407288
run,0.2294815480709076,0.11881591379642487,0.6555101275444031,0.2564408779144287,0.14252924919128418,0.20951882004737854,0.26368704438209534,0.18425361812114716,0.17904110252857208
by,0.2455483376979828,0.135782390832901,0.14847011864185333,0.306446373462677,0.18554414808750153,0.1415957361459732,0.370934396982193,0.17471559345722198,0.17966607213020325
the,0.42745697498321533,0.23846197128295898,0.30832576751708984,0.4566698372364044,0.18291357159614563,0.22905772924423218,0.6662389636039734,0.2204313427209854,0.22068053483963013
roman,0.17852471768856049,0.4228571951389313,0.10797064751386642,0.21135476231575012,0.17756201326847076,0.16209115087985992,0.24986636638641357,0.2075503021478653,0.1663191318511963
catholic,0.1882777214050293,0.6546704173088074,0.13587570190429688,0.1985117495059967,0.28277769684791565,0.3252324163913727,0.26313918828964233,0.2138010412454605,0.16609853506088257
church,0.1944202184677124,0.9999999403953552,0.11703844368457794,0.23829415440559387,0.2016560584306717,0.29122284054756165,0.2493300437927246,0.2051907777786255,0.18081501126289368
and,0.31309178471565247,0.1976170688867569,0.2632412016391754,0.5337774157524109,0.2557651102542877,0.29319998621940613,0.4954058527946472,0.24507255852222443,0.20544172823429108
independent,0.28752967715263367,0.1580084264278412,0.18834631145000458,0.24364283680915833,0.21767279505729675,0.22231550514698029,0.2794609069824219,0.13802865147590637,0.11902587860822678
schools,0.1820785105228424,0.29122284054756165,0.18934756517410278,0.3067633807659149,0.4158569872379303,1.0,0.2632134258747101,0.11402804404497147,0.18349280953407288
similar,0.30608364939689636,0.12086532264947891,0.08566302806138992,0.48435690999031067,0.15252240002155304,0.17947885394096375,0.28091391921043396,0.11820435523986816,0.23309361934661865
to,0.455847829580307,0.24439501762390137,0.16705270111560822,0.4636894166469574,0.18892748653888702,0.2362271547317505,0.45010748505592346,0.18328198790550232,0.29463258385658264
british,0.19255435466766357,0.11506414413452148,0.1102825328707695,0.20344354212284088,0.20065729320049286,0.1199653223156929,0.23084034025669098,0.28028810024261475,0.09711728990077972
public,0.1729622185230255,0.20861877501010895,0.18234193325042725,0.24756038188934326,0.5126727223396301,0.4260808527469635,0.29074716567993164,0.19629675149917603,0.19872993230819702
schools,0.1820785105228424,0.29122284054756165,0.18934756517410278,0.3067633807659149,0.4158569872379303,1.0,0.2632134258747101,0.11402804404497147,0.18349280953407288
.,0.3567904531955719,0.28898224234580994,0.2379940003156662,0.40663889050483704,0.2534593939781189,0.2752705216407776,0.5591574311256409,0.23069117963314056,0.4130953550338745
