,what,is,the,name,of,the,law,which,imposed,the,speed,limit,?
to,0.455847829580307,0.42745086550712585,0.535392165184021,0.27806994318962097,0.41548454761505127,0.535392165184021,0.259207159280777,0.5345056653022766,0.2800833284854889,0.535392165184021,0.2900872230529785,0.31784215569496155,0.29463258385658264
help,0.3728281855583191,0.152378648519516,0.30064165592193604,0.12160512804985046,0.22745388746261597,0.30064165592193604,0.16930606961250305,0.2722613513469696,0.16374357044696808,0.30064165592193604,0.13531054556369781,0.2187206894159317,0.28403452038764954
reduce,0.18258237838745117,0.17162854969501495,0.2735816240310669,0.02009682171046734,0.26028934121131897,0.2735816240310669,0.14196166396141052,0.3239312767982483,0.2981753945350647,0.2735816240310669,0.24207329750061035,0.3590606451034546,0.1462220549583435
consumption,0.22381934523582458,0.2964645028114319,0.23633816838264465,0.10632790625095367,0.249590665102005,0.23633816838264465,0.2034887969493866,0.3195402920246124,0.3508305847644806,0.23633816838264465,0.27500760555267334,0.2670969069004059,0.1937485784292221
",",0.3087472915649414,0.4691906273365021,0.4933079481124878,0.28145334124565125,0.4946078956127167,0.4933079481124878,0.24953721463680267,0.3658004403114319,0.2201136350631714,0.4933079481124878,0.21732394397258759,0.2177477329969406,0.31091248989105225
in,0.30808621644973755,0.5394441485404968,0.6662389636039734,0.2459065467119217,0.5696388483047485,0.6662389636039734,0.24850773811340332,0.4840516746044159,0.14908424019813538,0.6662389636039734,0.2239796668291092,0.18465836346149445,0.20430970191955566
1974,-0.05855642259120941,-0.0024547772482037544,0.07901259511709213,-0.02734995260834694,0.05920899659395218,0.07901259511709213,-0.01701705902814865,-0.053969547152519226,-0.07809650897979736,0.07901259511709213,-0.09135426580905914,-0.09690863639116287,-0.17742674052715302
a,0.3320399522781372,0.658733606338501,0.5829201340675354,0.26421117782592773,0.5052502155303955,0.5829201340675354,0.2212858349084854,0.56894451379776,0.1787574738264084,0.5829201340675354,0.2531464993953705,0.17537008225917816,0.23916715383529663
national,0.16882304847240448,0.23413582146167755,0.32739606499671936,0.12491574138402939,0.3314673602581024,0.32739606499671936,0.15905754268169403,0.28337109088897705,0.18915274739265442,0.32739606499671936,0.12435362488031387,0.09905070066452026,0.15643028914928436
maximum,0.19255907833576202,0.20349502563476562,0.228700190782547,0.09984897077083588,0.23949185013771057,0.228700190782547,0.10760357230901718,0.25036051869392395,0.28698572516441345,0.228700190782547,0.4055563509464264,0.42500972747802734,0.10959649085998535
speed,0.23285695910453796,0.21955357491970062,0.2310667634010315,0.10001427680253983,0.1947416365146637,0.2310667634010315,0.1503409743309021,0.2855447232723236,0.16264504194259644,0.2310667634010315,0.9999999403953552,0.3078407347202301,0.17392314970493317
limit,0.2810012400150299,0.18270912766456604,0.26700517535209656,0.11058907955884933,0.2516467273235321,0.26700517535209656,0.2089574784040451,0.3060668408870697,0.3400033116340637,0.26700517535209656,0.3078407347202301,0.9999999403953552,0.20747125148773193
of,0.33290785551071167,0.4854315221309662,0.733189046382904,0.24075818061828613,1.0,0.733189046382904,0.2816956341266632,0.5011631846427917,0.28079909086227417,0.733189046382904,0.1947416365146637,0.2516467273235321,0.1826142966747284
55,-0.04603438824415207,-0.018414879217743874,0.014788559637963772,0.11728284507989883,0.019596468657255173,0.014788559637963772,0.03554646670818329,-0.0020086246076971292,0.021431198343634605,0.014788559637963772,0.07525575906038284,-0.006531554274260998,-0.008884507231414318
mph,0.2101404219865799,0.14230908453464508,0.17937184870243073,0.12052063643932343,0.14698775112628937,0.17937184870243073,0.13395586609840393,0.20339930057525635,0.1500801146030426,0.17937184870243073,0.4997735917568207,0.3144865036010742,0.15188822150230408
(,0.2411840260028839,0.35393038392066956,0.33289089798927307,0.2706909477710724,0.35032153129577637,0.33289089798927307,0.14312884211540222,0.2589828372001648,0.18890897929668427,0.33289089798927307,0.19531001150608063,0.25329461693763733,0.40561532974243164
