,who,sees,a,patient,after,a,nurse,can,not,help,anymore,?
complicated,0.19416216015815735,0.2482118457555771,0.29947832226753235,0.32900339365005493,0.20255009829998016,0.29947832226753235,0.07715010643005371,0.3919263184070587,0.3595384657382965,0.26851868629455566,0.26630735397338867,0.23008595407009125
cases,0.26357710361480713,0.17666177451610565,0.3244450092315674,0.29134324193000793,0.23493029177188873,0.3244450092315674,0.07121313363313675,0.4646691083908081,0.3814825117588043,0.22457781434059143,0.257934033870697,0.25599566102027893
are,0.27294138073921204,0.22705543041229248,0.265255331993103,0.2341679036617279,0.19438853859901428,0.265255331993103,0.1155388280749321,0.5408529043197632,0.46186959743499756,0.2738749086856842,0.35387489199638367,0.24591213464736938
referred,0.1539032906293869,0.12175629287958145,0.2686276137828827,0.03483356162905693,0.1993878334760666,0.2686276137828827,0.03752157464623451,0.18392983078956604,0.26059582829475403,0.10875168442726135,0.11775042116641998,0.06677805632352829
to,0.42656609416007996,0.23936879634857178,0.45503583550453186,0.2912805676460266,0.37890323996543884,0.45503583550453186,0.20659032464027405,0.4979398250579834,0.5149973034858704,0.46191298961639404,0.39897891879081726,0.29463258385658264
clinical,0.22678250074386597,0.1274135559797287,0.23365241289138794,0.49259641766548157,0.154281347990036,0.23365241289138794,0.3311983048915863,0.21985386312007904,0.17640377581119537,0.21564222872257233,0.1469992846250534,0.1678651124238968
officers,0.3077370822429657,0.12473195046186447,0.23043878376483917,0.20713376998901367,0.24071583151817322,0.23043878376483917,0.2285376340150833,0.17819428443908691,0.2527908384799957,0.23168285191059113,0.19331935048103333,0.14072641730308533
",",0.3365725874900818,0.22631409764289856,0.427140474319458,0.1891828030347824,0.38860568404197693,0.427140474319458,0.2049000859260559,0.3139454126358032,0.3769696354866028,0.2855570912361145,0.36397412419319153,0.31091248989105225
medical,0.283721387386322,0.1002635508775711,0.20945803821086884,0.4959510266780853,0.18079283833503723,0.20945803821086884,0.3998534679412842,0.22564342617988586,0.23406864702701569,0.29839974641799927,0.19105319678783417,0.13234087824821472
officers,0.3077370822429657,0.12473195046186447,0.23043878376483917,0.20713376998901367,0.24071583151817322,0.23043878376483917,0.2285376340150833,0.17819428443908691,0.2527908384799957,0.23168285191059113,0.19331935048103333,0.14072641730308533
and,0.41279885172843933,0.3177787959575653,0.3739250600337982,0.24569113552570343,0.3765919506549835,0.3739250600337982,0.20999401807785034,0.3675691485404968,0.39099299907684326,0.34926167130470276,0.2952691912651062,0.20544172823429108
medical,0.283721387386322,0.1002635508775711,0.20945803821086884,0.4959510266780853,0.18079283833503723,0.20945803821086884,0.3998534679412842,0.22564342617988586,0.23406864702701569,0.29839974641799927,0.19105319678783417,0.13234087824821472
practitioners,0.30802860856056213,0.1863235980272293,0.2514340281486511,0.3410027027130127,0.14413666725158691,0.2514340281486511,0.3256781995296478,0.2668343782424927,0.27936238050460815,0.2522965669631958,0.22021201252937317,0.11654362082481384
.,0.3541337847709656,0.20415571331977844,0.50484299659729,0.22164101898670197,0.35870397090911865,0.50484299659729,0.2423945665359497,0.35783761739730835,0.4824007451534271,0.32205137610435486,0.35932520031929016,0.4130953550338745
