,what,types,of,medications,do,specialty,pharmacies,stock,?
unlike,0.25655338168144226,0.31270575523376465,0.34768372774124146,0.2639681398868561,0.3842500150203705,0.2126120924949646,0.1877007633447647,0.11965887248516083,0.12876726686954498
a,0.3320399522781372,0.27099108695983887,0.5052502155303955,0.2712159752845764,0.26237669587135315,0.28435397148132324,0.22259847819805145,0.25261884927749634,0.23916715383529663
traditional,0.20066824555397034,0.2983105778694153,0.32287317514419556,0.18914932012557983,0.19744986295700073,0.3431355953216553,0.21726591885089874,0.18318195641040802,0.1327509582042694
community,0.29032719135284424,0.053074244409799576,0.2367410808801651,0.1890687793493271,0.24250327050685883,0.2338874787092209,0.2255919873714447,0.10413224250078201,0.2380419820547104
pharmacy,0.21638189256191254,0.07559753209352493,0.18226979672908783,0.45502305030822754,0.21983878314495087,0.4205181300640106,0.8590922355651855,0.23586980998516083,0.1355620175600052
where,0.4457937180995941,0.23438596725463867,0.38066378235816956,0.2238607108592987,0.2949419915676117,0.258451372385025,0.30392012000083923,0.18598662316799164,0.24793872237205505
prescriptions,0.2768646776676178,0.3767201602458954,0.21395449340343475,0.7349591255187988,0.30674901604652405,0.39843976497650146,0.5238817930221558,0.20207105576992035,0.1843581348657608
for,0.3017193675041199,0.29793059825897217,0.4185989499092102,0.300686776638031,0.29510271549224854,0.2844717800617218,0.21496844291687012,0.2536971867084503,0.264628142118454
any,0.43670421838760376,0.3294745981693268,0.3769088089466095,0.3631734848022461,0.4126444458961487,0.23812603950500488,0.24674579501152039,0.20725250244140625,0.4113408327102661
common,0.19989867508411407,0.4070185422897339,0.2949881851673126,0.30046218633651733,0.23032814264297485,0.24481984972953796,0.1687961220741272,0.19145168364048004,0.20434872806072235
medication,0.28847256302833557,0.26913273334503174,0.2616158723831177,0.9426473379135132,0.27601927518844604,0.3860898017883301,0.48041579127311707,0.15490400791168213,0.2275196760892868
can,0.34502777457237244,0.42601388692855835,0.2603091299533844,0.4593614637851715,0.45775556564331055,0.2218404859304428,0.30782270431518555,0.20022161304950714,0.3226337134838104
be,0.3929833769798279,0.31168943643569946,0.33904364705085754,0.35963380336761475,0.36575672030448914,0.19739602506160736,0.23543088138103485,0.2069154530763626,0.3324260413646698
brought,0.26212388277053833,0.15379801392555237,0.3339962065219879,0.17617280781269073,0.24666380882263184,0.16003085672855377,0.17296342551708221,0.13757532835006714,0.2339296191930771
in,0.30808621644973755,0.18516337871551514,0.5696388483047485,0.20176923274993896,0.23402775824069977,0.3128163814544678,0.23778970539569855,0.20128266513347626,0.20430970191955566
and,0.31309178471565247,0.3014242649078369,0.5116966962814331,0.25130701065063477,0.276123583316803,0.22013963758945465,0.3083914816379547,0.1762690395116806,0.20544172823429108
filled,0.17941854894161224,0.2246531993150711,0.24504315853118896,0.19462543725967407,0.25447824597358704,0.20562516152858734,0.2094942331314087,0.15167495608329773,0.1782117635011673
",",0.3087472915649414,0.24108222126960754,0.4946078956127167,0.2232554405927658,0.3283645510673523,0.2334180772304535,0.2212837040424347,0.24178752303123474,0.31091248989105225
specialty,0.23895853757858276,0.3475181758403778,0.24823221564292908,0.41452640295028687,0.22521932423114777,0.9999999403953552,0.441009521484375,0.20014981925487518,0.21990764141082764
pharmacies,0.21324466168880463,0.2586159110069275,0.21392159163951874,0.5339306592941284,0.26694825291633606,0.441009521484375,1.0000001192092896,0.2871853709220886,0.13542459905147552
carry,0.22239743173122406,0.2709364593029022,0.23692575097084045,0.298564076423645,0.3395760953426361,0.20095790922641754,0.1989780068397522,0.1546200066804886,0.17171701788902283
novel,0.19251805543899536,0.051454778760671616,0.17949731647968292,0.14757300913333893,0.12494885921478271,0.07687358558177948,0.11319959908723831,0.15011025965213776,0.11398572474718094
medications,0.2549620568752289,0.3681243658065796,0.25834259390830994,1.0,0.30472585558891296,0.41452640295028687,0.5339306592941284,0.1696196049451828,0.22114922106266022
that,0.6297725439071655,0.3146487772464752,0.41498205065727234,0.31296592950820923,0.44533252716064453,0.2119864523410797,0.26742786169052124,0.21301789581775665,0.32716336846351624
need,0.39420950412750244,0.3323955535888672,0.24285943806171417,0.4028497636318207,0.5324284434318542,0.26855525374412537,0.27495038509368896,0.13882017135620117,0.40413710474967957
to,0.455847829580307,0.20054484903812408,0.41548454761505127,0.2922739088535309,0.38876664638519287,0.20809465646743774,0.22669687867164612,0.18901140987873077,0.29463258385658264
be,0.3929833769798279,0.31168943643569946,0.33904364705085754,0.35963380336761475,0.36575672030448914,0.19739602506160736,0.23543088138103485,0.2069154530763626,0.3324260413646698
properly,0.37598976492881775,0.2439596951007843,0.1735050082206726,0.34980812668800354,0.37578627467155457,0.2336905151605606,0.26806631684303284,0.23211777210235596,0.3050191104412079
stored,0.23197562992572784,0.28067073225975037,0.2396228164434433,0.2844983637332916,0.2388223260641098,0.27076807618141174,0.28399747610092163,0.2753959596157074,0.18399180471897125
",",0.3087472915649414,0.24108222126960754,0.4946078956127167,0.2232554405927658,0.3283645510673523,0.2334180772304535,0.2212837040424347,0.24178752303123474,0.31091248989105225
administered,0.22505685687065125,0.06860561668872833,0.34558019042015076,0.2825607657432556,0.18578679859638214,0.20189498364925385,0.30767822265625,0.10632079094648361,0.11263694614171982
",",0.3087472915649414,0.24108222126960754,0.4946078956127167,0.2232554405927658,0.3283645510673523,0.2334180772304535,0.2212837040424347,0.24178752303123474,0.31091248989105225
carefully,0.3852337598800659,0.22613288462162018,0.1739562302827835,0.3388248682022095,0.31414881348609924,0.21542420983314514,0.2121303677558899,0.09264835715293884,0.22870610654354095
monitored,0.2895195186138153,0.20025107264518738,0.2013922780752182,0.32616761326789856,0.33359965682029724,0.20409147441387177,0.2216089963912964,0.034702375531196594,0.1978614628314972
",",0.3087472915649414,0.24108222126960754,0.4946078956127167,0.2232554405927658,0.3283645510673523,0.2334180772304535,0.2212837040424347,0.24178752303123474,0.31091248989105225
and,0.31309178471565247,0.3014242649078369,0.5116966962814331,0.25130701065063477,0.276123583316803,0.22013963758945465,0.3083914816379547,0.1762690395116806,0.20544172823429108
clinically,0.2502318024635315,0.21471662819385529,0.23912537097930908,0.552126944065094,0.18921591341495514,0.3327784538269043,0.3980630040168762,0.1210455596446991,0.18113285303115845
managed,0.1400795578956604,0.04296020418405533,0.19627609848976135,0.09332621097564697,0.21242815256118774,0.09120535105466843,0.09795917570590973,0.15147893130779266,0.1315973401069641
.,0.3567904531955719,0.2097296416759491,0.5352458953857422,0.23682083189487457,0.3613996207714081,0.22083647549152374,0.2382737696170807,0.22629013657569885,0.4130953550338745
