,who,had,five,sacks,in,nine,games,as,a,carolina,panthers,starter,?
the,0.3733934462070465,0.3875846862792969,0.41977158188819885,0.23296904563903809,0.6662389636039734,0.33253175020217896,0.2676136791706085,0.48381632566452026,0.5829201340675354,0.24749229848384857,0.2602776288986206,0.36284002661705017,0.22068053483963013
panthers,0.2132880985736847,0.1570805162191391,0.23904819786548615,0.3019881248474121,0.2115829735994339,0.1787816733121872,0.38664546608924866,0.2052529901266098,0.2255268394947052,0.4154948592185974,0.9999999403953552,0.3504752814769745,0.16608978807926178
line,0.1774713397026062,0.19683466851711273,0.1527322232723236,0.13312743604183197,0.2258777767419815,0.11051871627569199,0.15895603597164154,0.22621846199035645,0.23499317467212677,0.14648932218551636,0.13802513480186462,0.21683736145496368,0.16271452605724335
also,0.47919341921806335,0.4027194678783417,0.35005781054496765,0.18825937807559967,0.5073733329772949,0.32411980628967285,0.26034462451934814,0.5774298906326294,0.5149940252304077,0.18818359076976776,0.2513844072818756,0.3005586564540863,0.21848613023757935
featured,0.25015440583229065,0.2903567850589752,0.23643998801708221,0.07824325561523438,0.2658694386482239,0.16358767449855804,0.233555868268013,0.29986897110939026,0.3058987855911255,0.13549818098545074,0.2403528392314911,0.25426703691482544,0.2944096624851227
veteran,0.3301067650318146,0.21137821674346924,0.047695402055978775,0.08425828069448471,0.18765248358249664,0.09336899220943451,0.1444062888622284,0.21023553609848022,0.22508226335048676,0.22619682550430298,0.20709651708602905,0.23140788078308105,0.15891358256340027
defensive,0.18336546421051025,0.20860235393047333,0.14753037691116333,0.4047272801399231,0.22513550519943237,0.13197430968284607,0.24385221302509308,0.2411186248064041,0.2169283777475357,0.231546550989151,0.37187400460243225,0.27772286534309387,0.1711898148059845
end,0.15423893928527832,0.23549215495586395,0.22070643305778503,0.224653422832489,0.28539085388183594,0.18614552915096283,0.1755668967962265,0.23417671024799347,0.28924596309661865,0.12590210139751434,0.14626342058181763,0.31562697887420654,0.12543344497680664
jared,0.27010759711265564,0.1987985372543335,0.19341658055782318,0.20352447032928467,0.20860669016838074,0.1299559623003006,0.1441502720117569,0.24411219358444214,0.1577543318271637,0.1922806054353714,0.308671236038208,0.1963547021150589,0.12860623002052307
allen,0.22067172825336456,0.27314797043800354,0.1913730353116989,0.2707609534263611,0.2125987708568573,0.1676069051027298,0.1296074539422989,0.24582679569721222,0.23316039144992828,0.1482411026954651,0.205338716506958,0.2510720193386078,0.1549387127161026
",",0.3365725874900818,0.35487717390060425,0.3101605772972107,0.2979430854320526,0.5201468467712402,0.273027628660202,0.2778109014034271,0.48816442489624023,0.427140474319458,0.2566046118736267,0.2494642585515976,0.32691359519958496,0.31091248989105225
a,0.36608949303627014,0.34897568821907043,0.2874281108379364,0.1267087310552597,0.539380669593811,0.2446976900100708,0.19753754138946533,0.39550232887268066,1.0,0.1979188621044159,0.2255268394947052,0.3578885495662689,0.23916715383529663
5-time,0.2086774855852127,0.26318275928497314,0.26105454564094543,0.15294145047664642,0.24612383544445038,0.27263668179512024,0.3265379071235657,0.27368348836898804,0.24640491604804993,0.12618176639080048,0.20930446684360504,0.24636776745319366,0.2347726672887802
pro,0.23716162145137787,0.14190727472305298,0.11749730259180069,0.21555940806865692,0.152218297123909,0.10039477795362473,0.21350322663784027,0.15253907442092896,0.21071772277355194,0.20122501254081726,0.20294983685016632,0.18439695239067078,0.17645101249217987
bowler,0.25420328974723816,0.21786533296108246,0.14129920303821564,0.23582009971141815,0.19499947130680084,0.1516566127538681,0.22938385605812073,0.22885702550411224,0.29658886790275574,0.18737691640853882,0.285207062959671,0.315677285194397,0.18900428712368011
who,0.9999998807907104,0.36173108220100403,0.22190363705158234,0.16894300282001495,0.2792111933231354,0.20492319762706757,0.21274375915527344,0.3923053741455078,0.36608949303627014,0.1409980058670044,0.2132880985736847,0.2485215663909912,0.26220351457595825
