,where,is,the,rhine,bridge,?
the,0.5003893971443176,0.5823672413825989,1.0,0.30735138058662415,0.27692803740501404,0.22068053483963013
rhine,0.2007746696472168,0.15617261826992035,0.30735138058662415,1.0,0.2627650499343872,0.13754533231258392
bridge,0.10934001207351685,0.1899378001689911,0.27692803740501404,0.2627650499343872,0.9999999403953552,0.1396101862192154
at,0.4402937591075897,0.25906258821487427,0.457212895154953,0.19469857215881348,0.2026928812265396,0.21978627145290375
arnhem,0.19088859856128693,0.1764235496520996,0.27499422430992126,0.45831549167633057,0.272066593170166,0.08843215554952621
",",0.3149496018886566,0.4691906273365021,0.4933079481124878,0.167837992310524,0.2011108100414276,0.31091248989105225
immortalized,0.21028019487857819,0.17888471484184265,0.24569909274578094,0.11784800887107849,0.10334065556526184,0.18472376465797424
in,0.5344807505607605,0.5394441485404968,0.6662389636039734,0.24648422002792358,0.235438272356987,0.20430970191955566
the,0.5003893971443176,0.5823672413825989,1.0,0.30735138058662415,0.27692803740501404,0.22068053483963013
book,0.16606031358242035,0.21808475255966187,0.2652374505996704,0.10511762648820877,0.16801905632019043,0.20572158694267273
",",0.3149496018886566,0.4691906273365021,0.4933079481124878,0.167837992310524,0.2011108100414276,0.31091248989105225
a,0.40997210144996643,0.658733606338501,0.5829201340675354,0.1823403388261795,0.1554761528968811,0.23916715383529663
bridge,0.10934001207351685,0.1899378001689911,0.27692803740501404,0.2627650499343872,0.9999999403953552,0.1396101862192154
too,0.2738337516784668,0.2450883537530899,0.26985910534858704,0.11362576484680176,0.13441893458366394,0.33757779002189636
far,0.3542677164077759,0.30568554997444153,0.38564538955688477,0.24846766889095306,0.1702687293291092,0.2170870453119278
and,0.43859338760375977,0.3859752118587494,0.5171257257461548,0.22029656171798706,0.22415432333946228,0.20544172823429108
the,0.5003893971443176,0.5823672413825989,1.0,0.30735138058662415,0.27692803740501404,0.22068053483963013
film,0.1702374517917633,0.21704672276973724,0.2824619710445404,0.10317612439393997,0.20525318384170532,0.16369038820266724
",",0.3149496018886566,0.4691906273365021,0.4933079481124878,0.167837992310524,0.2011108100414276,0.31091248989105225
was,0.20731619000434875,0.5810302495956421,0.48711544275283813,0.18681856989860535,0.23293238878250122,0.18412111699581146
a,0.40997210144996643,0.658733606338501,0.5829201340675354,0.1823403388261795,0.1554761528968811,0.23916715383529663
central,0.24971573054790497,0.273421049118042,0.3417201042175293,0.18144266307353973,0.13857583701610565,0.14787602424621582
focus,0.20608018338680267,0.25106388330459595,0.25318023562431335,0.1629369854927063,0.09033731371164322,0.23925252258777618
of,0.38066378235816956,0.4854315221309662,0.733189046382904,0.2548927664756775,0.17739711701869965,0.1826142966747284
the,0.5003893971443176,0.5823672413825989,1.0,0.30735138058662415,0.27692803740501404,0.22068053483963013
battle,0.13785181939601898,0.15584254264831543,0.2820790410041809,0.19129401445388794,0.16966494917869568,0.1680624783039093
for,0.38599511981010437,0.43268078565597534,0.4739971458911896,0.1584572196006775,0.14798229932785034,0.264628142118454
arnhem,0.19088859856128693,0.1764235496520996,0.27499422430992126,0.45831549167633057,0.272066593170166,0.08843215554952621
",",0.3149496018886566,0.4691906273365021,0.4933079481124878,0.167837992310524,0.2011108100414276,0.31091248989105225
during,0.3543127477169037,0.2240111529827118,0.4838213622570038,0.18684938549995422,0.1267092525959015,0.1325719803571701
the,0.5003893971443176,0.5823672413825989,1.0,0.30735138058662415,0.27692803740501404,0.22068053483963013
failed,0.1791430413722992,0.1301041692495346,0.32787200808525085,0.18581177294254303,0.21591134369373322,0.16487033665180206
operation,0.22914165258407593,0.2013072669506073,0.2985492944717407,0.18561981618404388,0.10905613005161285,0.12387953698635101
market,0.23145584762096405,0.2463478147983551,0.2041238248348236,0.2060876041650772,0.1742459535598755,0.12805593013763428
garden,0.26349467039108276,0.21094022691249847,0.23359008133411407,0.1560509204864502,0.19532373547554016,0.16720405220985413
of,0.38066378235816956,0.4854315221309662,0.733189046382904,0.2548927664756775,0.17739711701869965,0.1826142966747284
september,0.1636122465133667,0.2304503619670868,0.2516939043998718,0.15427935123443604,0.15459676086902618,0.2665146589279175
1944,0.10524192452430725,0.10672889649868011,0.12787654995918274,0.1444736272096634,0.04441405087709427,0.21799609065055847
.,0.41390106081962585,0.4569662809371948,0.5934505462646484,0.2089352011680603,0.23252202570438385,0.4130953550338745
