,who,said,people,involved,in,the,ozone,situation,had,``,a,better,understanding,of,scientific,ignorance,and,uncertainties,'',?
according,0.22336459159851074,0.41748329997062683,0.2239774912595749,0.13606488704681396,0.29259276390075684,0.3202974498271942,0.17935092747211456,0.23159974813461304,0.3028804361820221,0.008405309170484543,0.239227756857872,0.1253204345703125,0.2957739233970642,0.3307822346687317,0.19954729080200195,0.23978963494300842,0.30645591020584106,0.31064480543136597,0.06436512619256973,0.21173474192619324
to,0.42656609416007996,0.34274402260780334,0.37275731563568115,0.24297703802585602,0.45010748505592346,0.535392165184021,0.22140559554100037,0.3826505243778229,0.37984350323677063,0.06720756739377975,0.45503583550453186,0.29406851530075073,0.3789423108100891,0.41548454761505127,0.26786625385284424,0.2909664213657379,0.48971283435821533,0.22222693264484406,-0.009905828163027763,0.29463258385658264
sheldon,0.25202491879463196,0.1991814374923706,0.14439620077610016,0.10397770255804062,0.29967495799064636,0.2179621458053589,0.13877752423286438,0.14232034981250763,0.184348002076149,-0.07698499411344528,0.2551988363265991,0.21484535932540894,0.19674140214920044,0.1563156098127365,0.20478738844394684,0.2451539933681488,0.25354886054992676,0.1738644242286682,0.00440590362995863,0.23615185916423798
ungar,0.18651431798934937,0.16942958533763885,0.1619388312101364,0.14579692482948303,0.24866430461406708,0.24434249103069305,0.15768668055534363,0.13882246613502502,0.24484431743621826,0.027609387412667274,0.21542538702487946,0.20816485583782196,0.18167318403720856,0.21267560124397278,0.1712374985218048,0.10154113918542862,0.3205304443836212,0.19531868398189545,-0.012204624712467194,0.1589016318321228
's,0.05599616840481758,0.02159760519862175,0.023582622408866882,-0.08673543483018875,-0.037580832839012146,-0.01540423184633255,-0.013956716284155846,0.02444574236869812,-0.004401352722197771,-0.03416389226913452,0.04866964742541313,0.06539846956729889,-0.04039124771952629,-0.03817026689648628,0.06774617731571198,0.07840518653392792,0.06895173341035843,-0.045204970985651016,-0.04859459400177002,-0.023395681753754616
comparison,0.1191708892583847,0.19168709218502045,0.14343571662902832,0.1944321095943451,0.19509035348892212,0.2772393822669983,0.14062778651714325,0.20073656737804413,0.16643115878105164,0.04505790397524834,0.22378318011760712,0.1990741640329361,0.3523118197917938,0.2909576892852783,0.2228412628173828,0.22412645816802979,0.2685045301914215,0.3645212948322296,0.07741041481494904,0.20726710557937622
with,0.3282766342163086,0.28060880303382874,0.20958639681339264,0.30863359570503235,0.4080928862094879,0.4223487675189972,0.20403066277503967,0.2553998529911041,0.4739086329936981,0.08974023163318634,0.3783375024795532,0.2527548372745514,0.32057997584342957,0.41827285289764404,0.16083575785160065,0.10593175888061523,0.5477725267410278,0.20710892975330353,0.07907696813344955,0.2433311939239502
global,0.10570837557315826,0.21832874417304993,0.1215856522321701,0.2146211564540863,0.10151144117116928,0.17898012697696686,0.3466957211494446,0.2966444790363312,0.1309780329465866,-0.05180160701274872,0.1549941897392273,0.19280411303043365,0.2730151414871216,0.19114547967910767,0.26351553201675415,0.14961838722229004,0.22193439304828644,0.19037982821464539,-0.019231656566262245,0.22985349595546722
warming,0.16929836571216583,0.2986815273761749,0.2336149662733078,0.2885471284389496,0.23962810635566711,0.28771063685417175,0.4504163861274719,0.34278416633605957,0.21026639640331268,-0.02036295272409916,0.262119859457016,0.1917680948972702,0.3765467405319214,0.279348224401474,0.32554861903190613,0.25533634424209595,0.2650649845600128,0.25785398483276367,-0.03906260058283806,0.24314598739147186
",",0.3365725874900818,0.34496036171913147,0.36644625663757324,0.3099522888660431,0.5201468467712402,0.4933079481124878,0.2271772027015686,0.20005939900875092,0.35487717390060425,0.09681109338998795,0.427140474319458,0.331943541765213,0.2624114453792572,0.4946078956127167,0.2464645951986313,0.2326379418373108,0.6633074283599854,0.24025414884090424,-0.037358131259679794,0.31091248989105225
the,0.3733934462070465,0.3024602234363556,0.36838498711586,0.2872544527053833,0.6662389636039734,1.0,0.23899611830711365,0.29657405614852905,0.3875846862792969,0.029072100296616554,0.5829201340675354,0.2113795131444931,0.3089916408061981,0.733189046382904,0.24748262763023376,0.17791736125946045,0.5171257257461548,0.23152977228164673,0.041273195296525955,0.22068053483963013
actors,0.2542370557785034,0.16810016334056854,0.41509491205215454,0.11232200264930725,0.18698661029338837,0.27470633387565613,0.11952681094408035,0.16994357109069824,0.19093327224254608,-0.011493654921650887,0.19451890885829926,0.17497757077217102,0.16366669535636902,0.22658050060272217,0.13981200754642487,0.1646961122751236,0.22122350335121155,0.25093403458595276,0.01478344202041626,0.16258424520492554
in,0.2792111933231354,0.23461468517780304,0.39605680108070374,0.2988407015800476,1.0,0.6662389636039734,0.19661612808704376,0.2606582045555115,0.385026752948761,0.04765888676047325,0.539380669593811,0.20443932712078094,0.23784463107585907,0.5696388483047485,0.1717730164527893,0.14805984497070312,0.4954058527946472,0.21443992853164673,0.07432962208986282,0.20430970191955566
the,0.3733934462070465,0.3024602234363556,0.36838498711586,0.2872544527053833,0.6662389636039734,1.0,0.23899611830711365,0.29657405614852905,0.3875846862792969,0.029072100296616554,0.5829201340675354,0.2113795131444931,0.3089916408061981,0.733189046382904,0.24748262763023376,0.17791736125946045,0.5171257257461548,0.23152977228164673,0.041273195296525955,0.22068053483963013
