,case,complexity,likelihoods,provide,variable,probabilities,of,what,general,measure,?
the,0.31022098660469055,0.21171598136425018,0.3770338296890259,0.26373472809791565,0.18287865817546844,0.23040521144866943,0.733189046382904,0.42745697498321533,0.28634732961654663,0.2528008222579956,0.22068053483963013
best,0.17166443169116974,0.22558753192424774,0.18001393973827362,0.22218263149261475,0.16389410197734833,0.1774502694606781,0.23660683631896973,0.3036847710609436,0.14293214678764343,0.15103858709335327,0.2799045741558075
",",0.2977246046066284,0.27822354435920715,0.30538100004196167,0.20966707170009613,0.18179240822792053,0.25200149416923523,0.4946078956127167,0.3087472915649414,0.3022127151489258,0.18738344311714172,0.31091248989105225
worst,0.26580122113227844,0.21248532831668854,0.22124578058719635,0.07481471449136734,0.10507598519325256,0.1445658653974533,0.16431279480457306,0.2650845944881439,0.10093710571527481,0.0790785551071167,0.21551604568958282
and,0.2394348531961441,0.2520415782928467,0.35673823952674866,0.32960009574890137,0.1734716147184372,0.24631305038928986,0.5116966962814331,0.31309178471565247,0.25860127806663513,0.23739957809448242,0.20544172823429108
average,0.1706133931875229,0.29495373368263245,0.353428453207016,0.16709241271018982,0.2796184718608856,0.31218886375427246,0.23717734217643738,0.24068789184093475,0.09746786952018738,0.3707658350467682,0.21764592826366425
case,1.0000001192092896,0.33170047402381897,0.3679056763648987,0.30795538425445557,0.30229535698890686,0.347946435213089,0.24743439257144928,0.30770957469940186,0.17383849620819092,0.2402588278055191,0.33232852816581726
complexity,0.33170047402381897,1.0,0.48082736134529114,0.3199557662010193,0.40565627813339233,0.46499499678611755,0.23338180780410767,0.33747240900993347,0.2743261158466339,0.31501296162605286,0.23062916100025177
refer,0.11384499818086624,0.22194083034992218,0.1783197522163391,0.2704731822013855,0.19634516537189484,0.11332087218761444,0.2576347291469574,0.17466352880001068,0.1695348173379898,0.2932749092578888,0.12567369639873505
to,0.3172709345817566,0.28336837887763977,0.4681452512741089,0.3479624092578888,0.20649605989456177,0.2699088454246521,0.41548454761505127,0.455847829580307,0.24755197763442993,0.2774736285209656,0.29463258385658264
three,0.14444349706172943,0.20467406511306763,0.22930698096752167,0.1854586899280548,0.12477946281433105,0.2441924512386322,0.3844621181488037,0.24888746440410614,0.17967188358306885,0.18879275023937225,0.20928427577018738
different,0.2549264132976532,0.3334031403064728,0.41135916113853455,0.32278433442115784,0.30513903498649597,0.32650360465049744,0.3747533857822418,0.39262300729751587,0.22254379093647003,0.31349077820777893,0.24476227164268494
ways,0.261412113904953,0.33650463819503784,0.4513215124607086,0.2703500986099243,0.19884207844734192,0.3391227126121521,0.23171216249465942,0.394069641828537,0.14230488240718842,0.3356535732746124,0.2710120975971222
of,0.24743439257144928,0.23338180780410767,0.3578944206237793,0.27198103070259094,0.1980873942375183,0.2460537701845169,1.0,0.33290785551071167,0.28352999687194824,0.22469913959503174,0.1826142966747284
measuring,0.23168981075286865,0.3293389678001404,0.336728572845459,0.22237110137939453,0.3866190016269684,0.3500877022743225,0.30754444003105164,0.2584631145000458,0.18057143688201904,0.8148848414421082,0.16787901520729065
the,0.31022098660469055,0.21171598136425018,0.3770338296890259,0.26373472809791565,0.18287865817546844,0.23040521144866943,0.733189046382904,0.42745697498321533,0.28634732961654663,0.2528008222579956,0.22068053483963013
