,whose,likeness,is,on,the,larger,denominations,of,mongolian,currency,?
in,0.23496666550636292,0.19729091227054596,0.5394441485404968,0.46853652596473694,0.6662389636039734,0.26689091324806213,0.20370835065841675,0.5696388483047485,0.1663515418767929,0.16571050882339478,0.20430970191955566
mongolia,0.10368380695581436,0.13995185494422913,0.19608411192893982,0.17148731648921967,0.26887956261634827,0.20006394386291504,0.17061026394367218,0.24969549477100372,0.875663697719574,0.21785302460193634,0.12165829539299011
today,0.20665143430233002,0.147476464509964,0.3404538929462433,0.2263319492340088,0.35740926861763,0.27375978231430054,0.2517396807670593,0.3291318118572235,0.16522519290447235,0.18510569632053375,0.17338968813419342
",",0.25601375102996826,0.23440927267074585,0.4691906273365021,0.49057599902153015,0.4933079481124878,0.2491181194782257,0.26991698145866394,0.4946078956127167,0.22636307775974274,0.21310937404632568,0.31091248989105225
genghis,0.21273095905780792,0.24220654368400574,0.1866190880537033,0.17695671319961548,0.3448939025402069,0.19722869992256165,0.1982915997505188,0.2938849925994873,0.463535338640213,0.15622437000274658,0.18813461065292358
khan,0.18322663009166718,0.13127030432224274,0.20103248953819275,0.13222354650497437,0.21067845821380615,0.09881263971328735,0.07663819193840027,0.17124508321285248,0.4463278353214264,0.1153525561094284,0.12862591445446014
's,-0.019954677671194077,0.017519019544124603,0.02396530658006668,0.0026888418942689896,-0.01540423184633255,0.06408897042274475,0.01839645765721798,-0.03817026689648628,-0.009959477931261063,0.11030072718858719,-0.023395681753754616
name,0.2720237076282501,0.16952960193157196,0.3359788954257965,0.17627742886543274,0.3171212375164032,0.15123417973518372,0.1994519829750061,0.24075818061828613,0.19098106026649475,0.241383895277977,0.15381577610969543
and,0.3339773118495941,0.19297611713409424,0.3859752118587494,0.4077630043029785,0.5171257257461548,0.34781917929649353,0.23364228010177612,0.5116966962814331,0.22904802858829498,0.16085569560527802,0.20544172823429108
likeness,0.256331205368042,1.0,0.26498112082481384,0.18142877519130707,0.26355549693107605,0.12258925288915634,0.255723774433136,0.31141772866249084,0.14868566393852234,0.17805060744285583,0.23854725062847137
are,0.2854825556278229,0.23884686827659607,0.5330929756164551,0.268924742937088,0.40399202704429626,0.33036646246910095,0.2993372976779938,0.39081433415412903,0.18076756596565247,0.1437855362892151,0.24591213464736938
endorsed,0.15207594633102417,0.2393307238817215,0.12030719965696335,0.25131186842918396,0.20396119356155396,0.11117997765541077,0.3219115138053894,0.20719879865646362,0.1285264492034912,0.13705511391162872,0.24264299869537354
on,0.17062877118587494,0.18142877519130707,0.3635730445384979,0.9999999403953552,0.5107308030128479,0.22671067714691162,0.18426692485809326,0.3966929316520691,0.14454014599323273,0.12201688438653946,0.2714994251728058
products,0.1157030537724495,0.18279071152210236,0.2552259862422943,0.2342795729637146,0.2547704577445984,0.19994372129440308,0.3053306043148041,0.21450084447860718,0.10853458195924759,0.23353782296180725,0.20429900288581848
",",0.25601375102996826,0.23440927267074585,0.4691906273365021,0.49057599902153015,0.4933079481124878,0.2491181194782257,0.26991698145866394,0.4946078956127167,0.22636307775974274,0.21310937404632568,0.31091248989105225
streets,0.12617935240268707,0.16496384143829346,0.12125551700592041,0.19840306043624878,0.2026284784078598,0.1022426038980484,0.1329575479030609,0.18885038793087006,0.07829253375530243,0.11580251902341843,0.0894271582365036
",",0.25601375102996826,0.23440927267074585,0.4691906273365021,0.49057599902153015,0.4933079481124878,0.2491181194782257,0.26991698145866394,0.4946078956127167,0.22636307775974274,0.21310937404632568,0.31091248989105225
buildings,0.14769557118415833,0.1482701152563095,0.2076430320739746,0.19714148342609406,0.25566717982292175,0.22274740040302277,0.26359134912490845,0.2829168736934662,0.14261549711227417,0.15039131045341492,0.11192528158426285
",",0.25601375102996826,0.23440927267074585,0.4691906273365021,0.49057599902153015,0.4933079481124878,0.2491181194782257,0.26991698145866394,0.4946078956127167,0.22636307775974274,0.21310937404632568,0.31091248989105225
and,0.3339773118495941,0.19297611713409424,0.3859752118587494,0.4077630043029785,0.5171257257461548,0.34781917929649353,0.23364228010177612,0.5116966962814331,0.22904802858829498,0.16085569560527802,0.20544172823429108
other,0.30907049775123596,0.18542662262916565,0.25895947217941284,0.3410046398639679,0.44152235984802246,0.38500940799713135,0.31403648853302,0.38583824038505554,0.2069166749715805,0.15379272401332855,0.24682199954986572
places,0.13010886311531067,0.14182110130786896,0.3042297065258026,0.33895233273506165,0.31653955578804016,0.2166523039340973,0.25286397337913513,0.26612308621406555,0.16558991372585297,0.19034069776535034,0.17623652517795563
.,0.2718997597694397,0.20717225968837738,0.4569662809371948,0.49257001280784607,0.5934505462646484,0.25803330540657043,0.28767117857933044,0.5352458953857422,0.18073968589305878,0.1524936407804489,0.4130953550338745
