,what,year,saw,the,earliest,recorded,use,of,the,steam,engine,indicator,?
early,0.2454567849636078,0.22533860802650452,0.251946359872818,0.34442198276519775,0.6055391430854797,0.3055270314216614,0.22727534174919128,0.30937549471855164,0.34442198276519775,0.24322280287742615,0.12666913866996765,0.18130406737327576,0.15272949635982513
versions,0.22019806504249573,0.1705290675163269,0.1463889181613922,0.2621293067932129,0.2553035616874695,0.3196949362754822,0.3286227285861969,0.17600277066230774,0.2621293067932129,0.26325514912605286,0.2456447035074234,0.13933990895748138,0.2371230572462082
were,0.22298263013362885,0.23735305666923523,0.4311434328556061,0.3906462490558624,0.2926452159881592,0.28952479362487793,0.26967236399650574,0.34038281440734863,0.3906462490558624,0.20219570398330688,0.164800226688385,0.0793139785528183,0.17890112102031708
in,0.30808621644973755,0.3359307050704956,0.24892163276672363,0.6662389636039734,0.3064194619655609,0.27585887908935547,0.2715643048286438,0.5696388483047485,0.6662389636039734,0.19852672517299652,0.18885408341884613,0.2048887014389038,0.20430970191955566
use,0.3453877568244934,0.14744296669960022,0.20095767080783844,0.34342584013938904,0.24481937289237976,0.1355835497379303,1.0,0.2750902473926544,0.34342584013938904,0.2950085997581482,0.2398114949464798,0.31880542635917664,0.32795652747154236
by,0.2455483376979828,0.28805047273635864,0.26498138904571533,0.4408751428127289,0.1959538608789444,0.2354571372270584,0.21048003435134888,0.3646814823150635,0.4408751428127289,0.18134352564811707,0.1870088279247284,0.1357191801071167,0.17966607213020325
1851,0.09412921965122223,0.03389973193407059,0.1181873083114624,0.1120925024151802,0.11228355765342712,0.09301415830850601,0.047829896211624146,0.08887063711881638,0.1120925024151802,0.06164843589067459,0.0722942054271698,0.09251407533884048,0.04808126762509346
",",0.3087472915649414,0.28560417890548706,0.2245745062828064,0.4933079481124878,0.20733466744422913,0.2596049904823303,0.3276674151420593,0.4946078956127167,0.4933079481124878,0.2264556586742401,0.19789794087409973,0.23202009499073029,0.31091248989105225
but,0.5029441118240356,0.2701607942581177,0.31357187032699585,0.4859698414802551,0.1996854543685913,0.18481318652629852,0.43892642855644226,0.39942997694015503,0.4859698414802551,0.25995272397994995,0.22055119276046753,0.3360828459262848,0.27921953797340393
the,0.42745697498321533,0.3609684407711029,0.318278044462204,1.0,0.32825469970703125,0.2759207487106323,0.34342584013938904,0.733189046382904,1.0,0.23105813562870026,0.21651263535022736,0.29087164998054504,0.22068053483963013
most,0.3219912350177765,0.26422736048698425,0.1998663693666458,0.47635307908058167,0.4153389632701874,0.2863507866859436,0.3331718146800995,0.4178851246833801,0.47635307908058167,0.2003706395626068,0.19863130152225494,0.20948345959186554,0.2107497900724411
successful,0.16902779042720795,0.23416785895824432,0.18392975628376007,0.31354787945747375,0.242606982588768,0.22050228714942932,0.22062073647975922,0.2304827868938446,0.31354787945747375,0.2572654187679291,0.16274981200695038,0.15732377767562866,0.1132197454571724
indicator,0.27311187982559204,0.1244836151599884,0.21026219427585602,0.29087164998054504,0.19869722425937653,0.13179606199264526,0.31880542635917664,0.30623510479927063,0.29087164998054504,0.12344299256801605,0.2206995189189911,1.0,0.2145715057849884
was,0.22111038863658905,0.3209837079048157,0.42132335901260376,0.48711544275283813,0.25501716136932373,0.328198105096817,0.17744606733322144,0.4069072902202606,0.48711544275283813,0.16913670301437378,0.205611914396286,0.14304766058921814,0.18412111699581146
developed,0.15555569529533386,0.142215296626091,0.21003364026546478,0.24490751326084137,0.3118899464607239,0.2451482117176056,0.3135351538658142,0.21960023045539856,0.24490751326084137,0.1999523788690567,0.25843650102615356,0.1613597869873047,0.10763012617826462
for,0.3017193675041199,0.29294124245643616,0.2966398596763611,0.4739971458911896,0.237797811627388,0.19644500315189362,0.47655582427978516,0.4185989499092102,0.4739971458911896,0.19393667578697205,0.17779722809791565,0.2892799973487854,0.264628142118454
the,0.42745697498321533,0.3609684407711029,0.318278044462204,1.0,0.32825469970703125,0.2759207487106323,0.34342584013938904,0.733189046382904,1.0,0.23105813562870026,0.21651263535022736,0.29087164998054504,0.22068053483963013
high,0.20466077327728271,0.2061019092798233,0.04451775923371315,0.28034812211990356,0.08106547594070435,0.2161773443222046,0.1721765547990799,0.2803038954734802,0.28034812211990356,0.17955797910690308,0.14603596925735474,0.1432913988828659,0.11137914657592773
speed,0.23285695910453796,0.12350089848041534,0.2031407356262207,0.2310667634010315,0.13525210320949554,0.20801161229610443,0.27715492248535156,0.1947416365146637,0.2310667634010315,0.3738003075122833,0.3154596984386444,0.24764756858348846,0.17392314970493317
engine,0.18463268876075745,0.18775227665901184,0.17739403247833252,0.21651263535022736,0.08877123147249222,0.13543358445167542,0.2398114949464798,0.17095594108104706,0.21651263535022736,0.4921848475933075,1.0,0.2206995189189911,0.17739196121692657
inventor,0.1433403640985489,0.12867265939712524,0.058036837726831436,0.15489226579666138,0.1838093250989914,0.08280249685049057,0.2794381082057953,0.14933325350284576,0.15489226579666138,0.3006623089313507,0.2885926067829132,0.19032397866249084,0.1474177986383438
and,0.31309178471565247,0.2506658732891083,0.2664891481399536,0.5171257257461548,0.2148319035768509,0.18660911917686462,0.34145063161849976,0.5116966962814331,0.5171257257461548,0.24133789539337158,0.18437977135181427,0.2561950385570526,0.20544172823429108
manufacturer,0.13465645909309387,0.11242365837097168,0.10812956094741821,0.18454907834529877,0.11789518594741821,0.09162390232086182,0.2739260196685791,0.1593974381685257,0.18454907834529877,0.3498929440975189,0.3859609365463257,0.1668616086244583,0.11731472611427307
charles,0.18606366217136383,0.17921052873134613,0.2021443098783493,0.20777860283851624,0.19633065164089203,0.17439468204975128,0.058211781084537506,0.22512592375278473,0.20777860283851624,0.09958212822675705,0.1379614919424057,0.09797421842813492,0.17366734147071838
porter,0.09541113674640656,0.20943067967891693,0.1808837652206421,0.221673846244812,0.06349196285009384,0.1769140213727951,0.18538320064544678,0.16938148438930511,0.221673846244812,0.19468344748020172,0.2080778181552887,0.1126273050904274,0.13770055770874023
by,0.2455483376979828,0.28805047273635864,0.26498138904571533,0.4408751428127289,0.1959538608789444,0.2354571372270584,0.21048003435134888,0.3646814823150635,0.4408751428127289,0.18134352564811707,0.1870088279247284,0.1357191801071167,0.17966607213020325
charles,0.18606366217136383,0.17921052873134613,0.2021443098783493,0.20777860283851624,0.19633065164089203,0.17439468204975128,0.058211781084537506,0.22512592375278473,0.20777860283851624,0.09958212822675705,0.1379614919424057,0.09797421842813492,0.17366734147071838
richard,0.19329693913459778,0.15675048530101776,0.12800812721252441,0.2087954580783844,0.1442716270685196,0.17999310791492462,0.09554143995046616,0.2227524220943451,0.2087954580783844,0.17245730757713318,0.14558422565460205,0.09708552807569504,0.15003317594528198
and,0.31309178471565247,0.2506658732891083,0.2664891481399536,0.5171257257461548,0.2148319035768509,0.18660911917686462,0.34145063161849976,0.5116966962814331,0.5171257257461548,0.24133789539337158,0.18437977135181427,0.2561950385570526,0.20544172823429108
exhibited,0.16807207465171814,0.14315134286880493,0.23234818875789642,0.19632861018180847,0.19128645956516266,0.18793857097625732,0.1761922687292099,0.1996210813522339,0.19632861018180847,0.2031852751970291,0.1644672155380249,0.2038690447807312,0.1261514127254486
at,0.2838611304759979,0.3146436810493469,0.2819630205631256,0.457212895154953,0.17415651679039001,0.21097880601882935,0.22117964923381805,0.42558613419532776,0.457212895154953,0.15630799531936646,0.16097232699394226,0.20407646894454956,0.21978627145290375
london,0.15188734233379364,0.19326463341712952,0.18527406454086304,0.27034124732017517,0.10011043399572372,0.2124956250190735,0.17806917428970337,0.2159106284379959,0.27034124732017517,0.19368141889572144,0.13462264835834503,0.05944143608212471,0.11278104782104492
exhibition,0.1526671200990677,0.15548263490200043,0.21506281197071075,0.22614671289920807,0.1755772978067398,0.153649240732193,0.16298116743564606,0.20735959708690643,0.22614671289920807,0.24873676896095276,0.18112687766551971,0.11970572918653488,0.11494685709476471
in,0.30808621644973755,0.3359307050704956,0.24892163276672363,0.6662389636039734,0.3064194619655609,0.27585887908935547,0.2715643048286438,0.5696388483047485,0.6662389636039734,0.19852672517299652,0.18885408341884613,0.2048887014389038,0.20430970191955566
1862,0.069773368537426,0.06406810879707336,0.049661584198474884,0.043515436351299286,0.11073225736618042,0.055874649435281754,-0.036167342215776443,0.07822123169898987,0.043515436351299286,0.024435099214315414,0.11112385988235474,0.16624318063259125,0.06664664298295975
.,0.3567904531955719,0.32538118958473206,0.23244720697402954,0.5934505462646484,0.21521835029125214,0.21476124227046967,0.3711656630039215,0.5352458953857422,0.5934505462646484,0.22855372726917267,0.21814921498298645,0.26492640376091003,0.4130953550338745
