,the,title,of,the,digitization,project,was,a,reference,to,which,artist,?
that,0.5473989248275757,0.18916001915931702,0.41498205065727234,0.5473989248275757,0.2855679392814636,0.29938963055610657,0.33670201897621155,0.47537946701049805,0.32446539402008057,0.5436353087425232,0.6894589066505432,0.16198593378067017,0.32716336846351624
project,0.2027820199728012,0.13980676233768463,0.17578177154064178,0.2027820199728012,0.3439951539039612,1.0,0.17915812134742737,0.2328382134437561,0.24501700699329376,0.28750085830688477,0.21453826129436493,0.19223500788211823,0.30569031834602356
was,0.48711544275283813,0.19408874213695526,0.4069072902202606,0.48711544275283813,0.19426476955413818,0.17915812134742737,1.0000001192092896,0.4508470594882965,0.21164053678512573,0.3636345863342285,0.2830964922904968,0.26030707359313965,0.18412111699581146
entitled,0.2671615183353424,0.45972371101379395,0.2524459660053253,0.2671615183353424,0.191789448261261,0.235792875289917,0.2241649031639099,0.266441285610199,0.22572875022888184,0.2588021159172058,0.26463383436203003,0.1669759750366211,0.2216128408908844
the,1.0,0.27465343475341797,0.733189046382904,1.0,0.30199649930000305,0.2027820199728012,0.48711544275283813,0.5829201340675354,0.26254498958587646,0.535392165184021,0.6521818041801453,0.1862100064754486,0.22068053483963013
factory,0.2101404368877411,0.08065489679574966,0.1801474392414093,0.2101404368877411,0.1561477929353714,0.2039182335138321,0.28738224506378174,0.28819453716278076,0.14649847149848938,0.18206502497196198,0.24650433659553528,0.18004325032234192,0.13535508513450623
project,0.2027820199728012,0.13980676233768463,0.17578177154064178,0.2027820199728012,0.3439951539039612,1.0,0.17915812134742737,0.2328382134437561,0.24501700699329376,0.28750085830688477,0.21453826129436493,0.19223500788211823,0.30569031834602356
to,0.535392165184021,0.24913249909877777,0.41548454761505127,0.535392165184021,0.24331095814704895,0.28750085830688477,0.3636345863342285,0.45503583550453186,0.25784367322921753,1.0,0.5345056653022766,0.1676495373249054,0.29463258385658264
reference,0.26254498958587646,0.2763133645057678,0.21538788080215454,0.26254498958587646,0.3172302544116974,0.24501700699329376,0.21164053678512573,0.2766492962837219,1.0,0.25784367322921753,0.26816195249557495,0.15446391701698303,0.2950310707092285
andy,0.194142147898674,0.14897789061069489,0.08953657001256943,0.194142147898674,0.09687696397304535,0.18846000730991364,0.19617865979671478,0.16560770571231842,0.16233597695827484,0.16475625336170197,0.11449289321899414,0.22944363951683044,0.13130870461463928
warhol,0.2180214524269104,0.1350138932466507,0.19807301461696625,0.2180214524269104,0.2407088428735733,0.20731474459171295,0.3322647213935852,0.2518928050994873,0.15267348289489746,0.15985871851444244,0.20039895176887512,0.4800978899002075,0.1486213207244873
and,0.5171257257461548,0.20763245224952698,0.5116966962814331,0.5171257257461548,0.20847226679325104,0.23249590396881104,0.3740963041782379,0.3739250600337982,0.21395881474018097,0.48971283435821533,0.506277859210968,0.20686885714530945,0.20544172823429108
to,0.535392165184021,0.24913249909877777,0.41548454761505127,0.535392165184021,0.24331095814704895,0.28750085830688477,0.3636345863342285,0.45503583550453186,0.25784367322921753,1.0,0.5345056653022766,0.1676495373249054,0.29463258385658264
create,0.25265660881996155,0.17433486878871918,0.23675619065761566,0.25265660881996155,0.2319842278957367,0.3159535825252533,0.17767828702926636,0.3041161596775055,0.2638091742992401,0.41124165058135986,0.3733832836151123,0.2155059576034546,0.300167441368103
a,0.5829201340675354,0.23181948065757751,0.5052502155303955,0.5829201340675354,0.24688468873500824,0.2328382134437561,0.4508470594882965,1.0,0.2766492962837219,0.45503583550453186,0.56894451379776,0.21805593371391296,0.23916715383529663
factory,0.2101404368877411,0.08065489679574966,0.1801474392414093,0.2101404368877411,0.1561477929353714,0.2039182335138321,0.28738224506378174,0.28819453716278076,0.14649847149848938,0.18206502497196198,0.24650433659553528,0.18004325032234192,0.13535508513450623
to,0.535392165184021,0.24913249909877777,0.41548454761505127,0.535392165184021,0.24331095814704895,0.28750085830688477,0.3636345863342285,0.45503583550453186,0.25784367322921753,1.0,0.5345056653022766,0.1676495373249054,0.29463258385658264
completely,0.342624306678772,0.10280191898345947,0.25305259227752686,0.342624306678772,0.1936349868774414,0.19281649589538574,0.26666659116744995,0.2836810052394867,0.16904419660568237,0.3738563656806946,0.44479432702064514,0.05725443363189697,0.17155995965003967
digitize,0.28076472878456116,0.18248483538627625,0.29705628752708435,0.28076472878456116,0.7654792666435242,0.31658121943473816,0.16149498522281647,0.23382189869880676,0.33328020572662354,0.3024069666862488,0.2934889793395996,0.2370305061340332,0.27175650000572205
the,1.0,0.27465343475341797,0.733189046382904,1.0,0.30199649930000305,0.2027820199728012,0.48711544275283813,0.5829201340675354,0.26254498958587646,0.535392165184021,0.6521818041801453,0.1862100064754486,0.22068053483963013
collection,0.25281965732574463,0.20720432698726654,0.2915455996990204,0.25281965732574463,0.40640148520469666,0.3083817660808563,0.1743653565645218,0.24716788530349731,0.26391443610191345,0.15417452156543732,0.30199134349823,0.2585020363330841,0.20069393515586853
.,0.5934505462646484,0.26782113313674927,0.5352458953857422,0.5934505462646484,0.250759094953537,0.23938670754432678,0.40146201848983765,0.50484299659729,0.2742740213871002,0.4645031690597534,0.45942068099975586,0.22495654225349426,0.4130953550338745
