,what,type,of,parenting,role,does,a,teacher,take,on,?
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.25867918133735657,0.26607486605644226,0.35928019881248474,0.5829201340675354,0.17760860919952393,0.31620436906814575,0.5107308030128479,0.22068053483963013
relationship,0.24358563125133514,0.020544983446598053,0.22000651061534882,0.3294662833213806,0.24824997782707214,0.22021599113941193,0.25691166520118713,0.24247348308563232,0.14442767202854156,0.13926656544208527,0.11361731588840485
between,0.2462156116962433,0.13229937851428986,0.3737983703613281,0.1722685545682907,0.12819576263427734,0.16966454684734344,0.29385313391685486,0.06959972530603409,0.21430909633636475,0.3335416913032532,0.12887074053287506
children,0.22469459474086761,0.09340640902519226,0.1978350728750229,0.39978283643722534,0.13065379858016968,0.1224919930100441,0.12013130635023117,0.28675583004951477,0.16830168664455414,0.20549149811267853,0.21788206696510315
and,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.2980336844921112,0.2629789710044861,0.3461615741252899,0.3739250600337982,0.27571162581443787,0.296702116727829,0.4077630043029785,0.20544172823429108
their,0.35142919421195984,0.14413684606552124,0.4329940676689148,0.342634916305542,0.17009969055652618,0.29094186425209045,0.29698723554611206,0.11377552151679993,0.34514620900154114,0.3598666191101074,0.1898253709077835
teachers,0.2526462972164154,0.09933348745107651,0.27737662196159363,0.31348592042922974,0.11980735510587692,0.1685517579317093,0.2509842813014984,0.7334206104278564,0.23758941888809204,0.24610933661460876,0.19522249698638916
tends,0.250471830368042,0.19529063999652863,0.2451501041650772,0.24642032384872437,0.19069793820381165,0.4357852041721344,0.39721885323524475,0.19804054498672485,0.21305236220359802,0.1870117038488388,0.1290840357542038
to,0.455847829580307,0.19930607080459595,0.41548454761505127,0.267874151468277,0.17841029167175293,0.4391997456550598,0.45503583550453186,0.1991342306137085,0.4075521230697632,0.41031414270401,0.29463258385658264
be,0.3929833769798279,0.25716274976730347,0.33904364705085754,0.20880082249641418,0.1769188493490219,0.28696945309638977,0.39883795380592346,0.1891087293624878,0.3844696581363678,0.37900757789611816,0.3324260413646698
closer,0.2976917326450348,0.08595411479473114,0.2900363504886627,0.1898326426744461,0.14185641705989838,0.19896329939365387,0.25847798585891724,0.1260119378566742,0.25834017992019653,0.2639085054397583,0.13396333158016205
in,0.30808621644973755,0.20604541897773743,0.5696388483047485,0.24628283083438873,0.243671715259552,0.214483380317688,0.539380669593811,0.22632350027561188,0.21975718438625336,0.46853652596473694,0.20430970191955566
the,0.42745697498321533,0.21819381415843964,0.733189046382904,0.25867918133735657,0.26607486605644226,0.35928019881248474,0.5829201340675354,0.17760860919952393,0.31620436906814575,0.5107308030128479,0.22068053483963013
primary,0.2113915979862213,0.20088249444961548,0.23414276540279388,0.21716177463531494,0.10765475034713745,0.24340936541557312,0.23038449883460999,0.2691154479980469,0.1717137098312378,0.2339327335357666,0.16286636888980865
school,0.18774057924747467,0.11896730959415436,0.2391800880432129,0.15976537764072418,0.13374219834804535,0.1536676436662674,0.2245093584060669,0.5442529320716858,0.19297656416893005,0.2388053983449936,0.15091250836849213
where,0.4457937180995941,0.2292499989271164,0.38066378235816956,0.24212026596069336,0.15603064000606537,0.2965966761112213,0.40997210144996643,0.22545279562473297,0.31621453166007996,0.37630224227905273,0.24793872237205505
they,0.4431931674480438,0.1953689455986023,0.3426007330417633,0.32310745120048523,0.1656014621257782,0.34390902519226074,0.3528250455856323,0.1623399555683136,0.3386363983154297,0.31295230984687805,0.2753053903579712
act,0.2622668445110321,0.11289714276790619,0.2802577316761017,0.23185884952545166,0.25746655464172363,0.21016603708267212,0.2060188204050064,0.17400281131267548,0.24733424186706543,0.17222115397453308,0.1482519507408142
as,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.20653560757637024,0.4036863148212433,0.31202155351638794,0.39550232887268066,0.27420735359191895,0.26337623596191406,0.36047765612602234,0.27043893933296204
form,0.15868011116981506,0.3017115294933319,0.29600051045417786,0.16153082251548767,0.058378916233778,0.26710256934165955,0.3088195323944092,0.12719707190990448,0.1515759527683258,0.1214052140712738,0.1463010311126709
tutor,0.18646344542503357,0.1024453267455101,0.15590403974056244,0.2618243396282196,0.16709229350090027,0.15853933990001678,0.2438567578792572,0.5377985835075378,0.19897343218326569,0.10721348226070404,0.13346409797668457
",",0.3087472915649414,0.1804078221321106,0.4946078956127167,0.24295900762081146,0.199491485953331,0.28617382049560547,0.427140474319458,0.2884024977684021,0.2881867289543152,0.49057599902153015,0.31091248989105225
specialist,0.16228291392326355,0.2188112735748291,0.1815623939037323,0.24640697240829468,0.17483122646808624,0.16123749315738678,0.24759195744991302,0.3206503093242645,0.24271535873413086,0.183710977435112,0.17958256602287292
teacher,0.20492632687091827,0.13493123650550842,0.19968076050281525,0.22479695081710815,0.18514810502529144,0.1430262327194214,0.31202319264411926,0.9999998807907104,0.15935395658016205,0.1997784823179245,0.1797819435596466
