,who,analyzes,rock,samples,from,drill,cores,in,the,lab,?
in,0.2792111933231354,0.21174000203609467,0.19663549959659576,0.13152313232421875,0.4274188280105591,0.1910555362701416,0.17652925848960876,1.0,0.6662389636039734,0.19344905018806458,0.20430970191955566
the,0.3733934462070465,0.25657835602760315,0.23786304891109467,0.2069351226091385,0.40150508284568787,0.27109989523887634,0.25309666991233826,0.6662389636039734,1.0,0.19908973574638367,0.22068053483963013
laboratory,0.10638436675071716,0.3647559583187103,0.09899430721998215,0.3049706816673279,0.13893836736679077,0.29123353958129883,0.2201089709997177,0.2533527612686157,0.19762322306632996,0.6134601831436157,0.07445509731769562
",",0.3365725874900818,0.1698685586452484,0.2775712311267853,0.2364167869091034,0.39760664105415344,0.21337367594242096,0.27680590748786926,0.5201468467712402,0.4933079481124878,0.1915702074766159,0.31091248989105225
biostratigraphers,0.25207915902137756,0.4107087254524231,0.26146790385246277,0.266345351934433,0.2181369960308075,0.23661746084690094,0.29602348804473877,0.2586088180541992,0.28443172574043274,0.2597459554672241,0.19931897521018982
analyze,0.16360558569431305,0.9202398061752319,0.14359749853610992,0.37345850467681885,0.14558780193328857,0.2376825213432312,0.3144890367984772,0.232345312833786,0.2610788345336914,0.34417957067489624,0.19188500940799713
rock,0.1515379399061203,0.11715153604745865,1.0,0.3065677583217621,0.22637957334518433,0.2741890847682953,0.26325175166130066,0.19663549959659576,0.23786304891109467,0.12091778963804245,0.13172835111618042
samples,0.21415893733501434,0.3536241054534912,0.3065677583217621,1.0000001192092896,0.24089361727237701,0.20836091041564941,0.3832346796989441,0.13152313232421875,0.2069351226091385,0.29322198033332825,0.1777840405702591
from,0.27839982509613037,0.15420114994049072,0.22637957334518433,0.24089361727237701,1.0,0.11232763528823853,0.22363339364528656,0.4274188280105591,0.40150508284568787,0.1461983472108841,0.19969791173934937
outcrop,0.11484337598085403,0.2192777395248413,0.4315834045410156,0.26172709465026855,0.19395503401756287,0.3040364980697632,0.3552475571632385,0.2348538041114807,0.2894781529903412,0.20406988263130188,0.08539192378520966
and,0.41279885172843933,0.22708554565906525,0.2808155119419098,0.2808810770511627,0.3601827025413513,0.1923479586839676,0.32954269647598267,0.4954058527946472,0.5171257257461548,0.2452252358198166,0.20544172823429108
drill,0.1706194132566452,0.22379545867443085,0.2741890847682953,0.20836091041564941,0.11232763528823853,1.0000001192092896,0.2010398954153061,0.1910555362701416,0.27109989523887634,0.19520047307014465,0.22573330998420715
cores,0.17871129512786865,0.3557913899421692,0.26325175166130066,0.3832346796989441,0.22363339364528656,0.2010398954153061,0.9999998807907104,0.17652925848960876,0.25309666991233826,0.17726290225982666,0.1528620421886444
for,0.37110671401023865,0.2616652548313141,0.20388811826705933,0.23178832232952118,0.314039945602417,0.22122034430503845,0.2587125301361084,0.4322226941585541,0.4739971458911896,0.185353085398674,0.264628142118454
the,0.3733934462070465,0.25657835602760315,0.23786304891109467,0.2069351226091385,0.40150508284568787,0.27109989523887634,0.25309666991233826,0.6662389636039734,1.0,0.19908973574638367,0.22068053483963013
fossils,0.14742760360240936,0.22749245166778564,0.2785075604915619,0.3125932812690735,0.20264261960983276,0.27503231167793274,0.26619166135787964,0.2852701246738434,0.2495197057723999,0.16201883554458618,0.1504307985305786
found,0.17055200040340424,0.22816170752048492,0.18355251848697662,0.26458656787872314,0.15488772094249725,0.18334202468395233,0.22137944400310516,0.39141854643821716,0.3452354073524475,0.16807079315185547,0.16790300607681274
in,0.2792111933231354,0.21174000203609467,0.19663549959659576,0.13152313232421875,0.4274188280105591,0.1910555362701416,0.17652925848960876,1.0,0.6662389636039734,0.19344905018806458,0.20430970191955566
them,0.5243523120880127,0.2454996258020401,0.21649791300296783,0.25571364164352417,0.2957119345664978,0.288808673620224,0.27258914709091187,0.29119014739990234,0.4788833558559418,0.20075631141662598,0.35435691475868225
.,0.3541337847709656,0.18591642379760742,0.24835698306560516,0.20069079101085663,0.41536515951156616,0.21415545046329498,0.24338574707508087,0.5591574311256409,0.5934505462646484,0.2572387754917145,0.4130953550338745
