,why,were,southern,chinese,ranked,lower,?
the,0.30742117762565613,0.3906462490558624,0.3282862603664398,0.2785343527793884,0.2711145281791687,0.3463275134563446,0.22068053483963013
northern,0.1550562083721161,0.17930571734905243,0.7355895638465881,0.23332257568836212,0.09143959730863571,0.20945680141448975,0.13149388134479523
chinese,0.15761412680149078,0.22925853729248047,0.22171291708946228,1.0000001192092896,0.15562334656715393,0.06220946088433266,0.20843194425106049
were,0.2287064492702484,1.0000001192092896,0.21199744939804077,0.22925853729248047,0.19494067132472992,0.17496317625045776,0.17890112102031708
ranked,0.17326296865940094,0.19494067132472992,0.13186034560203552,0.15562334656715393,1.0000001192092896,0.12321867793798447,0.12953443825244904
higher,0.17308205366134644,0.18113884329795837,0.17271962761878967,0.13815762102603912,0.2780408263206482,0.5770463347434998,0.15679465234279633
and,0.27806392312049866,0.42175528407096863,0.24232792854309082,0.25892454385757446,0.21633140742778778,0.2802542746067047,0.20544172823429108
southern,0.1125493124127388,0.21199744939804077,1.0,0.22171291708946228,0.13186034560203552,0.20213471353054047,0.11225555837154388
chinese,0.15761412680149078,0.22925853729248047,0.22171291708946228,1.0000001192092896,0.15562334656715393,0.06220946088433266,0.20843194425106049
were,0.2287064492702484,1.0000001192092896,0.21199744939804077,0.22925853729248047,0.19494067132472992,0.17496317625045776,0.17890112102031708
ranked,0.17326296865940094,0.19494067132472992,0.13186034560203552,0.15562334656715393,1.0000001192092896,0.12321867793798447,0.12953443825244904
lower,0.12838831543922424,0.17496317625045776,0.20213471353054047,0.06220946088433266,0.12321867793798447,1.0,0.08471795171499252
because,0.5926418900489807,0.3762696087360382,0.2090884894132614,0.20036393404006958,0.1769731342792511,0.2343423217535019,0.2528740465641022
southern,0.1125493124127388,0.21199744939804077,1.0,0.22171291708946228,0.13186034560203552,0.20213471353054047,0.11225555837154388
china,0.19276092946529388,0.2312094271183014,0.2866702973842621,0.6621482372283936,0.21976010501384735,0.1567307710647583,0.18007943034172058
withstood,0.3120654225349426,0.4171416461467743,0.26048290729522705,0.15979687869548798,0.15364176034927368,0.22603394091129303,0.19405639171600342
and,0.27806392312049866,0.42175528407096863,0.24232792854309082,0.25892454385757446,0.21633140742778778,0.2802542746067047,0.20544172823429108
fought,0.20699329674243927,0.3529883623123169,0.21783806383609772,0.16417944431304932,0.16073770821094513,0.13269996643066406,0.15288178622722626
to,0.4100138247013092,0.31913647055625916,0.18284058570861816,0.17416036128997803,0.08006753772497177,0.233318492770195,0.29463258385658264
the,0.30742117762565613,0.3906462490558624,0.3282862603664398,0.2785343527793884,0.2711145281791687,0.3463275134563446,0.22068053483963013
last,0.1652192920446396,0.25959286093711853,0.1384507715702057,0.22126750648021698,0.15547017753124237,0.12070845067501068,0.22371746599674225
before,0.32499244809150696,0.3127685785293579,0.18171094357967377,0.17685747146606445,0.1332533359527588,0.236189603805542,0.2507109045982361
caving,0.24692261219024658,0.16049928963184357,0.17334280908107758,0.18165883421897888,0.14136947691440582,0.17987507581710815,0.16403886675834656
in,0.23227278888225555,0.3815755248069763,0.3190481662750244,0.20821347832679749,0.2005387395620346,0.27455443143844604,0.20430970191955566
.,0.32909876108169556,0.3378238379955292,0.26629969477653503,0.25441038608551025,0.21607504785060883,0.24347278475761414,0.4130953550338745
