,how,many,prime,numbers,exist,?
there,0.3328511416912079,0.4993700683116913,0.14719140529632568,0.3104099631309509,0.4375018775463104,0.29405656456947327
are,0.311818927526474,0.5655534863471985,0.12279369682073593,0.37760815024375916,0.4066506326198578,0.24591213464736938
infinitely,0.30373772978782654,0.3059374988079071,0.23920835554599762,0.4465126097202301,0.3369167745113373,0.3284112513065338
many,0.4425291419029236,0.9999999403953552,0.12904198467731476,0.3370567262172699,0.3568662405014038,0.2124512493610382
primes,0.1886630654335022,0.2377949059009552,0.7104739546775818,0.47689586877822876,0.2149512618780136,0.18851876258850098
",",0.22659391164779663,0.40610817074775696,0.2565026581287384,0.26479464769363403,0.2977049946784973,0.31091248989105225
as,0.33782753348350525,0.4070141911506653,0.17482610046863556,0.2396276444196701,0.2531450390815735,0.27043893933296204
demonstrated,0.2632872462272644,0.28980836272239685,0.1622849553823471,0.23425494134426117,0.2532678544521332,0.1947716772556305
by,0.34370526671409607,0.3409687578678131,0.1702890843153,0.21251529455184937,0.09378909319639206,0.17966607213020325
euclid,0.1964697539806366,0.23784933984279633,0.264380544424057,0.38277676701545715,0.2979651987552643,0.2122764140367508
around,0.3297552764415741,0.4112928509712219,0.07106762379407883,0.2322303205728531,0.24345481395721436,0.14729668200016022
300,-0.03424505144357681,0.010953327640891075,0.05840351805090904,-0.026712937280535698,-0.009386415593326092,-0.06213558092713356
bc,0.19450779259204865,0.16998790204524994,0.1493973284959793,0.17085982859134674,0.17035336792469025,0.1382298320531845
.,0.3287222981452942,0.3974229395389557,0.17658381164073944,0.2591777741909027,0.29937607049942017,0.4130953550338745
