,who,",",with,jim,nantz,",",was,a,member,of,the,game,'s,lead,broadcast,team,?
the,0.3733934462070465,0.4933079481124878,0.4223487675189972,0.21709053218364716,0.1839083880186081,0.4933079481124878,0.48711544275283813,0.5829201340675354,0.2806392312049866,0.733189046382904,1.0,0.285271555185318,-0.01540423184633255,0.21995973587036133,0.2713715434074402,0.22564226388931274,0.22068053483963013
network,0.16999904811382294,0.1932937651872635,0.2153671681880951,0.1544746458530426,0.1770179569721222,0.1932937651872635,0.1994880586862564,0.17299489676952362,0.15541860461235046,0.21800683438777924,0.27187061309814453,0.2793661653995514,0.07819218933582306,0.13148891925811768,0.5386998653411865,0.17866657674312592,0.17853789031505585
's,0.05599616840481758,-0.0016132977325469255,-0.04624466598033905,0.03200199455022812,-0.026387060061097145,-0.0016132977325469255,0.008974763564765453,0.04866964742541313,-0.031640440225601196,-0.03817026689648628,-0.01540423184633255,0.07448072731494904,0.9999999403953552,-0.057115159928798676,0.0797032043337822,0.04450521618127823,-0.023395681753754616
lead,0.19455209374427795,0.2561914026737213,0.22399857640266418,0.17317819595336914,0.15932311117649078,0.2561914026737213,0.1970783770084381,0.20661775767803192,0.17128971219062805,0.19835850596427917,0.21995973587036133,0.18853990733623505,-0.057115159928798676,0.9999998807907104,0.17437663674354553,0.12031765282154083,0.14552436769008636
broadcast,0.18632595241069794,0.24917922914028168,0.1932039111852646,0.22113877534866333,0.25280091166496277,0.24917922914028168,0.24068336188793182,0.2046348601579666,0.16726110875606537,0.20155203342437744,0.2713715434074402,0.2862359285354614,0.0797032043337822,0.17437663674354553,1.0,0.15148718655109406,0.15760008990764618
team,0.22248858213424683,0.21287471055984497,0.21111343801021576,0.12399891763925552,0.12425379455089569,0.21287471055984497,0.13986483216285706,0.19125498831272125,0.24811816215515137,0.20352502167224884,0.22564226388931274,0.3462994396686554,0.04450521618127823,0.12031765282154083,0.15148718655109406,1.0,0.11243411153554916
of,0.2827862501144409,0.4946078956127167,0.41827285289764404,0.17690125107765198,0.14877048134803772,0.4946078956127167,0.4069072902202606,0.5052502155303955,0.2701796889305115,1.0,0.733189046382904,0.2298848181962967,-0.03817026689648628,0.19835850596427917,0.20155203342437744,0.20352502167224884,0.1826142966747284
jim,0.20676904916763306,0.2449302077293396,0.23149578273296356,1.0,0.34583035111427307,0.2449302077293396,0.23169779777526855,0.19134078919887543,0.14082930982112885,0.17690125107765198,0.21709053218364716,0.17186978459358215,0.03200199455022812,0.17317819595336914,0.22113877534866333,0.12399891763925552,0.09886423498392105
nantz,0.2156517058610916,0.26447686553001404,0.12747496366500854,0.34583035111427307,1.0000001192092896,0.26447686553001404,0.21084697544574738,0.164144828915596,0.11885403096675873,0.14877048134803772,0.1839083880186081,0.1806603968143463,-0.026387060061097145,0.15932311117649078,0.25280091166496277,0.12425379455089569,0.09058576822280884
and,0.41279885172843933,0.6633074283599854,0.5477725267410278,0.20620384812355042,0.22546076774597168,0.6633074283599854,0.3740963041782379,0.3739250600337982,0.28606608510017395,0.5116966962814331,0.5171257257461548,0.25192898511886597,0.06895173341035843,0.31077226996421814,0.22526025772094727,0.22394508123397827,0.20544172823429108
phil,0.22438369691371918,0.25384506583213806,0.16409851610660553,0.3204391598701477,0.3098578453063965,0.25384506583213806,0.15864568948745728,0.16615474224090576,0.15791459381580353,0.06419843435287476,0.1382283866405487,0.21814431250095367,0.04277448356151581,0.1765003353357315,0.2719953656196594,0.11377450823783875,0.14019250869750977
simms,0.21366964280605316,0.3487760126590729,0.21182948350906372,0.3302830755710602,0.36048123240470886,0.3487760126590729,0.2484177201986313,0.21561090648174286,0.15050986409187317,0.20394350588321686,0.24824075400829315,0.27701038122177124,0.02110225334763527,0.14840979874134064,0.2963072955608368,0.21050302684307098,0.133713960647583
called,0.3151143789291382,0.26549121737480164,0.3139074146747589,0.13530027866363525,0.13536176085472107,0.26549121737480164,0.33927658200263977,0.4868806302547455,0.15604257583618164,0.4222904443740845,0.489897221326828,0.18780666589736938,-0.021773243322968483,0.08860509097576141,0.22146372497081757,0.15475037693977356,0.18963319063186646
