,what,was,the,title,of,philo,'s,work,?
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2263992726802826,0.5696388483047485,0.15841174125671387,-0.037580832839012146,0.2753349542617798,0.20430970191955566
his,0.26976513862609863,0.4405253231525421,0.4394008219242096,0.22620166838169098,0.38364991545677185,0.247598335146904,0.047556519508361816,0.36648666858673096,0.18075084686279297
work,0.3762225806713104,0.24745555222034454,0.2704800069332123,0.22286555171012878,0.23473061621189117,0.2021644562482834,-0.03332063928246498,1.0,0.2621155381202698
pneumatica,0.19406680762767792,0.15672214329242706,0.22078737616539001,0.12624672055244446,0.25051185488700867,0.24878612160682678,-0.029687123373150826,0.2224574238061905,0.24273188412189484
",",0.3087472915649414,0.45456063747406006,0.4933079481124878,0.2202284336090088,0.4946078956127167,0.20779377222061157,-0.0016132977325469255,0.3283594250679016,0.31091248989105225
philo,0.14625145494937897,0.21632470190525055,0.11827199906110764,0.16256172955036163,0.11807307600975037,1.0000001192092896,0.03054623305797577,0.2021644562482834,0.13684967160224915
observed,0.26469987630844116,0.18324865400791168,0.26280322670936584,0.038402508944272995,0.24605341255664825,0.09183141589164734,-0.0507233701646328,0.1919957399368286,0.12128034234046936
that,0.6297725439071655,0.33670201897621155,0.5473989248275757,0.18916001915931702,0.41498205065727234,0.1806609034538269,0.04397977516055107,0.34257015585899353,0.32716336846351624
inverting,0.24280090630054474,0.07324627041816711,0.25349822640419006,0.14419841766357422,0.2449285238981247,0.07134705036878586,0.019295604899525642,0.270077109336853,0.2233082354068756
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.23181948065757751,0.5052502155303955,0.13571318984031677,0.04866964742541313,0.266241192817688,0.23916715383529663
vessel,0.16587308049201965,0.16887997090816498,0.2978035807609558,0.04354167729616165,0.23386210203170776,0.10922569781541824,-0.08685966581106186,0.15726971626281738,0.14569297432899475
over,0.28007611632347107,0.24486446380615234,0.39856547117233276,0.1994510442018509,0.36136594414711,0.12765003740787506,0.016215575858950615,0.23439672589302063,0.25742942094802856
a,0.3320399522781372,0.4508470594882965,0.5829201340675354,0.23181948065757751,0.5052502155303955,0.13571318984031677,0.04866964742541313,0.266241192817688,0.23916715383529663
burning,0.21885274350643158,0.18665166199207306,0.2821531891822815,0.042144812643527985,0.26340749859809875,0.06419339776039124,-0.002211935818195343,0.1788964420557022,0.18033187091350555
candle,0.204271137714386,0.1466248482465744,0.22087159752845764,0.2197929173707962,0.16835637390613556,0.14358386397361755,-0.011603197082877159,0.27117180824279785,0.1701110303401947
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.20763245224952698,0.5116966962814331,0.1622416079044342,0.06895173341035843,0.37551814317703247,0.20544172823429108
surrounding,0.2419222742319107,0.1394682377576828,0.37289485335350037,0.15119074285030365,0.36802753806114197,0.0894998088479042,-0.003832252463325858,0.14947400987148285,0.05288729816675186
the,0.42745697498321533,0.48711544275283813,1.0,0.27465343475341797,0.733189046382904,0.11827199906110764,-0.01540423184633255,0.2704800069332123,0.22068053483963013
vessel,0.16587308049201965,0.16887997090816498,0.2978035807609558,0.04354167729616165,0.23386210203170776,0.10922569781541824,-0.08685966581106186,0.15726971626281738,0.14569297432899475
's,0.02692362666130066,0.008974763564765453,-0.01540423184633255,-0.01928652636706829,-0.03817026689648628,0.03054623305797577,0.9999999403953552,-0.03332063928246498,-0.023395681753754616
neck,0.21001802384853363,0.20437124371528625,0.2336590439081192,0.06813690811395645,0.16993649303913116,0.07117753475904465,-0.04501921683549881,0.13551971316337585,0.1379052996635437
with,0.2464839518070221,0.27411898970603943,0.4223487675189972,0.16094465553760529,0.41827285289764404,0.16192033886909485,-0.04624466598033905,0.2649822533130646,0.2433311939239502
water,0.17456887662410736,0.18750394880771637,0.297396719455719,0.07755459100008011,0.2741255462169647,0.05114920809864998,0.06513497978448868,0.18758267164230347,0.14731885492801666
resulted,0.14803820848464966,0.3113420605659485,0.2975946068763733,0.1026240736246109,0.3479447662830353,0.1166674867272377,-0.07127729803323746,0.13078762590885162,0.1391388475894928
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.2263992726802826,0.5696388483047485,0.15841174125671387,-0.037580832839012146,0.2753349542617798,0.20430970191955566
some,0.4491020441055298,0.21528802812099457,0.4566698372364044,0.15646985173225403,0.4300730526447296,0.17858771979808807,0.056411296129226685,0.3953768014907837,0.2562315762042999
water,0.17456887662410736,0.18750394880771637,0.297396719455719,0.07755459100008011,0.2741255462169647,0.05114920809864998,0.06513497978448868,0.18758267164230347,0.14731885492801666
rising,0.18883290886878967,0.22641846537590027,0.34945452213287354,0.07992710173130035,0.27970030903816223,0.03258901089429855,-0.04362783581018448,0.1549108922481537,0.07955946773290634
into,0.2180619090795517,0.2322220653295517,0.39493247866630554,0.1688598394393921,0.32255905866622925,0.10372094810009003,0.00961404386907816,0.17923736572265625,0.15662476420402527
the,0.42745697498321533,0.48711544275283813,1.0,0.27465343475341797,0.733189046382904,0.11827199906110764,-0.01540423184633255,0.2704800069332123,0.22068053483963013
neck,0.21001802384853363,0.20437124371528625,0.2336590439081192,0.06813690811395645,0.16993649303913116,0.07117753475904465,-0.04501921683549881,0.13551971316337585,0.1379052996635437
.,0.3567904531955719,0.40146201848983765,0.5934505462646484,0.26782113313674927,0.5352458953857422,0.1658102124929428,-0.003708066651597619,0.33121398091316223,0.4130953550338745
