,when,did,the,y.,pestis,reach,england,?
surveys,0.18382687866687775,0.23553726077079773,0.2685038149356842,0.11046827584505081,0.18667100369930267,0.22050407528877258,0.177914097905159,0.20467156171798706
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.013823704794049263,0.19618989527225494,0.20552729070186615,0.24624483287334442,0.1826142966747284
plague,0.25819700956344604,0.1901843398809433,0.2537761330604553,-0.05651051923632622,0.5067715644836426,0.17890793085098267,0.2863551378250122,0.11872942000627518
pit,0.16705259680747986,0.12433866411447525,0.21786080300807953,-0.08885640650987625,0.17372877895832062,0.19710113108158112,0.13685287535190582,0.12017262727022171
remains,0.2758557200431824,0.260799378156662,0.3663966655731201,-0.0630951076745987,0.18322977423667908,0.2634371817111969,0.17138761281967163,0.1479063630104065
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,-0.0645652711391449,0.16708125174045563,0.20601192116737366,0.33311840891838074,0.20430970191955566
france,0.24438227713108063,0.2138325721025467,0.35517507791519165,-0.028736749663949013,0.18782980740070343,0.07139299809932709,0.4915108382701874,0.15069349110126495
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,-0.017943840473890305,0.21790508925914764,0.25625354051589966,0.35173749923706055,0.20544172823429108
england,0.26359328627586365,0.22023706138134003,0.28280043601989746,-0.0917016863822937,0.1387265920639038,0.13913191854953766,0.9999998807907104,0.13436897099018097
indicate,0.22948811948299408,0.19002793729305267,0.2430160641670227,0.2099529206752777,0.1767595410346985,0.23043383657932281,0.12779346108436584,0.23544088006019592
the,0.5091903209686279,0.34736719727516174,1.0,-0.0005152968224138021,0.23376873135566711,0.31808504462242126,0.28280043601989746,0.22068053483963013
first,0.4282494783401489,0.33691170811653137,0.49448907375335693,-0.014057110995054245,0.20360064506530762,0.2759714126586914,0.24895092844963074,0.18701928853988647
variant,0.16177695989608765,0.1219402402639389,0.13544104993343353,0.14717908203601837,0.20658574998378754,0.06672981381416321,0.13688741624355316,0.17448770999908447
entered,0.28343769907951355,0.24553436040878296,0.3258282542228699,0.15026429295539856,0.12668101489543915,0.26091182231903076,0.14267268776893616,0.10335487127304077
europe,0.18744638562202454,0.22473940253257751,0.34463706612586975,-0.0973181203007698,0.22805875539779663,0.19004228711128235,0.3689185380935669,0.18278923630714417
through,0.34666842222213745,0.14190755784511566,0.44071322679519653,0.010168254375457764,0.13016562163829803,0.30852174758911133,0.14989835023880005,0.16913433372974396
the,0.5091903209686279,0.34736719727516174,1.0,-0.0005152968224138021,0.23376873135566711,0.31808504462242126,0.28280043601989746,0.22068053483963013
port,0.19527626037597656,0.10525383055210114,0.2648184895515442,0.031070414930582047,0.16818031668663025,0.19189561903476715,0.17948603630065918,0.06519711017608643
