,antigens,bind,to,what,in,order,to,elicit,a,response,of,the,immune,system,?
one,0.2404845654964447,0.25993236899375916,0.4025384783744812,0.376489520072937,0.4129433035850525,0.144612655043602,0.4025384783744812,0.15946373343467712,0.4910551905632019,0.19180624186992645,0.4999135136604309,0.5514441132545471,0.18161426484584808,0.2139107882976532,0.2673267424106598
class,0.11736816167831421,0.1298307627439499,0.18696844577789307,0.16880196332931519,0.1761927455663681,0.29659363627433777,0.18696844577789307,0.17508989572525024,0.23462694883346558,0.14123840630054474,0.19740594923496246,0.18034407496452332,0.16853775084018707,0.16998769342899323,0.12778934836387634
of,0.2752571105957031,0.23110318183898926,0.41548454761505127,0.33290785551071167,0.5696388483047485,0.31287699937820435,0.41548454761505127,0.15619924664497375,0.5052502155303955,0.21864040195941925,1.0,0.733189046382904,0.16620753705501556,0.25597915053367615,0.1826142966747284
non-self,0.3316345512866974,0.28925397992134094,0.31435784697532654,0.38723137974739075,0.22045454382896423,0.18951942026615143,0.31435784697532654,0.3458583354949951,0.286128431558609,0.25918352603912354,0.25677213072776794,0.27000007033348083,0.3004506528377533,0.21916721761226654,0.3134685158729553
molecules,0.5595588684082031,0.5265048742294312,0.2749134600162506,0.2143162339925766,0.2197362184524536,0.2070329636335373,0.2749134600162506,0.24831566214561462,0.23147501051425934,0.20722168684005737,0.24428431689739227,0.2374771386384964,0.3475925624370575,0.26136019825935364,0.17409995198249817
are,0.3016895651817322,0.2113465666770935,0.3504326641559601,0.29724663496017456,0.3841303884983063,0.22330260276794434,0.3504326641559601,0.18092764914035797,0.265255331993103,0.20697586238384247,0.39081433415412903,0.40399202704429626,0.23878547549247742,0.21917270123958588,0.24591213464736938
called,0.248521089553833,0.33401036262512207,0.2987143397331238,0.3235960602760315,0.40847352147102356,0.19453170895576477,0.2987143397331238,0.1875576227903366,0.4868806302547455,0.20884771645069122,0.4222904443740845,0.489897221326828,0.2022581249475479,0.23914183676242828,0.18963319063186646
antigens,0.9999999403953552,0.5111198425292969,0.2549254596233368,0.1918221414089203,0.18266505002975464,0.21247915923595428,0.2549254596233368,0.3182598948478699,0.27554184198379517,0.34690535068511963,0.2752571105957031,0.2716159522533417,0.6192981004714966,0.24312779307365417,0.21072189509868622
(,0.2048507183790207,0.18240872025489807,0.30882009863853455,0.2411840260028839,0.3087427020072937,0.1917618215084076,0.30882009863853455,0.2220355123281479,0.3206180930137634,0.20105482637882233,0.35032153129577637,0.33289089798927307,0.08545625954866409,0.15626809000968933,0.40561532974243164
short,0.20639610290527344,0.14319837093353271,0.25023147463798523,0.19211500883102417,0.26193615794181824,0.10708232969045639,0.25023147463798523,0.12952163815498352,0.39202192425727844,0.13683651387691498,0.2761780321598053,0.29603123664855957,0.1091783195734024,0.15723176300525665,0.16194626688957214
for,0.2331809103488922,0.1322632133960724,0.4451248347759247,0.3017193675041199,0.4322226941585541,0.16561681032180786,0.4451248347759247,0.2129187285900116,0.44038116931915283,0.2802165448665619,0.4185989499092102,0.4739971458911896,0.1448224037885666,0.2630598843097687,0.264628142118454
antibody,0.740662693977356,0.4540823996067047,0.21433036029338837,0.1906609684228897,0.1745624542236328,0.19682054221630096,0.21433036029338837,0.25534024834632874,0.28199008107185364,0.3035257160663605,0.2244306057691574,0.23062217235565186,0.5761290788650513,0.2197788506746292,0.21013349294662476
generators,0.30475980043411255,0.19357901811599731,0.28079837560653687,0.24249255657196045,0.21081826090812683,0.168447345495224,0.28079837560653687,0.1765822172164917,0.20979048311710358,0.21122044324874878,0.2220006138086319,0.2787470817565918,0.1924903839826584,0.26619961857795715,0.20217099785804749
),0.16595809161663055,0.16977906227111816,0.31236231327056885,0.26259949803352356,0.3326910734176636,0.2052282840013504,0.31236231327056885,0.2140987515449524,0.3640355169773102,0.2160845845937729,0.3680361211299896,0.3456730246543884,0.052535902708768845,0.15207810699939728,0.42300865054130554
and,0.23637235164642334,0.2333027869462967,0.48971283435821533,0.31309178471565247,0.4954058527946472,0.2671266496181488,0.48971283435821533,0.21114172041416168,0.3739250600337982,0.21754570305347443,0.5116966962814331,0.5171257257461548,0.14400269091129303,0.231138214468956,0.20544172823429108
are,0.3016895651817322,0.2113465666770935,0.3504326641559601,0.29724663496017456,0.3841303884983063,0.22330260276794434,0.3504326641559601,0.18092764914035797,0.265255331993103,0.20697586238384247,0.39081433415412903,0.40399202704429626,0.23878547549247742,0.21917270123958588,0.24591213464736938
defined,0.21545839309692383,0.1884772926568985,0.21911276876926422,0.25343453884124756,0.2143561989068985,0.15254004299640656,0.21911276876926422,0.1969035118818283,0.25929558277130127,0.20145252346992493,0.2659633457660675,0.2634572982788086,0.11484622210264206,0.2620893120765686,0.22494901716709137
as,0.20490676164627075,0.1672244817018509,0.42092081904411316,0.31749409437179565,0.3887844979763031,0.21579164266586304,0.42092081904411316,0.280258446931839,0.39550232887268066,0.21680697798728943,0.3886612355709076,0.48381632566452026,0.17487213015556335,0.1973835676908493,0.27043893933296204
substances,0.5030547976493835,0.4678593575954437,0.2833317220211029,0.2663726210594177,0.2591451108455658,0.15604494512081146,0.2833317220211029,0.2779364287853241,0.2703094184398651,0.2575177550315857,0.2613070607185364,0.27348068356513977,0.3946288824081421,0.29098135232925415,0.19339443743228912
that,0.2741839289665222,0.28867918252944946,0.5436353087425232,0.6297725439071655,0.435920387506485,0.2761181890964508,0.5436353087425232,0.28259795904159546,0.47537946701049805,0.3606419265270233,0.41498205065727234,0.5473989248275757,0.30237793922424316,0.3088737428188324,0.32716336846351624
bind,0.5111198425292969,1.0000001192092896,0.27997180819511414,0.20024219155311584,0.1995374858379364,0.19330771267414093,0.27997180819511414,0.2853724956512451,0.22245846688747406,0.1903853863477707,0.23110318183898926,0.20701828598976135,0.4256449341773987,0.15893560647964478,0.13327588140964508
to,0.2549254596233368,0.27997180819511414,1.0,0.455847829580307,0.45010748505592346,0.35544881224632263,1.0,0.34688007831573486,0.45503583550453186,0.277526319026947,0.41548454761505127,0.535392165184021,0.2541976273059845,0.26662686467170715,0.29463258385658264
specific,0.4270210862159729,0.3422529101371765,0.3962339460849762,0.37695175409317017,0.26078200340270996,0.18988429009914398,0.3962339460849762,0.3019292950630188,0.3531852960586548,0.34199488162994385,0.2744234502315521,0.3501757085323334,0.3464908301830292,0.29145383834838867,0.30923372507095337
immune,0.6192981004714966,0.4256449341773987,0.2541976273059845,0.2410416603088379,0.14682820439338684,0.2435891181230545,0.2541976273059845,0.2889099419116974,0.20466765761375427,0.43541768193244934,0.16620753705501556,0.21364226937294006,1.0,0.3962631821632385,0.16080476343631744
