,who,established,the,confederation,of,the,rhine,?
the,0.3733934462070465,0.33092597126960754,1.0,0.338320255279541,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
confederation,0.21394218504428864,0.2890714108943939,0.338320255279541,1.0000001192092896,0.3036113679409027,0.338320255279541,0.3604039251804352,0.1559038907289505
of,0.2827862501144409,0.2735237777233124,0.733189046382904,0.3036113679409027,1.0,0.733189046382904,0.2548927664756775,0.1826142966747284
the,0.3733934462070465,0.33092597126960754,1.0,0.338320255279541,0.733189046382904,1.0,0.30735138058662415,0.22068053483963013
rhine,0.16740792989730835,0.17527751624584198,0.30735138058662415,0.3604039251804352,0.2548927664756775,0.30735138058662415,1.0,0.13754533231258392
was,0.3318818509578705,0.26515325903892517,0.48711544275283813,0.254781037569046,0.4069072902202606,0.48711544275283813,0.18681856989860535,0.18412111699581146
established,0.20118318498134613,0.9999998807907104,0.33092597126960754,0.2890714108943939,0.2735237777233124,0.33092597126960754,0.17527751624584198,0.15917523205280304
by,0.39727845788002014,0.21138796210289001,0.4408751428127289,0.19481641054153442,0.3646814823150635,0.4408751428127289,0.18456800282001495,0.17966607213020325
napoleon,0.19887910783290863,0.2297656089067459,0.2502446174621582,0.3312171399593353,0.20811064541339874,0.2502446174621582,0.2989141345024109,0.15321364998817444
",",0.3365725874900818,0.22739723324775696,0.4933079481124878,0.23066601157188416,0.4946078956127167,0.4933079481124878,0.167837992310524,0.31091248989105225
as,0.3923053741455078,0.26194092631340027,0.48381632566452026,0.19671228528022766,0.3886612355709076,0.48381632566452026,0.18380387127399445,0.27043893933296204
a,0.36608949303627014,0.23500119149684906,0.5829201340675354,0.20444446802139282,0.5052502155303955,0.5829201340675354,0.1823403388261795,0.23916715383529663
french,0.2756427824497223,0.16478145122528076,0.2555147111415863,0.29079362750053406,0.19450366497039795,0.2555147111415863,0.2762029767036438,0.1386883556842804
