,communication,complexity,is,an,example,of,what,type,of,measure,?
although,0.18042521178722382,0.17564670741558075,0.301360160112381,0.25058484077453613,0.21854479610919952,0.3024747669696808,0.24844598770141602,0.1240415871143341,0.3024747669696808,0.21237051486968994,0.15541206300258636
time,0.24437910318374634,0.2680857479572296,0.25187405943870544,0.17594800889492035,0.31812599301338196,0.35127586126327515,0.36319252848625183,0.1723036915063858,0.35127586126327515,0.23244519531726837,0.27391523122787476
and,0.31177079677581787,0.2520415782928467,0.3859752118587494,0.2838519215583801,0.35305824875831604,0.5116966962814331,0.31309178471565247,0.16898801922798157,0.5116966962814331,0.23739957809448242,0.20544172823429108
space,0.25919201970100403,0.2585889995098114,0.18578536808490753,0.19467206299304962,0.22145843505859375,0.21300287544727325,0.20525942742824554,0.19901056587696075,0.21300287544727325,0.18054817616939545,0.1885536164045334
are,0.27097564935684204,0.27680158615112305,0.5330929756164551,0.1556541919708252,0.4108889698982239,0.39081433415412903,0.29724663496017456,0.24155041575431824,0.39081433415412903,0.28366684913635254,0.24591213464736938
the,0.2984345257282257,0.21171598136425018,0.5823672413825989,0.4207492768764496,0.3755223751068115,0.733189046382904,0.42745697498321533,0.21819381415843964,0.733189046382904,0.2528008222579956,0.22068053483963013
most,0.2506255507469177,0.22505328059196472,0.41165053844451904,0.2748267352581024,0.3754276633262634,0.4178851246833801,0.3219912350177765,0.24228660762310028,0.4178851246833801,0.186997652053833,0.2107497900724411
well-known,0.1790192872285843,0.16191795468330383,0.3531816303730011,0.3104322552680969,0.21153931319713593,0.3684920072555542,0.19213207066059113,0.11844748258590698,0.3684920072555542,0.16788816452026367,0.2076386660337448
complexity,0.3802680969238281,1.0,0.2541271150112152,0.2376130372285843,0.36779677867889404,0.23338180780410767,0.33747240900993347,0.20110034942626953,0.23338180780410767,0.31501296162605286,0.23062916100025177
resources,0.3804135322570801,0.30577579140663147,0.23539847135543823,0.15037932991981506,0.22297218441963196,0.2746381163597107,0.24701403081417084,0.09185263514518738,0.2746381163597107,0.20565222203731537,0.26047492027282715
",",0.25464728474617004,0.27822354435920715,0.4691906273365021,0.3581022024154663,0.3094974756240845,0.4946078956127167,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.18738344311714172,0.31091248989105225
any,0.31855085492134094,0.3716617226600647,0.35691767930984497,0.3555181324481964,0.421649694442749,0.3769088089466095,0.43670421838760376,0.27895575761795044,0.3769088089466095,0.2958662509918213,0.4113408327102661
complexity,0.3802680969238281,1.0,0.2541271150112152,0.2376130372285843,0.36779677867889404,0.23338180780410767,0.33747240900993347,0.20110034942626953,0.23338180780410767,0.31501296162605286,0.23062916100025177
measure,0.2850816547870636,0.31501296162605286,0.2864217460155487,0.21397879719734192,0.3361307978630066,0.22469913959503174,0.2807709276676178,0.19066864252090454,0.22469913959503174,1.0000001192092896,0.22092340886592865
can,0.3154314160346985,0.31849509477615356,0.44256699085235596,0.23671309649944305,0.5023694038391113,0.2603091299533844,0.34502777457237244,0.33094167709350586,0.2603091299533844,0.3774224519729614,0.3226337134838104
be,0.24270014464855194,0.34982410073280334,0.4819129705429077,0.33041056990623474,0.4382762610912323,0.33904364705085754,0.3929833769798279,0.25716274976730347,0.33904364705085754,0.3525533676147461,0.3324260413646698
viewed,0.2780449688434601,0.25642460584640503,0.24106821417808533,0.22299160063266754,0.21637049317359924,0.27454227209091187,0.2938295900821686,0.13005657494068146,0.27454227209091187,0.2602837383747101,0.19983090460300446
as,0.23491299152374268,0.22960948944091797,0.43216490745544434,0.37218472361564636,0.35903409123420715,0.3886612355709076,0.31749409437179565,0.19307732582092285,0.3886612355709076,0.25576961040496826,0.27043893933296204
a,0.25636687874794006,0.27206721901893616,0.658733606338501,0.44552403688430786,0.40234753489494324,0.5052502155303955,0.3320399522781372,0.3813284635543823,0.5052502155303955,0.2953258156776428,0.23916715383529663
