,what,do,some,believe,about,this,pronunciation,?
others,0.3888046145439148,0.3561740517616272,0.5857272148132324,0.3892410695552826,0.33523204922676086,0.3800615966320038,0.16643938422203064,0.26705288887023926
say,0.5386801958084106,0.47272729873657227,0.4367883801460266,0.6434199213981628,0.41627129912376404,0.4232628345489502,0.26871687173843384,0.4357808530330658
that,0.6297725439071655,0.44533252716064453,0.6049469113349915,0.533393383026123,0.4500710964202881,0.6909449696540833,0.20878498256206512,0.32716336846351624
this,0.5489566326141357,0.34963881969451904,0.5247883796691895,0.4528229534626007,0.3886062204837799,0.9999999403953552,0.25450655817985535,0.3155723512172699
was—on,0.21798549592494965,0.1784161776304245,0.20556794106960297,0.25678181648254395,0.21729139983654022,0.24480091035366058,0.11800111085176468,0.24335503578186035
the,0.42745697498321533,0.30239659547805786,0.4566698372364044,0.2972484529018402,0.37995871901512146,0.6274310946464539,0.21106497943401337,0.22068053483963013
contrary—a,0.44857120513916016,0.3964248299598694,0.4013838469982147,0.39066797494888306,0.24765148758888245,0.4471307396888733,0.2552452087402344,0.3318527340888977
very,0.37053924798965454,0.2859450876712799,0.5235835909843445,0.36228957772254944,0.3650999367237091,0.48376014828681946,0.16120333969593048,0.20864155888557434
precise,0.3571929335594177,0.2873629331588745,0.35222360491752625,0.24613437056541443,0.28470802307128906,0.44095146656036377,0.24923519790172577,0.20396026968955994
notation,0.20564325153827667,0.20730993151664734,0.27775123715400696,0.14391040802001953,0.14893053472042084,0.2798893451690674,0.3742685616016388,0.2337181121110916
of,0.33290785551071167,0.26150479912757874,0.4300730526447296,0.2925758957862854,0.40939709544181824,0.45148900151252747,0.1811414361000061,0.1826142966747284
a,0.3320399522781372,0.26237669587135315,0.34539633989334106,0.2732302248477936,0.34171196818351746,0.5422310829162598,0.22312091290950775,0.23916715383529663
correct,0.43571773171424866,0.3734714984893799,0.37673231959342957,0.2934800982475281,0.27974024415016174,0.41055020689964294,0.35511454939842224,0.36336278915405273
african,0.11136822402477264,0.1800515055656433,0.2183154970407486,0.17341318726539612,0.22252832353115082,0.18149976432323456,0.10272913426160812,0.11862778663635254
pronunciation,0.24994006752967834,0.20826005935668945,0.17372660338878632,0.18409927189350128,0.11820922046899796,0.25450655817985535,1.0,0.25199246406555176
/ˈkɛnjə/,0.30697768926620483,0.32153260707855225,0.21019302308559418,0.3104259967803955,0.1771748960018158,0.2984621524810791,0.2167908251285553,0.35686802864074707
.,0.3567904531955719,0.3613996207714081,0.40663889050483704,0.26988279819488525,0.42038556933403015,0.500583827495575,0.16037994623184204,0.4130953550338745
