,where,did,france,win,a,war,in,the,1950,'s
whereas,0.3941247761249542,0.21479228138923645,0.1234118789434433,0.07046651840209961,0.27881526947021484,0.13930359482765198,0.27898839116096497,0.3696324825286865,-0.1439347118139267,0.08053937554359436
they,0.43078136444091797,0.4879390597343445,0.23793530464172363,0.21417540311813354,0.3528250455856323,0.23408442735671997,0.4330179989337921,0.49925389885902405,0.003529204986989498,0.03738465905189514
won,0.19505172967910767,0.3493216037750244,0.19048823416233063,0.667466402053833,0.22534137964248657,0.23215411603450775,0.3280489146709442,0.29432493448257446,0.019697070121765137,-0.07419146597385406
the,0.5003893971443176,0.34736719727516174,0.35517507791519165,0.28308698534965515,0.5829201340675354,0.366199791431427,0.6662389636039734,1.0,-0.046802785247564316,-0.01540423184633255
war,0.2167234867811203,0.27422013878822327,0.2819103002548218,0.28179994225502014,0.2368277609348297,1.0000001192092896,0.29904094338417053,0.366199791431427,-0.018897494301199913,0.06856801360845566
in,0.5344807505607605,0.2593238651752472,0.3812309503555298,0.2503834664821625,0.539380669593811,0.29904094338417053,1.0,0.6662389636039734,-0.03321470692753792,-0.037580832839012146
algeria,0.1941394954919815,0.035289864987134933,0.3980414569377899,0.12745872139930725,0.142367884516716,0.20939812064170837,0.2257280796766281,0.1901172548532486,-0.23452526330947876,-0.005594663787633181
",",0.3149496018886566,0.3015086054801941,0.28250643610954285,0.2999197840690613,0.427140474319458,0.2671184241771698,0.5201468467712402,0.4933079481124878,0.032923124730587006,-0.0016132977325469255
the,0.5003893971443176,0.34736719727516174,0.35517507791519165,0.28308698534965515,0.5829201340675354,0.366199791431427,0.6662389636039734,1.0,-0.046802785247564316,-0.01540423184633255
french,0.17587623000144958,0.1584041714668274,0.5492131114006042,0.21530486643314362,0.24285779893398285,0.2536753714084625,0.22093388438224792,0.2555147111415863,-0.08454578369855881,0.0634014755487442
leader,0.10712740570306778,0.16038542985916138,0.22119100391864777,0.2976948618888855,0.21384623646736145,0.251504123210907,0.22669851779937744,0.27799519896507263,0.058089785277843475,0.01118219830095768
at,0.4402937591075897,0.28390252590179443,0.2402782440185547,0.18453358113765717,0.3095070421695709,0.23910050094127655,0.4374977946281433,0.457212895154953,-0.04064002260565758,-0.08481216430664062
the,0.5003893971443176,0.34736719727516174,0.35517507791519165,0.28308698534965515,0.5829201340675354,0.366199791431427,0.6662389636039734,1.0,-0.046802785247564316,-0.01540423184633255
time,0.3538551926612854,0.3567926585674286,0.25373372435569763,0.24873384833335876,0.3292340338230133,0.2664822041988373,0.3431483507156372,0.43061500787734985,-0.08214127272367477,0.01301188487559557
",",0.3149496018886566,0.3015086054801941,0.28250643610954285,0.2999197840690613,0.427140474319458,0.2671184241771698,0.5201468467712402,0.4933079481124878,0.032923124730587006,-0.0016132977325469255
charles,0.14790989458560944,0.11287324130535126,0.29564470052719116,0.12980417907238007,0.20142732560634613,0.2567916810512543,0.21346928179264069,0.20777860283851624,0.03791540488600731,-0.08611538261175156
de,0.2051386833190918,0.09745011478662491,0.42480456829071045,0.17169708013534546,0.19532008469104767,0.17422519624233246,0.24818959832191467,0.23491892218589783,-0.18314175307750702,0.018396059051156044
gaulle,0.17679159343242645,0.12662535905838013,0.4594655930995941,0.21448834240436554,0.19755271077156067,0.2514582574367523,0.22017589211463928,0.2735597789287567,-0.16264964640140533,0.030581852421164513
",",0.3149496018886566,0.3015086054801941,0.28250643610954285,0.2999197840690613,0.427140474319458,0.2671184241771698,0.5201468467712402,0.4933079481124878,0.032923124730587006,-0.0016132977325469255
decided,0.2207200527191162,0.5689980983734131,0.20790530741214752,0.22813604772090912,0.320636510848999,0.2559055685997009,0.30060529708862305,0.37534645199775696,0.0014730687253177166,0.06634151935577393
to,0.47735077142715454,0.4452643394470215,0.2670897841453552,0.2910063862800598,0.45503583550453186,0.2610234022140503,0.45010748505592346,0.535392165184021,-0.030956817790865898,0.03782717138528824
grant,0.21225716173648834,0.14565104246139526,0.14396892488002777,0.2236197590827942,0.22103925049304962,0.17617139220237732,0.2044283151626587,0.2460666298866272,0.11152957379817963,-0.03694717586040497
algeria,0.1941394954919815,0.035289864987134933,0.3980414569377899,0.12745872139930725,0.142367884516716,0.20939812064170837,0.2257280796766281,0.1901172548532486,-0.23452526330947876,-0.005594663787633181
independence,0.13927894830703735,0.19588761031627655,0.2922744154930115,0.2566623389720917,0.19904725253582,0.4410501718521118,0.25996696949005127,0.2836182415485382,-0.10591310262680054,0.02269889786839485
anyway,0.2791195511817932,0.3674120604991913,0.24290549755096436,0.18950454890727997,0.2873782515525818,0.20204925537109375,0.23196589946746826,0.28330329060554504,-0.12490983307361603,0.04664948582649231
in,0.5344807505607605,0.2593238651752472,0.3812309503555298,0.2503834664821625,0.539380669593811,0.29904094338417053,1.0,0.6662389636039734,-0.03321470692753792,-0.037580832839012146
1962,-0.07327166944742203,-0.08857343345880508,-0.027126867324113846,-0.05933183431625366,-0.10114685446023941,0.07818446308374405,-0.0651141032576561,-0.023296929895877838,-0.2525711953639984,0.02088261768221855
.,0.41390106081962585,0.35288307070732117,0.33719199895858765,0.25577837228775024,0.50484299659729,0.3000848889350891,0.5591574311256409,0.5934505462646484,0.05352208390831947,-0.003708066651597619
