,who,is,the,third,riches,man,in,america,?
in,0.2792111933231354,0.5394441485404968,0.6662389636039734,0.3309578001499176,0.19710910320281982,0.19554144144058228,1.0,0.3098583221435547,0.20430970191955566
business,0.25227707624435425,0.19332653284072876,0.2389037162065506,0.08889280259609222,0.2997864782810211,0.19072943925857544,0.2298729121685028,0.2509913146495819,0.1545659303665161
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.283071368932724,0.24265006184577942,0.26654794812202454,0.5201468467712402,0.253568559885025,0.31091248989105225
notable,0.23320899903774261,0.20672309398651123,0.20948168635368347,0.14683398604393005,0.21779537200927734,0.1473550796508789,0.25145605206489563,0.14777156710624695,0.31928157806396484
alumni,0.1722409725189209,0.13451172411441803,0.22524002194404602,0.13052323460578918,0.22230437397956848,0.06511612236499786,0.2126772403717041,0.13666559755802155,0.130934476852417
include,0.15078489482402802,0.28863582015037537,0.2951717972755432,0.1542752981185913,0.15548214316368103,0.1173035278916359,0.28694382309913635,0.17404258251190186,0.14925788342952728
microsoft,0.18094341456890106,0.16905339062213898,0.23993754386901855,0.11587195098400116,0.13480155169963837,0.10752692073583603,0.15674716234207153,0.23643958568572998,0.23943206667900085
ceo,0.18829603493213654,0.14999867975711823,0.16098161041736603,0.10705234110355377,0.22575819492340088,0.14585739374160767,0.13535729050636292,0.16139987111091614,0.13378572463989258
satya,0.3329384922981262,0.15830659866333008,0.16841347515583038,0.1351073980331421,0.14892832934856415,0.22063548862934113,0.15843386948108673,0.12713362276554108,0.17688582837581635
nadella,0.20665903389453888,0.1688326597213745,0.21126766502857208,0.11237849295139313,0.20114581286907196,0.24621139466762543,0.23495347797870636,0.2045729160308838,0.14431720972061157
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.283071368932724,0.24265006184577942,0.26654794812202454,0.5201468467712402,0.253568559885025,0.31091248989105225
oracle,0.2579348683357239,0.16423331201076508,0.24501000344753265,0.11405903100967407,0.2455568164587021,0.24833358824253082,0.11193641275167465,0.1584354192018509,0.1616489589214325
corporation,0.15684109926223755,0.21436315774917603,0.26837587356567383,0.10707108676433563,0.16477036476135254,0.18998007476329803,0.16382643580436707,0.22734983265399933,0.13731837272644043
founder,0.28227898478507996,0.1966208815574646,0.24715600907802582,0.1416163295507431,0.2433405965566635,0.12799526751041412,0.1495717167854309,0.12470302730798721,0.13665783405303955
and,0.41279885172843933,0.3859752118587494,0.5171257257461548,0.26207348704338074,0.2937069535255432,0.22261469066143036,0.4954058527946472,0.2647855281829834,0.20544172823429108
the,0.3733934462070465,0.5823672413825989,1.0,0.4229298532009125,0.21917222440242767,0.23171134293079376,0.6662389636039734,0.37090015411376953,0.22068053483963013
third,0.20739443600177765,0.31551501154899597,0.4229298532009125,1.0,0.1142694354057312,0.12988612055778503,0.3309578001499176,0.20102320611476898,0.15394791960716248
richest,0.262132465839386,0.22298955917358398,0.27766263484954834,0.24697363376617432,0.7397544980049133,0.2382662445306778,0.2720588445663452,0.2975739538669586,0.15691500902175903
man,0.3476670980453491,0.2326623499393463,0.23171134293079376,0.12988612055778503,0.2036084681749344,1.0,0.19554144144058228,0.19923457503318787,0.2528940737247467
in,0.2792111933231354,0.5394441485404968,0.6662389636039734,0.3309578001499176,0.19710910320281982,0.19554144144058228,1.0,0.3098583221435547,0.20430970191955566
america,0.1830417811870575,0.1998184472322464,0.37090015411376953,0.20102320611476898,0.2338481843471527,0.19923457503318787,0.3098583221435547,0.9999998807907104,0.19333907961845398
larry,0.22541575133800507,0.137445330619812,0.19822339713573456,0.11428309231996536,0.13147111237049103,0.1841556280851364,0.16059382259845734,0.18968388438224792,0.17208139598369598
ellison,0.2477196902036667,0.23077218234539032,0.2653115689754486,0.18460266292095184,0.12964564561843872,0.2828873097896576,0.22382843494415283,0.21811914443969727,0.2263619601726532
",",0.3365725874900818,0.4691906273365021,0.4933079481124878,0.283071368932724,0.24265006184577942,0.26654794812202454,0.5201468467712402,0.253568559885025,0.31091248989105225
goldman,0.17669284343719482,0.16984866559505463,0.21957680583000183,0.16926869750022888,0.3129318952560425,0.281086266040802,0.23857060074806213,0.24776412546634674,0.19655320048332214
sachs,0.24219267070293427,0.17191548645496368,0.22452358901500702,0.10620126128196716,0.21473193168640137,0.19664348661899567,0.21502231061458588,0.15148049592971802,0.20784007012844086
