,what,did,luther,fear,to,cause,him,to,avoid,marriage,?
not,0.5449194312095642,0.6481515765190125,0.21636232733726501,0.27942773699760437,0.5149973034858704,0.4372738003730774,0.35652121901512146,0.5149973034858704,0.41114541888237,0.258079469203949,0.41942933201789856
that,0.6297725439071655,0.47518548369407654,0.21746599674224854,0.3352656662464142,0.5436353087425232,0.40003344416618347,0.4159553349018097,0.5436353087425232,0.30128729343414307,0.20897038280963898,0.32716336846351624
i,0.4411132335662842,0.32301032543182373,0.232476145029068,0.1894734650850296,0.3140375316143036,0.24491052329540253,0.33029890060424805,0.3140375316143036,0.2341829240322113,0.2119419425725937,0.4695145785808563
am,0.25965139269828796,0.1929960697889328,0.20299215614795685,0.2665705978870392,0.24704641103744507,0.19744952023029327,0.2271590530872345,0.24704641103744507,0.18353168666362762,0.11071580648422241,0.3437723219394684
insensible,0.41180768609046936,0.24290573596954346,0.17860722541809082,0.336363285779953,0.3020927309989929,0.36393725872039795,0.22365574538707733,0.3020927309989929,0.3888711631298065,0.2531062662601471,0.4009227156639099
to,0.455847829580307,0.4452643394470215,0.18029534816741943,0.26140296459198,1.0,0.3172815442085266,0.4702378511428833,1.0,0.33193957805633545,0.21359077095985413,0.29463258385658264
my,0.3588488698005676,0.2537900507450104,0.2192668318748474,0.2619195580482483,0.27499768137931824,0.2800787091255188,0.31396451592445374,0.27499768137931824,0.22814837098121643,0.22407139837741852,0.4195883572101593
flesh,0.28136610984802246,0.18433792889118195,0.17237518727779388,0.2551937699317932,0.21524426341056824,0.21026337146759033,0.28538578748703003,0.21524426341056824,0.23178039491176605,0.13901960849761963,0.17695562541484833
or,0.33867141604423523,0.28211739659309387,0.14215725660324097,0.21717290580272675,0.38921234011650085,0.4080146849155426,0.23276418447494507,0.38921234011650085,0.39708808064460754,0.14446482062339783,0.32389625906944275
sex,0.21047964692115784,0.198207825422287,0.250705361366272,0.22337564826011658,0.20863443613052368,0.21465691924095154,0.1557226926088333,0.20863443613052368,0.19314391911029816,0.4488861560821533,0.16873355209827423
(,0.2411840260028839,0.18979617953300476,0.1677781045436859,0.1686282902956009,0.30882009863853455,0.20661279559135437,0.1509418487548828,0.30882009863853455,0.13703951239585876,0.1770733743906021,0.40561532974243164
for,0.3017193675041199,0.318512886762619,0.12958186864852905,0.28085994720458984,0.4451248347759247,0.255321204662323,0.34431272745132446,0.4451248347759247,0.3205823600292206,0.19036811590194702,0.264628142118454
i,0.4411132335662842,0.32301032543182373,0.232476145029068,0.1894734650850296,0.3140375316143036,0.24491052329540253,0.33029890060424805,0.3140375316143036,0.2341829240322113,0.2119419425725937,0.4695145785808563
am,0.25965139269828796,0.1929960697889328,0.20299215614795685,0.2665705978870392,0.24704641103744507,0.19744952023029327,0.2271590530872345,0.24704641103744507,0.18353168666362762,0.11071580648422241,0.3437723219394684
neither,0.376018226146698,0.3713912069797516,0.13927505910396576,0.15754400193691254,0.3499351739883423,0.30183088779449463,0.27755922079086304,0.3499351739883423,0.2106356918811798,0.22310367226600647,0.262674480676651
