,the,umc,supports,federal,funding,for,research,on,embryos,created,for,what,purpose,?
the,1.0,0.21262750029563904,0.2929544150829315,0.27537089586257935,0.3006567358970642,0.4739971458911896,0.24391183257102966,0.5107308030128479,0.26437774300575256,0.3539263904094696,0.4739971458911896,0.42745697498321533,0.3061215281486511,0.22068053483963013
umc,0.21262750029563904,1.0,0.2515213191509247,0.17734993994235992,0.20131181180477142,0.20637543499469757,0.24150115251541138,0.1817861646413803,0.15995833277702332,0.24511848390102386,0.20637543499469757,0.2557855546474457,0.22739048302173615,0.2609967589378357
supports,0.2929544150829315,0.2515213191509247,0.9999998807907104,0.13418661057949066,0.36526551842689514,0.36074456572532654,0.23982840776443481,0.2708491086959839,0.20649302005767822,0.2001793086528778,0.36074456572532654,0.18258391320705414,0.22554577887058258,0.15266138315200806
federal,0.27537089586257935,0.17734993994235992,0.13418661057949066,1.0000001192092896,0.3274456560611725,0.2636280953884125,0.22519339621067047,0.19146046042442322,0.2230769842863083,0.1525861620903015,0.2636280953884125,0.2415231615304947,0.19542159140110016,0.1812247931957245
funding,0.3006567358970642,0.20131181180477142,0.36526551842689514,0.3274456560611725,1.0,0.34661975502967834,0.46900227665901184,0.26127174496650696,0.2160392850637436,0.21079260110855103,0.34661975502967834,0.2725590467453003,0.3062564730644226,0.1842934638261795
for,0.4739971458911896,0.20637543499469757,0.36074456572532654,0.2636280953884125,0.34661975502967834,0.9999999403953552,0.29481053352355957,0.36199691891670227,0.16572800278663635,0.25684574246406555,0.9999999403953552,0.3017193675041199,0.3468001186847687,0.264628142118454
research,0.24391183257102966,0.24150115251541138,0.23982840776443481,0.22519339621067047,0.46900227665901184,0.29481053352355957,1.0,0.2395089864730835,0.2688644826412201,0.19419915974140167,0.29481053352355957,0.237140491604805,0.24280546605587006,0.13481977581977844
on,0.5107308030128479,0.1817861646413803,0.2708491086959839,0.19146046042442322,0.26127174496650696,0.36199691891670227,0.2395089864730835,0.9999999403953552,0.17875118553638458,0.20446635782718658,0.36199691891670227,0.34226128458976746,0.2797192633152008,0.2714994251728058
embryos,0.26437774300575256,0.15995833277702332,0.20649302005767822,0.2230769842863083,0.2160392850637436,0.16572800278663635,0.2688644826412201,0.17875118553638458,1.0,0.17819081246852875,0.16572800278663635,0.20116986334323883,0.17999014258384705,0.17293721437454224
created,0.3539263904094696,0.24511848390102386,0.2001793086528778,0.1525861620903015,0.21079260110855103,0.25684574246406555,0.19419915974140167,0.20446635782718658,0.17819081246852875,1.0,0.25684574246406555,0.20714101195335388,0.32971060276031494,0.21177415549755096
for,0.4739971458911896,0.20637543499469757,0.36074456572532654,0.2636280953884125,0.34661975502967834,0.9999999403953552,0.29481053352355957,0.36199691891670227,0.16572800278663635,0.25684574246406555,0.9999999403953552,0.3017193675041199,0.3468001186847687,0.264628142118454
ivf,0.305956095457077,0.2166864573955536,0.1539158970117569,0.15527880191802979,0.22468848526477814,0.3679943084716797,0.3377605080604553,0.2572420835494995,0.4913748800754547,0.19167359173297882,0.3679943084716797,0.31249240040779114,0.3118058145046234,0.2620077133178711
that,0.5473989248275757,0.26325681805610657,0.3607301712036133,0.2221035212278366,0.30964189767837524,0.4137635827064514,0.3083151876926422,0.42569106817245483,0.2734385132789612,0.3583657741546631,0.4137635827064514,0.6297725439071655,0.3622583746910095,0.32716336846351624
remain,0.33184581995010376,0.18365469574928284,0.24784702062606812,0.17422083020210266,0.27339568734169006,0.20373035967350006,0.2178298979997635,0.21348309516906738,0.1896582841873169,0.15081223845481873,0.20373035967350006,0.29587244987487793,0.24726194143295288,0.1868363618850708
after,0.4565047025680542,0.15637607872486115,0.14373716711997986,0.2269836664199829,0.26029708981513977,0.3650246858596802,0.1559707522392273,0.39330315589904785,0.22998225688934326,0.24507100880146027,0.3650246858596802,0.21973377466201782,0.19611580669879913,0.16608688235282898
the,1.0,0.21262750029563904,0.2929544150829315,0.27537089586257935,0.3006567358970642,0.4739971458911896,0.24391183257102966,0.5107308030128479,0.26437774300575256,0.3539263904094696,0.4739971458911896,0.42745697498321533,0.3061215281486511,0.22068053483963013
procreative,0.1372545212507248,0.22728393971920013,0.17521633207798004,0.22567389905452728,0.36290863156318665,0.34803611040115356,0.2831681966781616,0.11126735061407089,0.1862068623304367,0.27086666226387024,0.34803611040115356,0.3183891475200653,0.32367458939552307,0.2673107385635376
