,what,do,supporters,of,islamism,believe,their,views,reflect,?
islamism,0.28119760751724243,0.2039509117603302,0.3785093426704407,0.2555263340473175,1.0000001192092896,0.3634357750415802,0.1824980229139328,0.3313702642917633,0.17425863444805145,0.19147449731826782
is,0.28837618231773376,0.30895981192588806,0.15415580570697784,0.4854315221309662,0.19005949795246124,0.27537423372268677,0.2101074606180191,0.1585468053817749,0.18374520540237427,0.22961433231830597
a,0.3320399522781372,0.26237669587135315,0.22582685947418213,0.5052502155303955,0.2249027043581009,0.2732302248477936,0.29698723554611206,0.19887466728687286,0.21766093373298645,0.23916715383529663
controversial,0.3225577771663666,0.271993488073349,0.3130388855934143,0.27057674527168274,0.4150877594947815,0.33733999729156494,0.21109099686145782,0.37289899587631226,0.2354566603899002,0.2903842329978943
concept,0.28724339604377747,0.20350611209869385,0.17500710487365723,0.24082158505916595,0.3589930832386017,0.35707274079322815,0.214384987950325,0.22611691057682037,0.23609524965286255,0.17160645127296448
not,0.5449194312095642,0.6619802713394165,0.2551063001155853,0.3307090103626251,0.2621053457260132,0.462744802236557,0.4368778169155121,0.2463306039571762,0.3392736315727234,0.41942933201789856
just,0.5854880809783936,0.42837050557136536,0.21724584698677063,0.35124439001083374,0.22344402968883514,0.36167317628860474,0.29963797330856323,0.2953317165374756,0.2803519666194916,0.4144178032875061
because,0.46729007363319397,0.39530807733535767,0.3186238408088684,0.4075504541397095,0.2753404676914215,0.5057162046432495,0.43909528851509094,0.24351203441619873,0.28885021805763245,0.2528740465641022
it,0.45803478360176086,0.337066113948822,0.1302614063024521,0.38761502504348755,0.20388223230838776,0.31943458318710327,0.3067983090877533,0.21774674952030182,0.22067037224769592,0.25732165575027466
posits,0.23136374354362488,0.27442097663879395,0.12102174013853073,0.2808022201061249,0.06191966310143471,0.19138775765895844,0.28475186228752136,0.22563408315181732,0.2064032405614853,0.11253565549850464
a,0.3320399522781372,0.26237669587135315,0.22582685947418213,0.5052502155303955,0.2249027043581009,0.2732302248477936,0.29698723554611206,0.19887466728687286,0.21766093373298645,0.23916715383529663
political,0.21846716105937958,0.16049352288246155,0.41085344552993774,0.27319738268852234,0.49158284068107605,0.18993255496025085,0.24564585089683533,0.36982443928718567,0.22227679193019867,0.17130474746227264
