,what,is,an,annual,two-day,multicultural,event,held,in,newcastle,in,late,august,?
newcastle,0.16276082396507263,0.1841045320034027,0.162101611495018,0.13734354078769684,0.18851928412914276,0.22780361771583557,0.13599464297294617,0.16754475235939026,0.19270820915699005,1.0000001192092896,0.19270820915699005,0.1492987424135208,0.2247065305709839,0.0902252271771431
mela,0.12652558088302612,0.19184266030788422,0.08691844344139099,0.13422465324401855,0.09774690121412277,0.1881646066904068,0.12054517865180969,0.10176971554756165,0.1726604551076889,0.1415705680847168,0.1726604551076889,0.19391967356204987,0.15713676810264587,0.08822735399007797
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.1683935970067978,0.32929521799087524,0.29306697845458984,0.22701776027679443,0.2880980372428894,0.5201468467712402,0.251589834690094,0.5201468467712402,0.3051932752132416,0.4532424807548523,0.31091248989105225
held,0.0974166989326477,0.19884860515594482,0.09179631620645523,0.3879128098487854,0.2649441361427307,0.30063557624816895,0.45807647705078125,1.0,0.3127288818359375,0.16754475235939026,0.3127288818359375,0.22445468604564667,0.2110995352268219,0.14103956520557404
on,0.34226128458976746,0.3635730445384979,0.3192969560623169,0.21208518743515015,0.38447752594947815,0.19325637817382812,0.21758322417736053,0.2410694807767868,0.46853652596473694,0.1698579639196396,0.46853652596473694,0.2571752071380615,0.3564905822277069,0.2714994251728058
the,0.42745697498321533,0.5823672413825989,0.4207492768764496,0.2958983778953552,0.29279303550720215,0.27107563614845276,0.2960145175457001,0.32185450196266174,0.6662389636039734,0.2253497689962387,0.6662389636039734,0.31481194496154785,0.22689028084278107,0.22068053483963013
late,0.1576872020959854,0.20186106860637665,0.1167203038930893,0.21286307275295258,0.3232502341270447,0.21338404715061188,0.23195019364356995,0.22445468604564667,0.3439198434352875,0.1492987424135208,0.3439198434352875,1.0,0.2897350490093231,0.11339222639799118
august,0.2305731326341629,0.22414299845695496,0.24084918200969696,0.140104740858078,0.2719002962112427,0.11618686467409134,0.23204189538955688,0.2110995352268219,0.24307909607887268,0.2247065305709839,0.24307909607887268,0.2897350490093231,1.0,0.3006744682788849
bank,0.13934029638767242,0.21801011264324188,0.13719014823436737,0.11495146155357361,0.18977409601211548,0.2239215224981308,0.13311278820037842,0.13577741384506226,0.2690856158733368,0.17545002698898315,0.2690856158733368,0.09319590032100677,0.12398557364940643,0.09656643867492676
holiday,0.1985204964876175,0.22876691818237305,0.06312962621450424,0.24302718043327332,0.5307615995407104,0.28627610206604004,0.2355606108903885,0.2648679316043854,0.2492789924144745,0.15821431577205658,0.2492789924144745,0.13606582581996918,0.2413730025291443,0.19869746267795563
weekend,0.19973790645599365,0.15539562702178955,0.1178436428308487,0.2736828923225403,0.45351091027259827,0.20752699673175812,0.335252583026886,0.31447237730026245,0.2298220843076706,0.2151300460100174,0.2298220843076706,0.2642023265361786,0.2909536063671112,0.29261621832847595
",",0.3087472915649414,0.4691906273365021,0.3581022024154663,0.1683935970067978,0.32929521799087524,0.29306697845458984,0.22701776027679443,0.2880980372428894,0.5201468467712402,0.251589834690094,0.5201468467712402,0.3051932752132416,0.4532424807548523,0.31091248989105225
is,0.28837618231773376,1.0,0.4654068350791931,0.20538382232189178,0.2285001426935196,0.19974255561828613,0.2078172266483307,0.19884860515594482,0.5394441485404968,0.1841045320034027,0.5394441485404968,0.20186106860637665,0.22414299845695496,0.22961433231830597
an,0.2821882665157318,0.4654068350791931,1.0,0.19539830088615417,0.1454920619726181,0.1748722344636917,0.188729926943779,0.09179631620645523,0.2605783939361572,0.162101611495018,0.2605783939361572,0.1167203038930893,0.24084918200969696,0.19793890416622162
annual,0.14798973500728607,0.20538382232189178,0.19539830088615417,1.0000001192092896,0.23183095455169678,0.35489287972450256,0.39826729893684387,0.3879128098487854,0.2557781934738159,0.13734354078769684,0.2557781934738159,0.21286307275295258,0.140104740858078,0.1083487942814827
