,what,does,article,102,of,the,treaty,of,lisbon,prohibit,?
article,0.40514686703681946,0.35800421237945557,0.9999999403953552,0.03044508956372738,0.25720444321632385,0.3329811692237854,0.2396368831396103,0.25720444321632385,0.060336511582136154,0.23171521723270416,0.4948462247848511
102,0.10143127292394638,0.14845706522464752,0.03044508956372738,1.0,0.15528804063796997,0.14157715439796448,-0.07853148132562637,0.15528804063796997,-0.058340735733509064,0.16966497898101807,-0.019286835566163063
prohibits,0.2541826069355011,0.3027013838291168,0.24202027916908264,0.1700272113084793,0.26500216126441956,0.24808304011821747,0.2436332404613495,0.26500216126441956,0.12873126566410065,0.9542357325553894,0.21884572505950928
the,0.42745697498321533,0.35928019881248474,0.3329811692237854,0.14157715439796448,0.733189046382904,1.0,0.2690109610557556,0.733189046382904,0.28707155585289,0.21677012741565704,0.22068053483963013
abuse,0.32149311900138855,0.2154487669467926,0.2380969375371933,0.236242413520813,0.1888238936662674,0.18934819102287292,0.13680315017700195,0.1888238936662674,0.07776780426502228,0.3562033474445343,0.30148282647132874
of,0.33290785551071167,0.3119818866252899,0.25720444321632385,0.15528804063796997,1.0,0.733189046382904,0.2602092921733856,1.0,0.23450347781181335,0.22018228471279144,0.1826142966747284
dominant,0.21783894300460815,0.2037632018327713,0.12067847698926926,-0.020711734890937805,0.3018357455730438,0.3743239641189575,0.12042312324047089,0.3018357455730438,0.1282665729522705,0.22645333409309387,0.07625212520360947
position,0.22031237185001373,0.21100744605064392,0.2100917249917984,-0.023666244000196457,0.23636478185653687,0.3183514177799225,0.10185499489307404,0.23636478185653687,0.18198363482952118,0.1334359049797058,0.15529610216617584
",",0.3087472915649414,0.28617382049560547,0.28605279326438904,0.09642786532640457,0.4946078956127167,0.4933079481124878,0.21270246803760529,0.4946078956127167,0.23894961178302765,0.2773091793060303,0.31091248989105225
such,0.23989605903625488,0.2787191867828369,0.23355092108249664,0.2735286355018616,0.3209529519081116,0.3575236201286316,0.12551523745059967,0.3209529519081116,0.09658481925725937,0.27599868178367615,0.17851735651493073
as,0.31749409437179565,0.31202155351638794,0.2877572774887085,0.20118610560894012,0.3886612355709076,0.48381632566452026,0.21985258162021637,0.3886612355709076,0.12638969719409943,0.23513157665729523,0.27043893933296204
price,0.18606361746788025,0.22169062495231628,0.20043736696243286,0.16056816279888153,0.15675179660320282,0.22636492550373077,0.13951852917671204,0.15675179660320282,0.04284355789422989,0.20239967107772827,0.14631175994873047
discrimination,0.28191110491752625,0.25425267219543457,0.3194287121295929,0.19600577652454376,0.22780677676200867,0.23384429514408112,0.27935364842414856,0.22780677676200867,0.10814099758863449,0.48011597990989685,0.2313917875289917
and,0.31309178471565247,0.3461615741252899,0.23647621273994446,0.19564372301101685,0.5116966962814331,0.5171257257461548,0.1592116355895996,0.5116966962814331,0.18415111303329468,0.2221895158290863,0.20544172823429108
exclusive,0.21354709565639496,0.2751061022281647,0.19261197745800018,0.15530043840408325,0.22420044243335724,0.2746652066707611,0.2129572182893753,0.22420044243335724,0.15104514360427856,0.2846488654613495,0.14308638870716095
dealing,0.3540358245372772,0.257007896900177,0.29999151825904846,0.23496787250041962,0.3187740445137024,0.30423152446746826,0.19951395690441132,0.3187740445137024,0.17352882027626038,0.33019763231277466,0.27334651350975037
.,0.3567904531955719,0.3022993505001068,0.30669885873794556,0.15590398013591766,0.5352458953857422,0.5934505462646484,0.17410176992416382,0.5352458953857422,0.20124030113220215,0.22864152491092682,0.4130953550338745
