,what,directions,the,local,church,to,offer,membership,preparation,to,all,people,?
unlike,0.25655338168144226,0.2544313967227936,0.35607239603996277,0.09587378799915314,0.11204718798398972,0.30143481492996216,0.22146685421466827,0.1910960078239441,0.1979038566350937,0.30143481492996216,0.39917805790901184,0.14268743991851807,0.12876726686954498
confirmation,0.3684285879135132,0.20668071508407593,0.3052189350128174,0.2469029724597931,0.2546837329864502,0.3208828270435333,0.2583271861076355,0.3617737889289856,0.25030261278152466,0.3208828270435333,0.2645755708217621,0.20398932695388794,0.38350698351860046
and,0.31309178471565247,0.3029508590698242,0.5171257257461548,0.2468787580728531,0.1976170688867569,0.48971283435821533,0.3224562108516693,0.25889134407043457,0.2538684606552124,0.48971283435821533,0.4542157053947449,0.3016039729118347,0.20544172823429108
profession,0.23272503912448883,0.1789085865020752,0.17655403912067413,0.1753665655851364,0.16448377072811127,0.2364424616098404,0.3217754364013672,0.29495635628700256,0.3177427649497986,0.2364424616098404,0.15819591283798218,0.17490218579769135,0.13789935410022736
of,0.33290785551071167,0.2176607847213745,0.733189046382904,0.20668989419937134,0.3079429268836975,0.41548454761505127,0.19393298029899597,0.26808464527130127,0.33493492007255554,0.41548454761505127,0.42798417806625366,0.3251037895679474,0.1826142966747284
faith,0.3120079040527344,0.17961972951889038,0.20665863156318665,0.14380857348442078,0.3661857843399048,0.2426898032426834,0.19659161567687988,0.27612465620040894,0.20311421155929565,0.2426898032426834,0.2941339910030365,0.1795700490474701,0.2833177447319031
",",0.3087472915649414,0.2676805257797241,0.4933079481124878,0.20673875510692596,0.2707274258136749,0.44245919585227966,0.2830800712108612,0.2181890308856964,0.23246389627456665,0.44245919585227966,0.425624817609787,0.36644625663757324,0.31091248989105225
baptism,0.23295360803604126,0.20902183651924133,0.18082354962825775,0.11967598646879196,0.5213735699653625,0.1986982375383377,0.13618646562099457,0.2622682452201843,0.2512352466583252,0.1986982375383377,0.16724951565265656,0.16662399470806122,0.18744641542434692
is,0.28837618231773376,0.21295377612113953,0.5823672413825989,0.13173899054527283,0.203276589512825,0.42745086550712585,0.13858625292778015,0.1935994029045105,0.17207185924053192,0.42745086550712585,0.2553904056549072,0.34254953265190125,0.22961433231830597
a,0.3320399522781372,0.2380179911851883,0.5829201340675354,0.2435571700334549,0.19588641822338104,0.45503583550453186,0.20917463302612305,0.2253107875585556,0.29148533940315247,0.45503583550453186,0.2696802616119385,0.3483705520629883,0.23916715383529663
