,what,was,later,discovered,written,by,luther,?
a,0.3320399522781372,0.4508470594882965,0.34254932403564453,0.20319467782974243,0.22976966202259064,0.32094135880470276,0.17967689037322998,0.23916715383529663
piece,0.2553826570510864,0.18047186732292175,0.14687488973140717,0.1630069464445114,0.33776840567588806,0.2057439088821411,0.13606666028499603,0.14355646073818207
of,0.33290785551071167,0.4069072902202606,0.3458743393421173,0.22074753046035767,0.20874574780464172,0.3646814823150635,0.1719115972518921,0.1826142966747284
paper,0.21202662587165833,0.18939059972763062,0.18955892324447632,0.18454676866531372,0.22888131439685822,0.20666080713272095,0.13915172219276428,0.12693770229816437
was,0.22111038863658905,1.0000001192092896,0.5684447288513184,0.3177400529384613,0.25575822591781616,0.4752357602119446,0.19185513257980347,0.18412111699581146
later,0.2517229914665222,0.5684447288513184,1.0,0.23841983079910278,0.18658603727817535,0.3747883439064026,0.23796728253364563,0.1417175978422165
found,0.1796332150697708,0.18447895348072052,0.16691987216472626,0.4998607039451599,0.24206866323947906,0.17248263955116272,0.04881587624549866,0.16790300607681274
on,0.34226128458976746,0.3909217119216919,0.30872204899787903,0.17871862649917603,0.19147278368473053,0.33887791633605957,0.19090485572814941,0.2714994251728058
which,0.5261979103088379,0.2830964922904968,0.39698365330696106,0.2420753687620163,0.30502957105636597,0.40543368458747864,0.17501473426818848,0.25814583897590637
luther,0.2134782373905182,0.19185513257980347,0.23796728253364563,0.08649297803640366,0.202183336019516,0.15382802486419678,1.0,0.1732746809720993
had,0.23849567770957947,0.5927209258079529,0.47119471430778503,0.3197344243526459,0.22342807054519653,0.37294110655784607,0.16133075952529907,0.20728366076946259
written,0.25412634015083313,0.25575822591781616,0.18658603727817535,0.23935920000076294,1.0000001192092896,0.3622937500476837,0.202183336019516,0.21451954543590546
his,0.26976513862609863,0.4405253231525421,0.4538118839263916,0.18428096175193787,0.2101215273141861,0.3107621967792511,0.27093374729156494,0.18075084686279297
last,0.23175878822803497,0.32424551248550415,0.4401232898235321,0.12399163097143173,0.23495212197303772,0.24441376328468323,0.18467779457569122,0.22371746599674225
statement,0.39422667026519775,0.2362719178199768,0.19369260966777802,0.08622507750988007,0.2991134524345398,0.19928686320781708,0.2332456111907959,0.28978636860847473
.,0.3567904531955719,0.40146201848983765,0.3488861322402954,0.23523737490177155,0.25418123602867126,0.3936232924461365,0.24907569587230682,0.4130953550338745
