,when,was,the,gerald,ratner,athletics,center,constructed,?
another,0.48569372296333313,0.34961897134780884,0.5019711852073669,0.10016429424285889,0.2283649742603302,0.15410666167736053,0.14887449145317078,0.2705402076244354,0.295511931180954
master,0.12157983332872391,0.20155122876167297,0.19769129157066345,0.2010205090045929,0.26310205459594727,0.08171342313289642,0.11394818127155304,0.1826988309621811,0.11915034055709839
plan,0.2147078514099121,0.2407723069190979,0.2852855324745178,0.14182929694652557,0.16695740818977356,0.07763231545686722,0.15399642288684845,0.27173444628715515,0.1961054503917694
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.23060858249664307,0.33211493492126465,0.2174725979566574,0.1905742734670639,0.21606628596782684,0.31091248989105225
designed,0.19330300390720367,0.28384989500045776,0.2559613883495331,0.10905108600854874,0.19722741842269897,0.1866351068019867,0.14141157269477844,0.5021657943725586,0.11213942617177963
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.15450628101825714,0.25581052899360657,0.2052789330482483,0.27253323793411255,0.31212013959884644,0.20430970191955566
1999,0.012987824156880379,0.08547663688659668,0.06755080074071884,0.009230985306203365,0.014946929179131985,0.03036944940686226,0.07358115166425705,-0.015883387997746468,0.05416720360517502
and,0.4716290831565857,0.3740963041782379,0.5171257257461548,0.1701488196849823,0.3176746964454651,0.2268504798412323,0.28670641779899597,0.22972804307937622,0.20544172823429108
updated,0.22192342579364777,0.19127553701400757,0.22450833022594452,0.10634179413318634,0.12646467983722687,0.14451028406620026,0.1383916288614273,0.19668404757976532,0.38058117032051086
in,0.4431333839893341,0.45514053106307983,0.6662389636039734,0.15450628101825714,0.25581052899360657,0.2052789330482483,0.27253323793411255,0.31212013959884644,0.20430970191955566
2004,-0.2735671103000641,-0.01421020831912756,-0.2467794269323349,0.08268650621175766,0.12592001259326935,-0.045116033405065536,-0.152757465839386,-0.18785813450813293,-0.15923042595386505
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.23060858249664307,0.33211493492126465,0.2174725979566574,0.1905742734670639,0.21606628596782684,0.31091248989105225
produced,0.194610595703125,0.28463777899742126,0.22045251727104187,0.1896495223045349,0.2787826657295227,0.034401342272758484,0.11159741133451462,0.26123470067977905,0.1623450517654419
the,0.5091903209686279,0.48711544275283813,1.0,0.20668187737464905,0.23600082099437714,0.23869381844997406,0.29064592719078064,0.29105475544929504,0.22068053483963013
gerald,0.1085713654756546,0.23100952804088593,0.20668187737464905,1.0000001192092896,0.33173009753227234,0.05576806142926216,0.17281027138233185,0.05744113400578499,0.16845504939556122
ratner,0.18579256534576416,0.3810935616493225,0.23600082099437714,0.33173009753227234,1.0000001192092896,0.16712136566638947,0.1923859417438507,0.11785605549812317,0.2429085075855255
athletics,0.20720572769641876,0.19523926079273224,0.23869381844997406,0.05576806142926216,0.16712136566638947,1.0,0.19147294759750366,0.12604007124900818,0.10309170186519623
center,0.17047400772571564,0.19517986476421356,0.29064592719078064,0.17281027138233185,0.1923859417438507,0.19147294759750366,0.9999999403953552,0.18311968445777893,0.12538520991802216
(,0.2459595799446106,0.2980341613292694,0.33289089798927307,0.2073564976453781,0.26089346408843994,0.17154242098331451,0.1899242252111435,0.16104654967784882,0.40561532974243164
2003,-0.2741066515445709,-0.14445069432258606,-0.14761915802955627,-0.16720175743103027,-0.12483461946249008,-0.09108176827430725,-0.19521081447601318,-0.18080130219459534,-0.17560148239135742
),0.2538422644138336,0.3267642855644226,0.3456730246543884,0.19669467210769653,0.26545679569244385,0.1628049612045288,0.2161751240491867,0.16799308359622955,0.42300865054130554
",",0.36674630641937256,0.45456063747406006,0.4933079481124878,0.23060858249664307,0.33211493492126465,0.2174725979566574,0.1905742734670639,0.21606628596782684,0.31091248989105225
the,0.5091903209686279,0.48711544275283813,1.0,0.20668187737464905,0.23600082099437714,0.23869381844997406,0.29064592719078064,0.29105475544929504,0.22068053483963013
max,0.14628475904464722,0.16081728041172028,0.1737208068370819,0.24444212019443512,0.37944531440734863,0.07657521963119507,0.16353067755699158,0.09240229427814484,0.13623468577861786
palevsky,0.18833379447460175,0.24834562838077545,0.20721283555030823,0.2278049737215042,0.3135055899620056,0.13740895688533783,0.22265787422657013,0.13486376404762268,0.16110551357269287
