,who,was,in,charge,of,the,papal,army,in,the,war,of,barbastro,?
in,0.2792111933231354,0.45514053106307983,1.0,0.22046200931072235,0.5696388483047485,0.6662389636039734,0.21801839768886566,0.25258398056030273,1.0,0.6662389636039734,0.29904094338417053,0.5696388483047485,0.2187303602695465,0.20430970191955566
1064,-0.06490293890237808,-0.03308765962719917,0.1489993929862976,0.16812846064567566,0.15945106744766235,0.11560524255037308,0.07321538776159286,0.10011562705039978,0.1489993929862976,0.11560524255037308,0.06495349109172821,0.15945106744766235,0.12970848381519318,0.23390154540538788
",",0.3365725874900818,0.45456063747406006,0.5201468467712402,0.19992214441299438,0.4946078956127167,0.4933079481124878,0.20856137573719025,0.230897456407547,0.5201468467712402,0.4933079481124878,0.2671184241771698,0.4946078956127167,0.35173332691192627,0.31091248989105225
during,0.30551859736442566,0.4470829963684082,0.4627237319946289,0.23127871751785278,0.3869180977344513,0.4838213622570038,0.16021135449409485,0.3011053502559662,0.4627237319946289,0.4838213622570038,0.4802435040473938,0.3869180977344513,0.26212188601493835,0.1325719803571701
the,0.3733934462070465,0.48711544275283813,0.6662389636039734,0.2730984687805176,0.733189046382904,1.0,0.24918924272060394,0.31011611223220825,0.6662389636039734,1.0,0.366199791431427,0.733189046382904,0.2920900881290436,0.22068053483963013
war,0.24286115169525146,0.3560331463813782,0.29904094338417053,0.23068022727966309,0.31680163741111755,0.366199791431427,0.22217494249343872,0.5000815987586975,0.29904094338417053,0.366199791431427,1.0000001192092896,0.31680163741111755,0.3300565779209137,0.15510529279708862
of,0.2827862501144409,0.4069072902202606,0.5696388483047485,0.27586498856544495,1.0,0.733189046382904,0.25997212529182434,0.2669098675251007,0.5696388483047485,0.733189046382904,0.31680163741111755,1.0,0.270904004573822,0.1826142966747284
barbastro,0.2372797429561615,0.3317550718784332,0.2187303602695465,0.13247452676296234,0.270904004573822,0.2920900881290436,0.27596399188041687,0.3217654824256897,0.2187303602695465,0.2920900881290436,0.3300565779209137,0.270904004573822,0.9999999403953552,0.23145200312137604
",",0.3365725874900818,0.45456063747406006,0.5201468467712402,0.19992214441299438,0.4946078956127167,0.4933079481124878,0.20856137573719025,0.230897456407547,0.5201468467712402,0.4933079481124878,0.2671184241771698,0.4946078956127167,0.35173332691192627,0.31091248989105225
william,0.32068803906440735,0.28444796800613403,0.21605195105075836,0.10762777179479599,0.20272590219974518,0.21537061035633087,0.17204779386520386,0.2265264093875885,0.21605195105075836,0.21537061035633087,0.22363723814487457,0.20272590219974518,0.28473812341690063,0.14462219178676605
of,0.2827862501144409,0.4069072902202606,0.5696388483047485,0.27586498856544495,1.0,0.733189046382904,0.25997212529182434,0.2669098675251007,0.5696388483047485,0.733189046382904,0.31680163741111755,1.0,0.270904004573822,0.1826142966747284
montreuil,0.16460421681404114,0.27073949575424194,0.28278303146362305,0.1172732338309288,0.24192006886005402,0.28149881958961487,0.2502939701080322,0.20793603360652924,0.28278303146362305,0.28149881958961487,0.24575403332710266,0.24192006886005402,0.38607004284858704,0.18422339856624603
led,0.2450801581144333,0.34443995356559753,0.2990247309207916,0.3283175528049469,0.32918456196784973,0.3267505168914795,0.20403869450092316,0.3755970299243927,0.2990247309207916,0.3267505168914795,0.2665179967880249,0.32918456196784973,0.2266981601715088,0.09273858368396759
the,0.3733934462070465,0.48711544275283813,0.6662389636039734,0.2730984687805176,0.733189046382904,1.0,0.24918924272060394,0.31011611223220825,0.6662389636039734,1.0,0.366199791431427,0.733189046382904,0.2920900881290436,0.22068053483963013
papal,0.2344038337469101,0.2140740603208542,0.21801839768886566,0.19962424039840698,0.25997212529182434,0.24918924272060394,1.0000001192092896,0.21470624208450317,0.21801839768886566,0.24918924272060394,0.22217494249343872,0.25997212529182434,0.27596399188041687,0.18529073894023895
army,0.2866576313972473,0.30177709460258484,0.25258398056030273,0.2430759072303772,0.2669098675251007,0.31011611223220825,0.21470624208450317,1.0000001192092896,0.25258398056030273,0.31011611223220825,0.5000815987586975,0.2669098675251007,0.3217654824256897,0.180583193898201
and,0.41279885172843933,0.3740963041782379,0.4954058527946472,0.238192617893219,0.5116966962814331,0.5171257257461548,0.17651091516017914,0.25581875443458557,0.4954058527946472,0.5171257257461548,0.29695844650268555,0.5116966962814331,0.24111348390579224,0.20544172823429108
took,0.2481452226638794,0.48213186860084534,0.2818296551704407,0.24215611815452576,0.2766268849372864,0.31657639145851135,0.20710529386997223,0.26430627703666687,0.2818296551704407,0.31657639145851135,0.28374937176704407,0.2766268849372864,0.2287844568490982,0.14109265804290771
a,0.36608949303627014,0.4508470594882965,0.539380669593811,0.2415132075548172,0.5052502155303955,0.5829201340675354,0.149959534406662,0.20244213938713074,0.539380669593811,0.5829201340675354,0.2368277609348297,0.5052502155303955,0.2980714440345764,0.23916715383529663
huge,0.19000373780727386,0.2334039807319641,0.2714290916919708,0.2621705234050751,0.3424051105976105,0.3726782202720642,0.09770278632640839,0.14926040172576904,0.2714290916919708,0.3726782202720642,0.2178516536951065,0.3424051105976105,0.1835698038339615,0.13631469011306763
booty,0.23667345941066742,0.15622445940971375,0.15422536432743073,0.20183047652244568,0.1474662870168686,0.22471456229686737,0.0168695580214262,0.20074672996997833,0.15422536432743073,0.22471456229686737,0.2338712066411972,0.1474662870168686,0.279986709356308,0.20552246272563934
.,0.3541337847709656,0.40146201848983765,0.5591574311256409,0.21931332349777222,0.5352458953857422,0.5934505462646484,0.20504938066005707,0.28860729932785034,0.5591574311256409,0.5934505462646484,0.3000848889350891,0.5352458953857422,0.2688634693622589,0.4130953550338745
