,complexity,theory,classifies,problems,based,on,what,primary,attribute,?
since,0.2024936079978943,0.15682072937488556,0.15195226669311523,0.263850599527359,0.18804004788398743,0.32446393370628357,0.29783400893211365,0.17323777079582214,0.17585572600364685,0.2876587212085724
complexity,1.0,0.42510488629341125,0.255482941865921,0.45911696553230286,0.22990338504314423,0.22000707685947418,0.33747240900993347,0.1772792488336563,0.3059774339199066,0.23062916100025177
theory,0.42510488629341125,0.9999999403953552,0.24890859425067902,0.29832348227500916,0.18977931141853333,0.16873858869075775,0.297923743724823,0.1922547072172165,0.19777633249759674,0.1387292891740799
is,0.2541271150112152,0.19279582798480988,0.302320659160614,0.16985496878623962,0.3248139023780823,0.3635730445384979,0.28837618231773376,0.23824772238731384,0.20073039829730988,0.22961433231830597
interested,0.29349783062934875,0.2365136593580246,0.13276128470897675,0.3215841054916382,0.25918692350387573,0.23192012310028076,0.35256704688072205,0.14810554683208466,0.1857176423072815,0.2901444137096405
in,0.20012179017066956,0.16955126821994781,0.21623903512954712,0.21061907708644867,0.3070422410964966,0.46853652596473694,0.30808621644973755,0.21150650084018707,0.12301790714263916,0.20430970191955566
classifying,0.3881129026412964,0.34005796909332275,0.7615419030189514,0.2612456977367401,0.261765718460083,0.22347217798233032,0.3129931390285492,0.1689886450767517,0.2270907610654831,0.23421330749988556
problems,0.45911696553230286,0.29832348227500916,0.1463959515094757,1.0,0.1305205225944519,0.22423362731933594,0.3306994140148163,0.11575408279895782,0.24967986345291138,0.2638136148452759
based,0.22990338504314423,0.18977931141853333,0.2774496078491211,0.1305205225944519,1.0000001192092896,0.36055147647857666,0.274813175201416,0.23915943503379822,0.12398307770490646,0.134929820895195
on,0.22000707685947418,0.16873858869075775,0.2134096622467041,0.22423362731933594,0.36055147647857666,0.9999999403953552,0.34226128458976746,0.2339327335357666,0.15420548617839813,0.2714994251728058
their,0.22930744290351868,0.22382378578186035,0.19792728126049042,0.28772616386413574,0.22706227004528046,0.3598666191101074,0.35142919421195984,0.2395368069410324,0.21777629852294922,0.1898253709077835
difficulty,0.4870225489139557,0.24070215225219727,0.2333548367023468,0.48529917001724243,0.19038031995296478,0.24781161546707153,0.3258202373981476,0.2164270132780075,0.24287527799606323,0.1517200618982315
",",0.27822354435920715,0.18095813691616058,0.2667465806007385,0.2596952021121979,0.27976205945014954,0.49057599902153015,0.3087472915649414,0.2565748989582062,0.1828274130821228,0.31091248989105225
one,0.30865851044654846,0.27095937728881836,0.21423915028572083,0.2803315222263336,0.2498788684606552,0.3601475656032562,0.376489520072937,0.18737681210041046,0.23503872752189636,0.2673267424106598
defines,0.35524025559425354,0.2593924403190613,0.36444345116615295,0.2349761426448822,0.3296421468257904,0.21363823115825653,0.3243766129016876,0.1666201800107956,0.3781740367412567,0.2590562403202057
sets,0.26466798782348633,0.19269317388534546,0.16114622354507446,0.2119702696800232,0.21004383265972137,0.15848734974861145,0.23050075769424438,0.12079200893640518,0.19576020538806915,0.07869148254394531
of,0.23338180780410767,0.23506702482700348,0.2282249480485916,0.2450421154499054,0.3033197224140167,0.3966929316520691,0.33290785551071167,0.23414276540279388,0.23041263222694397,0.1826142966747284
problems,0.45911696553230286,0.29832348227500916,0.1463959515094757,1.0,0.1305205225944519,0.22423362731933594,0.3306994140148163,0.11575408279895782,0.24967986345291138,0.2638136148452759
based,0.22990338504314423,0.18977931141853333,0.2774496078491211,0.1305205225944519,1.0000001192092896,0.36055147647857666,0.274813175201416,0.23915943503379822,0.12398307770490646,0.134929820895195
on,0.22000707685947418,0.16873858869075775,0.2134096622467041,0.22423362731933594,0.36055147647857666,0.9999999403953552,0.34226128458976746,0.2339327335357666,0.15420548617839813,0.2714994251728058
some,0.31638777256011963,0.25241342186927795,0.2695918083190918,0.3437584936618805,0.2803218960762024,0.31474894285202026,0.4491020441055298,0.19198636710643768,0.2285463958978653,0.2562315762042999
criteria,0.40930497646331787,0.2390153408050537,0.28473925590515137,0.25969770550727844,0.19567790627479553,0.24062810838222504,0.3434922993183136,0.18873994052410126,0.3427248001098633,0.3577063977718353
.,0.21340465545654297,0.18047811090946198,0.20891791582107544,0.2602308988571167,0.29699069261550903,0.49257001280784607,0.3567904531955719,0.22422198951244354,0.22956767678260803,0.4130953550338745
