,where,does,the,amazon,region,rate,among,the,entire,earth,for,its,amount,of,biodiversity,?
the,0.5003893971443176,0.35928019881248474,1.0,0.260541707277298,0.35020557045936584,0.24881242215633392,0.3507058024406433,1.0,0.4870373010635376,0.2801888585090637,0.4739971458911896,0.559237003326416,0.3336862325668335,0.733189046382904,0.2809895873069763,0.22068053483963013
biodiversity,0.1979086548089981,0.2039790153503418,0.2809895873069763,0.3419688940048218,0.2984626591205597,0.25262948870658875,0.29451560974121094,0.2809895873069763,0.270806223154068,0.29240095615386963,0.2117041051387787,0.3295946717262268,0.3008091151714325,0.3051343262195587,1.0,0.12075836956501007
of,0.38066378235816956,0.3119818866252899,0.733189046382904,0.20143137872219086,0.2852717339992523,0.24132871627807617,0.3679063022136688,0.733189046382904,0.3766143023967743,0.2329314798116684,0.4185989499092102,0.48690423369407654,0.2541177570819855,1.0,0.3051343262195587,0.1826142966747284
plant,0.2056075781583786,0.19302250444889069,0.28395459055900574,0.24274323880672455,0.1843220591545105,0.15654799342155457,0.16076315939426422,0.28395459055900574,0.22749494016170502,0.22677308320999146,0.18604038655757904,0.2821267545223236,0.20376038551330566,0.26645857095718384,0.428343266248703,0.16613075137138367
species,0.1888025850057602,0.1635095626115799,0.2522439956665039,0.2994495630264282,0.22915275394916534,0.22913667559623718,0.2494097799062729,0.2522439956665039,0.19333752989768982,0.21207286417484283,0.18632523715496063,0.25710946321487427,0.19653964042663574,0.23307405412197113,0.5203632116317749,0.1957087516784668
is,0.3586711287498474,0.4403602182865143,0.5823672413825989,0.15197539329528809,0.3317503035068512,0.24290183186531067,0.21956473588943481,0.5823672413825989,0.31832677125930786,0.26888176798820496,0.43268078565597534,0.4447362422943115,0.3016021251678467,0.4854315221309662,0.2440366894006729,0.22961433231830597
the,0.5003893971443176,0.35928019881248474,1.0,0.260541707277298,0.35020557045936584,0.24881242215633392,0.3507058024406433,1.0,0.4870373010635376,0.2801888585090637,0.4739971458911896,0.559237003326416,0.3336862325668335,0.733189046382904,0.2809895873069763,0.22068053483963013
highest,0.19628359377384186,0.17673532664775848,0.36945265531539917,0.16637596487998962,0.25166916847229004,0.2987024188041687,0.22388996183872223,0.36945265531539917,0.2428808957338333,0.14049722254276276,0.2320692539215088,0.24872645735740662,0.2138708382844925,0.3223685622215271,0.1954951286315918,0.11527936160564423
on,0.37630224227905273,0.2568802833557129,0.5107308030128479,0.27227091789245605,0.17006917297840118,0.19178344309329987,0.2041729986667633,0.5107308030128479,0.3185364902019501,0.20645220577716827,0.36199691891670227,0.34331920742988586,0.2525322437286377,0.3966929316520691,0.20319393277168274,0.2714994251728058
earth,0.23126177489757538,0.24806667864322662,0.2801888585090637,0.26471105217933655,0.1539795845746994,0.17293933033943176,0.20541149377822876,0.2801888585090637,0.26710444688796997,1.0,0.20491120219230652,0.246530681848526,0.24613416194915771,0.2329314798116684,0.29240095615386963,0.17717236280441284
with,0.4142743945121765,0.26186925172805786,0.4223487675189972,0.21287250518798828,0.16874971985816956,0.12391091138124466,0.2968312203884125,0.4223487675189972,0.27352437376976013,0.21692633628845215,0.39140474796295166,0.3087116777896881,0.30051055550575256,0.41827285289764404,0.14167769253253937,0.2433311939239502
one,0.3907615840435028,0.2924913763999939,0.5514441132545471,0.17098593711853027,0.19308353960514069,0.2532431185245514,0.3877730369567871,0.5514441132545471,0.3316270112991333,0.2661198675632477,0.384836345911026,0.42848992347717285,0.32451149821281433,0.4999135136604309,0.22562527656555176,0.2673267424106598
2001,-0.07469000667333603,-0.13043271005153656,-0.07246288657188416,-0.018204914405941963,-0.03724207356572151,-0.0753193199634552,-0.12333917617797852,-0.07246288657188416,-0.03032684326171875,-0.08731929957866669,-0.09015791118144989,-0.08152724802494049,-0.0420839786529541,-0.08535187691450119,-0.05891716107726097,-0.08740651607513428
