,what,chinese,dynasty,did,the,mongols,found,?
while,0.35511791706085205,0.16795752942562103,0.13410058617591858,0.3330625295639038,0.39804592728614807,0.2535685896873474,0.22553031146526337,0.21076419949531555
genghis,0.24369274079799652,0.37333089113235474,0.49750640988349915,0.18339850008487701,0.3448939025402069,0.6018205285072327,0.18663446605205536,0.18813461065292358
khan,0.16476042568683624,0.2961319386959076,0.34412047266960144,0.155345618724823,0.21067845821380615,0.5210641026496887,0.0933292955160141,0.12862591445446014
never,0.42662814259529114,0.13835003972053528,0.09838609397411346,0.4329567551612854,0.31617826223373413,0.1749069094657898,0.1708579808473587,0.24137508869171143
conquered,0.2095409482717514,0.19777317345142365,0.4685252904891968,0.23394589126110077,0.3127642273902893,0.4694822132587433,0.19633719325065613,0.12499574571847916
all,0.41981086134910583,0.20134666562080383,0.11447933316230774,0.33943864703178406,0.4860881567001343,0.23575349152088165,0.24743787944316864,0.29575422406196594
of,0.33290785551071167,0.24275560677051544,0.285645067691803,0.2513895630836487,0.733189046382904,0.23517343401908875,0.2982911467552185,0.1826142966747284
china,0.13832437992095947,0.6621482372283936,0.45030730962753296,0.16472692787647247,0.3110525608062744,0.47622933983802795,0.20182760059833527,0.18007943034172058
",",0.3087472915649414,0.2697280943393707,0.1976536363363266,0.3015086054801941,0.4933079481124878,0.26664721965789795,0.27385151386260986,0.31091248989105225
his,0.26976513862609863,0.17512276768684387,0.21976903080940247,0.3546801507472992,0.4394008219242096,0.2286951243877411,0.13338476419448853,0.18075084686279297
grandson,0.16966131329536438,0.13910728693008423,0.3519798219203949,0.23734170198440552,0.2345878779888153,0.27276623249053955,0.15479189157485962,0.14955078065395355
kublai,0.24627302587032318,0.38022753596305847,0.44820716977119446,0.2875992953777313,0.32886171340942383,0.5959007740020752,0.0629454180598259,0.14562560617923737
khan,0.16476042568683624,0.2961319386959076,0.34412047266960144,0.155345618724823,0.21067845821380615,0.5210641026496887,0.0933292955160141,0.12862591445446014
completed,0.19063329696655273,0.16012024879455566,0.16485142707824707,0.2574852406978607,0.29278936982154846,0.1591234803199768,0.14503975212574005,0.08272653818130493
that,0.6297725439071655,0.21811583638191223,0.19153755903244019,0.47518548369407654,0.5473989248275757,0.22344286739826202,0.29063743352890015,0.32716336846351624
conquest,0.21597714722156525,0.18000151216983795,0.38702937960624695,0.1569611132144928,0.3181619346141815,0.4190453290939331,0.17662093043327332,0.12928934395313263
and,0.31309178471565247,0.25892454385757446,0.21357402205467224,0.34479495882987976,0.5171257257461548,0.2535054385662079,0.27978911995887756,0.20544172823429108
established,0.14869536459445953,0.13413093984127045,0.25788015127182007,0.18989217281341553,0.33092597126960754,0.18404929339885712,0.1886320263147354,0.15917523205280304
the,0.42745697498321533,0.2785343527793884,0.26267939805984497,0.34736719727516174,1.0,0.310281366109848,0.3452354073524475,0.22068053483963013
yuan,0.13503028452396393,0.5665212273597717,0.49336904287338257,0.1467057168483734,0.2548272907733917,0.4348680377006531,0.11742328107357025,0.12871281802654266
dynasty,0.17240095138549805,0.39861640334129333,1.0,0.19201454520225525,0.26267939805984497,0.49200209975242615,0.15513283014297485,0.15884074568748474
that,0.6297725439071655,0.21811583638191223,0.19153755903244019,0.47518548369407654,0.5473989248275757,0.22344286739826202,0.29063743352890015,0.32716336846351624
is,0.28837618231773376,0.1841094046831131,0.16410371661186218,0.19247472286224365,0.5823672413825989,0.15584324300289154,0.3526395261287689,0.22961433231830597
often,0.3849453330039978,0.25729459524154663,0.10548994690179825,0.26973026990890503,0.38004449009895325,0.1778450757265091,0.23000052571296692,0.23748154938220978
credited,0.120785653591156,0.14885835349559784,0.2203199416399002,0.2554740309715271,0.19653713703155518,0.18360614776611328,0.09372657537460327,0.06334620714187622
with,0.2464839518070221,0.18660885095596313,0.1163286566734314,0.25472134351730347,0.4223487675189972,0.21642690896987915,0.2364431470632553,0.2433311939239502
re-uniting,0.35530567169189453,0.1366606056690216,0.22187447547912598,0.22123095393180847,0.3992847204208374,0.20717748999595642,0.24487707018852234,0.20780031383037567
china,0.13832437992095947,0.6621482372283936,0.45030730962753296,0.16472692787647247,0.3110525608062744,0.47622933983802795,0.20182760059833527,0.18007943034172058
.,0.3567904531955719,0.25441038608551025,0.20616187155246735,0.35288307070732117,0.5934505462646484,0.1921418309211731,0.3618174195289612,0.4130953550338745
,what,chinese,dynasty,did,the,mongols,found,?
the,0.42745697498321533,0.2785343527793884,0.26267939805984497,0.34736719727516174,1.0,0.310281366109848,0.3452354073524475,0.22068053483963013
years,0.1981470286846161,0.23715102672576904,0.2351672351360321,0.2695724070072174,0.2912273406982422,0.164195716381073,0.21100080013275146,0.1914375126361847
of,0.33290785551071167,0.24275560677051544,0.285645067691803,0.2513895630836487,0.733189046382904,0.23517343401908875,0.2982911467552185,0.1826142966747284
the,0.42745697498321533,0.2785343527793884,0.26267939805984497,0.34736719727516174,1.0,0.310281366109848,0.3452354073524475,0.22068053483963013
mongol-established,0.20636487007141113,0.2928813099861145,0.44190147519111633,0.2577510476112366,0.40212783217430115,0.6128430962562561,0.23800352215766907,0.17841535806655884
yuan,0.13503028452396393,0.5665212273597717,0.49336904287338257,0.1467057168483734,0.2548272907733917,0.4348680377006531,0.11742328107357025,0.12871281802654266
dynasty,0.17240095138549805,0.39861640334129333,1.0,0.19201454520225525,0.26267939805984497,0.49200209975242615,0.15513283014297485,0.15884074568748474
left,0.2442072629928589,0.09371265023946762,0.10256978869438171,0.27335280179977417,0.33113980293273926,0.12081628292798996,0.15903827548027039,0.13251960277557373
an,0.2821882665157318,0.1873110979795456,0.17141813039779663,0.22598257660865784,0.4207492768764496,0.07991112023591995,0.11655625700950623,0.19793890416622162
indelible,0.4141789376735687,0.13722734153270721,0.07436468452215195,0.28595253825187683,0.2921832501888275,0.05228596553206444,0.19277264177799225,0.3311243951320648
imprint,0.2273353934288025,0.15172354876995087,0.03266618400812149,0.1530580371618271,0.18944452702999115,0.1809958815574646,0.1627497673034668,0.1337766796350479
on,0.34226128458976746,0.13115563988685608,0.10236000269651413,0.2670976221561432,0.5107308030128479,0.1580372005701065,0.2337699830532074,0.2714994251728058
chinese,0.11643128097057343,1.0000001192092896,0.39861640334129333,0.19065357744693756,0.2785343527793884,0.37191540002822876,0.14446572959423065,0.20843194425106049
political,0.21846716105937958,0.22570064663887024,0.25071749091148376,0.21022029221057892,0.20477235317230225,0.2146170288324356,0.09049317985773087,0.17130474746227264
and,0.31309178471565247,0.25892454385757446,0.21357402205467224,0.34479495882987976,0.5171257257461548,0.2535054385662079,0.27978911995887756,0.20544172823429108
social,0.22217629849910736,0.16334404051303864,0.2049567550420761,0.1977856606245041,0.21797899901866913,0.2301248162984848,0.17261944711208344,0.1615191102027893
structures,0.19226044416427612,0.1482842117547989,0.1411958485841751,0.10678435117006302,0.2516176700592041,0.22229310870170593,0.27861568331718445,0.13590580224990845
for,0.3017193675041199,0.20530261099338531,0.1219317764043808,0.318512886762619,0.4739971458911896,0.16784287989139557,0.19707661867141724,0.264628142118454
subsequent,0.20167095959186554,0.16625532507896423,0.17745660245418549,0.27863436937332153,0.2562725245952606,0.18911156058311462,0.21832451224327087,0.13111010193824768
generations,0.20994989573955536,0.19787396490573883,0.2557985484600067,0.1837662309408188,0.29861873388290405,0.19587519764900208,0.11926570534706116,0.1903773546218872
with,0.2464839518070221,0.18660885095596313,0.1163286566734314,0.25472134351730347,0.4223487675189972,0.21642690896987915,0.2364431470632553,0.2433311939239502
literature,0.22505109012126923,0.26814836263656616,0.2196342647075653,0.128226175904274,0.2611817419528961,0.2347850352525711,0.1525251865386963,0.2043706774711609
during,0.24137552082538605,0.21245013177394867,0.2431466281414032,0.30679523944854736,0.4838213622570038,0.23079566657543182,0.119338758289814,0.1325719803571701
the,0.42745697498321533,0.2785343527793884,0.26267939805984497,0.34736719727516174,1.0,0.310281366109848,0.3452354073524475,0.22068053483963013
jin,0.17349651455879211,0.5054189562797546,0.4847870469093323,0.12242958694696426,0.23336409032344818,0.43868622183799744,0.14700308442115784,0.12195159494876862
dynasty,0.17240095138549805,0.39861640334129333,1.0,0.19201454520225525,0.26267939805984497,0.49200209975242615,0.15513283014297485,0.15884074568748474
relatively,0.24081343412399292,0.09522156417369843,0.1043105199933052,0.19489876925945282,0.33481109142303467,0.1984306424856186,0.27617207169532776,0.1281091868877411
fewer,0.2367485761642456,0.13678503036499023,0.061177197843790054,0.2303217053413391,0.37070468068122864,0.19327576458454132,0.20390361547470093,0.16989107429981232
.,0.3567904531955719,0.25441038608551025,0.20616187155246735,0.35288307070732117,0.5934505462646484,0.1921418309211731,0.3618174195289612,0.4130953550338745
