,where,is,the,airport,located,?
the,0.5003893971443176,0.5823672413825989,1.0,0.2293178290128708,0.407527357339859,0.22068053483963013
fresno,0.24837370216846466,0.2127077877521515,0.22571885585784912,0.24522604048252106,0.2243264764547348,0.13224096596240997
chandler,0.1972365826368332,0.13874776661396027,0.20908327400684357,0.14377951622009277,0.16307242214679718,0.19399817287921906
executive,0.10446219891309738,0.18661944568157196,0.2402946650981903,0.1733918935060501,0.12345090508460999,0.12134998291730881
airport,0.14369693398475647,0.22916455566883087,0.2293178290128708,0.9999998807907104,0.32605111598968506,0.13105051219463348
is,0.3586711287498474,1.0,0.5823672413825989,0.22916455566883087,0.35717159509658813,0.22961433231830597
also,0.5413004159927368,0.5012649297714233,0.6021018624305725,0.2038232535123825,0.25066080689430237,0.21848613023757935
on,0.37630224227905273,0.3635730445384979,0.5107308030128479,0.21234196424484253,0.22447186708450317,0.2714994251728058
the,0.5003893971443176,0.5823672413825989,1.0,0.2293178290128708,0.407527357339859,0.22068053483963013
west,0.22786299884319305,0.25201764702796936,0.32918402552604675,0.2463395893573761,0.3266756236553192,0.12088293582201004
side,0.28958743810653687,0.27624061703681946,0.37146830558776855,0.14243720471858978,0.27094948291778564,0.07831130921840668
.,0.41390106081962585,0.4569662809371948,0.5934505462646484,0.2181699424982071,0.28226932883262634,0.4130953550338745
