,which,player,did,the,turf,collapse,under,during,a,game,in,the,levi,'s,stadium,?
concerns,0.234709233045578,0.12457840144634247,0.2600153982639313,0.23063859343528748,0.19878342747688293,0.16403236985206604,0.15694387257099152,0.15926627814769745,0.17636512219905853,0.1840086132287979,0.17420464754104614,0.23063859343528748,0.12381898611783981,-0.06240003928542137,0.11287197470664978,0.3555730879306793
were,0.2807837128639221,0.1087723821401596,0.4162326455116272,0.3906462490558624,0.1600910872220993,0.1581236869096756,0.28293636441230774,0.4064035415649414,0.17203083634376526,0.21951238811016083,0.3815755248069763,0.3906462490558624,0.19408033788204193,0.007088581565767527,0.15496990084648132,0.17890112102031708
raised,0.14648617804050446,0.1738305389881134,0.199112206697464,0.2089216411113739,0.14163967967033386,0.03860338404774666,0.07063384354114532,0.14010290801525116,0.2132149040699005,0.1473202407360077,0.27927297353744507,0.2089216411113739,0.17695719003677368,-0.08130557090044022,0.1773478239774704,0.1332261711359024
over,0.4256240129470825,0.13259460031986237,0.2535076439380646,0.39856547117233276,0.22982017695903778,0.25939327478408813,0.343487948179245,0.3472751975059509,0.32199642062187195,0.21176393330097198,0.3605569899082184,0.39856547117233276,0.0642046108841896,0.016215575858950615,0.18113315105438232,0.25742942094802856
whether,0.41544070839881897,0.13411660492420197,0.30857425928115845,0.3211745023727417,0.20878511667251587,0.12170856446027756,0.19099904596805573,0.23126763105392456,0.38829004764556885,0.2297401875257492,0.24645471572875977,0.3211745023727417,0.13261659443378448,0.03314889967441559,0.11717334389686584,0.3150278329849243
levi,0.08619074523448944,0.11439871788024902,0.1928999423980713,0.15661084651947021,0.1276061236858368,0.09747517108917236,0.11446783691644669,0.07856635004281998,0.14748936891555786,0.06744404137134552,0.13398480415344238,0.15661084651947021,0.9999999403953552,0.0004511454317253083,0.16388165950775146,0.09252339601516724
's,0.03856118768453598,-0.02902853861451149,0.05069678649306297,-0.01540423184633255,0.07264405488967896,0.027035072445869446,-0.03376881033182144,0.011294117197394371,0.04866964742541313,0.07448072731494904,-0.037580832839012146,-0.01540423184633255,0.0004511454317253083,0.9999999403953552,0.06718146800994873,-0.023395681753754616
stadium,0.20091398060321808,0.25626233220100403,0.14029206335544586,0.21145665645599365,0.3282683491706848,0.17896614968776703,0.12728263437747955,0.11316139996051788,0.14596018195152283,0.27498841285705566,0.21361783146858215,0.21145665645599365,0.16388165950775146,0.06718146800994873,1.0,0.07579939067363739
's,0.03856118768453598,-0.02902853861451149,0.05069678649306297,-0.01540423184633255,0.07264405488967896,0.027035072445869446,-0.03376881033182144,0.011294117197394371,0.04866964742541313,0.07448072731494904,-0.037580832839012146,-0.01540423184633255,0.0004511454317253083,0.9999999403953552,0.06718146800994873,-0.023395681753754616
field,0.21286733448505402,0.1546873152256012,0.16789361834526062,0.2105809599161148,0.22418086230754852,0.11546068638563156,0.1685141921043396,0.10801912844181061,0.2030690312385559,0.24591608345508575,0.20553018152713776,0.2105809599161148,0.1189475953578949,0.07850787043571472,0.31675073504447937,0.11279727518558502
was,0.2830964922904968,0.1967325210571289,0.41399896144866943,0.48711544275283813,0.15670937299728394,0.18394240736961365,0.2672741413116455,0.4470829963684082,0.4508470594882965,0.2568269371986389,0.45514053106307983,0.48711544275283813,0.22001278400421143,0.008974763564765453,0.20318599045276642,0.18412111699581146
of,0.5011631846427917,0.1627044975757599,0.2513895630836487,0.733189046382904,0.2042369246482849,0.26751232147216797,0.32766106724739075,0.3869180977344513,0.5052502155303955,0.2298848181962967,0.5696388483047485,0.733189046382904,0.14476609230041504,-0.03817026689648628,0.17126937210559845,0.1826142966747284
a,0.56894451379776,0.2591003477573395,0.2552328109741211,0.5829201340675354,0.2702938914299011,0.2268700748682022,0.18317826092243195,0.30341604351997375,1.0,0.23211604356765747,0.539380669593811,0.5829201340675354,0.14748936891555786,0.04866964742541313,0.14596018195152283,0.23916715383529663
high,0.25426656007766724,0.12976038455963135,0.15957149863243103,0.28034812211990356,0.24437108635902405,0.11995438486337662,0.1586521416902542,0.16778922080993652,0.22865821421146393,0.17470940947532654,0.2652597725391388,0.28034812211990356,0.08605117350816727,-0.04658069461584091,0.15461035072803497,0.11137914657592773
