,how,many,huguenots,were,killed,during,this,purge,?
the,0.33890387415885925,0.4335206151008606,0.30745792388916016,0.3906462490558624,0.23115427792072296,0.4838213622570038,0.6274310946464539,0.22348129749298096,0.22068053483963013
height,0.19309629499912262,0.1180814877152443,0.16783609986305237,0.12161871790885925,0.10919477790594101,0.1840224266052246,0.232341468334198,0.20250782370567322,0.1599798947572708
of,0.2480744868516922,0.37253960967063904,0.27577435970306396,0.34038281440734863,0.2589981257915497,0.3869180977344513,0.45148900151252747,0.1214258149266243,0.1826142966747284
this,0.45272302627563477,0.43532639741897583,0.2504573166370392,0.25469228625297546,0.20144015550613403,0.34351885318756104,0.9999999403953552,0.2859341502189636,0.3155723512172699
persecution,0.19229453802108765,0.3080703616142273,0.4767511487007141,0.34995532035827637,0.32806557416915894,0.2931213676929474,0.28924643993377686,0.34130024909973145,0.16299931704998016
was,0.16678167879581451,0.260356068611145,0.20650696754455566,0.590133786201477,0.31229376792907715,0.4470829963684082,0.3638818562030792,0.08461432158946991,0.18412111699581146
the,0.33890387415885925,0.4335206151008606,0.30745792388916016,0.3906462490558624,0.23115427792072296,0.4838213622570038,0.6274310946464539,0.22348129749298096,0.22068053483963013
st.,0.14827053248882294,0.13437041640281677,0.18535855412483215,0.13992512226104736,0.17562158405780792,0.1428316831588745,0.11447018384933472,0.1105964407324791,0.13592876493930817
bartholomew,0.11936577409505844,0.21860164403915405,0.41406622529029846,0.19701609015464783,0.24817606806755066,0.197061687707901,0.22247129678726196,0.19332043826580048,0.1647033840417862
's,-0.026164190843701363,0.01698932610452175,-0.00021272523736115545,0.007088581565767527,-0.004342961125075817,0.011294117197394371,0.02106832154095173,0.017108948901295662,-0.023395681753754616
day,0.20268619060516357,0.1936323195695877,0.22473984956741333,0.23235180974006653,0.25618505477905273,0.3424895405769348,0.23947837948799133,0.18858686089515686,0.2141837179660797
massacre,0.11958529055118561,0.1382083296775818,0.3301491439342499,0.2701851725578308,0.47948741912841797,0.2639131247997284,0.1948513388633728,0.1929238885641098,0.17941462993621826
when,0.4767928421497345,0.36563900113105774,0.21745723485946655,0.29649975895881653,0.2550056278705597,0.46721696853637695,0.4959332048892975,0.23870427906513214,0.22841128706932068
"5,000",0.05325348302721977,0.053693607449531555,0.12040307372808456,0.05729258060455322,0.18401911854743958,0.24447128176689148,0.07874424755573273,0.039401739835739136,0.031676504760980606
to,0.44169697165489197,0.40243685245513916,0.2685132324695587,0.31913647055625916,0.1682852953672409,0.2828781306743622,0.5759071707725525,0.2648797631263733,0.29463258385658264
"30,000",-0.009907256811857224,0.0039007063023746014,0.0753459632396698,-0.03460223227739334,-0.11440584063529968,-0.029349016025662422,-0.024596095085144043,-0.05894958972930908,-0.012226879596710205
were,0.2082374095916748,0.4804460406303406,0.2728680968284607,1.0000001192092896,0.3441145420074463,0.4064035415649414,0.25469228625297546,0.1390606313943863,0.17890112102031708
killed,0.1255389302968979,0.1783437877893448,0.25953033566474915,0.3441145420074463,0.9999998807907104,0.31690382957458496,0.20144015550613403,0.18461818993091583,0.17928971350193024
",",0.22659391164779663,0.40610817074775696,0.23394492268562317,0.36755475401878357,0.3006497025489807,0.3225448727607727,0.4316047728061676,0.19248788058757782,0.31091248989105225
although,0.26196205615997314,0.36542749404907227,0.233572319149971,0.29094749689102173,0.17442837357521057,0.2962360084056854,0.37442079186439514,0.16291862726211548,0.15541206300258636
there,0.3328511416912079,0.4993700683116913,0.21640802919864655,0.4359818994998932,0.25664499402046204,0.31077060103416443,0.47775381803512573,0.22466008365154266,0.29405656456947327
were,0.2082374095916748,0.4804460406303406,0.2728680968284607,1.0000001192092896,0.3441145420074463,0.4064035415649414,0.25469228625297546,0.1390606313943863,0.17890112102031708
