,what,molecules,act,as,defense,signals,?
after,0.21973377466201782,0.16228275001049042,0.16005510091781616,0.3014480769634247,0.16407574713230133,0.13250501453876495,0.16608688235282898
detecting,0.28681522607803345,0.34650301933288574,0.2527230381965637,0.2879454791545868,0.2893964648246765,0.4439292848110199,0.1820656806230545
stress,0.33004483580589294,0.33991268277168274,0.1758195161819458,0.20469357073307037,0.19389571249485016,0.2547110915184021,0.2845553457736969
in,0.30808621644973755,0.2197362184524536,0.22050046920776367,0.3887844979763031,0.20235490798950195,0.1433969885110855,0.20430970191955566
a,0.3320399522781372,0.23147501051425934,0.2060188204050064,0.39550232887268066,0.21441413462162018,0.22286362946033478,0.23916715383529663
cell,0.19222842156887054,0.45167991518974304,0.05979357287287712,0.25192439556121826,0.21394862234592438,0.2653706967830658,0.2058541625738144
",",0.3087472915649414,0.18639802932739258,0.1787904053926468,0.48816442489624023,0.21538467705249786,0.18197466433048248,0.31091248989105225
which,0.5261979103088379,0.35953670740127563,0.3216746747493744,0.41006597876548767,0.23141434788703918,0.3268090486526489,0.25814583897590637
might,0.4838182032108307,0.2777615487575531,0.21805478632450104,0.3630484640598297,0.16787852346897125,0.25262030959129333,0.41058459877967834
be,0.3929833769798279,0.307099312543869,0.29223379492759705,0.5230465531349182,0.17630356550216675,0.2467658817768097,0.3324260413646698
due,0.15204688906669617,0.154168963432312,0.15220478177070618,0.16304998099803925,0.16828428208827972,0.18828962743282318,0.10954997688531876
to,0.455847829580307,0.2749134600162506,0.24833928048610687,0.42092081904411316,0.22797247767448425,0.28668031096458435,0.29463258385658264
a,0.3320399522781372,0.23147501051425934,0.2060188204050064,0.39550232887268066,0.21441413462162018,0.22286362946033478,0.23916715383529663
pathogen,0.2550991475582123,0.5226409435272217,0.2223827987909317,0.19368022680282593,0.25388103723526,0.369848370552063,0.1893778294324875
",",0.3087472915649414,0.18639802932739258,0.1787904053926468,0.48816442489624023,0.21538467705249786,0.18197466433048248,0.31091248989105225
chloroplasts,0.2524593770503998,0.6201399564743042,0.16837693750858307,0.22593098878860474,0.16081169247627258,0.36569130420684814,0.13049766421318054
begin,0.26893487572669983,0.18566322326660156,0.17509077489376068,0.20308734476566315,0.12990103662014008,0.2293390929698944,0.16177093982696533
producing,0.1989585906267166,0.24683071672916412,0.11052229255437851,0.27350014448165894,0.17620335519313812,0.20355306565761566,0.1406429558992386
molecules,0.2143162339925766,0.9999999403953552,0.2115633487701416,0.2531224191188812,0.19985823333263397,0.40054887533187866,0.17409995198249817
like,0.4320242702960968,0.25267359614372253,0.23918594419956207,0.4175155460834503,0.1256476193666458,0.1903415322303772,0.3268813192844391
salicylic,0.2324676662683487,0.518258810043335,0.2135854810476303,0.2744896113872528,0.15273384749889374,0.2501038610935211,0.21087561547756195
acid,0.16500361263751984,0.46161726117134094,0.21522866189479828,0.18237580358982086,0.1435101330280304,0.21228766441345215,0.1556670069694519
",",0.3087472915649414,0.18639802932739258,0.1787904053926468,0.48816442489624023,0.21538467705249786,0.18197466433048248,0.31091248989105225
jasmonic,0.2606062889099121,0.31621330976486206,0.17442677915096283,0.28209468722343445,0.21157805621623993,0.25024524331092834,0.20266221463680267
acid,0.16500361263751984,0.46161726117134094,0.21522866189479828,0.18237580358982086,0.1435101330280304,0.21228766441345215,0.1556670069694519
",",0.3087472915649414,0.18639802932739258,0.1787904053926468,0.48816442489624023,0.21538467705249786,0.18197466433048248,0.31091248989105225
nitric,0.22018203139305115,0.5343291759490967,0.2009350061416626,0.2119915634393692,0.16923359036445618,0.276313453912735,0.18192295730113983
oxide,0.1961873471736908,0.43417757749557495,0.14305636286735535,0.22812576591968536,0.19274288415908813,0.24743516743183136,0.20583678781986237
and,0.31309178471565247,0.24837805330753326,0.2776535749435425,0.49487000703811646,0.20962949097156525,0.2103828638792038,0.20544172823429108
reactive,0.26621317863464355,0.5106874108314514,0.15621531009674072,0.22025346755981445,0.19056148827075958,0.2888939082622528,0.20790518820285797
oxygen,0.16781960427761078,0.5126039981842041,0.09000056982040405,0.16691245138645172,0.14937157928943634,0.31981784105300903,0.16786395013332367
species,0.14617158472537994,0.32983165979385376,0.17837141454219818,0.2342512160539627,0.10518301278352737,0.24898652732372284,0.1957087516784668
which,0.5261979103088379,0.35953670740127563,0.3216746747493744,0.41006597876548767,0.23141434788703918,0.3268090486526489,0.25814583897590637
can,0.34502777457237244,0.376198410987854,0.24270500242710114,0.3245031237602234,0.1362008899450302,0.318819135427475,0.3226337134838104
serve,0.23061832785606384,0.196492537856102,0.2857099175453186,0.3768509030342102,0.33521974086761475,0.17549392580986023,0.19925682246685028
as,0.31749409437179565,0.2531224191188812,0.2497578263282776,1.0,0.23991791903972626,0.18943847715854645,0.27043893933296204
defense-signals,0.26293566823005676,0.3784203827381134,0.2869822382926941,0.27764132618904114,0.7190049886703491,0.7016282081604004,0.19857169687747955
.,0.3567904531955719,0.25748172402381897,0.2025400698184967,0.515582263469696,0.26610422134399414,0.1770751029253006,0.4130953550338745
