,what,did,luther,devise,to,teach,christianity,to,the,congregation,?
luther,0.2134782373905182,0.23667675256729126,1.0,0.12433288246393204,0.18029534816741943,0.21748284995555878,0.3391180634498596,0.18029534816741943,0.1759674996137619,0.39724987745285034,0.1732746809720993
devised,0.1725519299507141,0.26588085293769836,0.07953537255525589,0.7615092992782593,0.23223984241485596,0.19300460815429688,0.16304701566696167,0.23223984241485596,0.24901261925697327,0.11292283236980438,0.13165238499641418
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.22957156598567963,0.535392165184021,0.1966347098350525,0.2489117980003357,0.535392165184021,1.0,0.2882172167301178,0.22068053483963013
catechism,0.29557177424430847,0.16412173211574554,0.3202340006828308,0.18947604298591614,0.1810305118560791,0.31071287393569946,0.561487078666687,0.1810305118560791,0.23989783227443695,0.5124911069869995,0.25135189294815063
as,0.31749409437179565,0.3596470057964325,0.20242992043495178,0.20443563163280487,0.42092081904411316,0.2547597289085388,0.2672104239463806,0.42092081904411316,0.48381632566452026,0.2227703481912613,0.27043893933296204
a,0.3320399522781372,0.2552328109741211,0.17967689037322998,0.266463041305542,0.45503583550453186,0.18608243763446808,0.17630846798419952,0.45503583550453186,0.5829201340675354,0.2073277086019516,0.23916715383529663
method,0.25476205348968506,0.21537424623966217,0.15382850170135498,0.39321812987327576,0.2593044936656952,0.20189876854419708,0.23131313920021057,0.2593044936656952,0.21624743938446045,0.16431695222854614,0.2194802314043045
of,0.33290785551071167,0.2513895630836487,0.1719115972518921,0.19454313814640045,0.41548454761505127,0.2383975088596344,0.2674740254878998,0.41548454761505127,0.733189046382904,0.28139111399650574,0.1826142966747284
imparting,0.3303106129169464,0.32665345072746277,0.2151009738445282,0.3412275016307831,0.3417494297027588,0.20644955337047577,0.16596411168575287,0.3417494297027588,0.28271394968032837,0.2765278220176697,0.23148562014102936
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.22957156598567963,0.535392165184021,0.1966347098350525,0.2489117980003357,0.535392165184021,1.0,0.2882172167301178,0.22068053483963013
basics,0.37713322043418884,0.24546436965465546,0.1618676781654358,0.23469775915145874,0.2609650492668152,0.3060123026371002,0.25625768303871155,0.2609650492668152,0.2156783491373062,0.15718640387058258,0.2711394429206848
of,0.33290785551071167,0.2513895630836487,0.1719115972518921,0.19454313814640045,0.41548454761505127,0.2383975088596344,0.2674740254878998,0.41548454761505127,0.733189046382904,0.28139111399650574,0.1826142966747284
christianity,0.27987581491470337,0.21473132073879242,0.3391180634498596,0.17673927545547485,0.28133612871170044,0.32621392607688904,1.0,0.28133612871170044,0.2489117980003357,0.46385458111763,0.22408421337604523
to,0.455847829580307,0.4452643394470215,0.18029534816741943,0.3466489911079407,1.0,0.36650484800338745,0.28133612871170044,1.0,0.535392165184021,0.21811531484127045,0.29463258385658264
the,0.42745697498321533,0.34736719727516174,0.1759674996137619,0.22957156598567963,0.535392165184021,0.1966347098350525,0.2489117980003357,0.535392165184021,1.0,0.2882172167301178,0.22068053483963013
congregations,0.15251578390598297,0.19284383952617645,0.3883286714553833,0.1782340556383133,0.22449913620948792,0.3072493374347687,0.46878018975257874,0.22449913620948792,0.28595808148384094,0.9550124406814575,0.18817296624183655
.,0.3567904531955719,0.35288307070732117,0.24907569587230682,0.18907301127910614,0.4645031690597534,0.2642667293548584,0.25126564502716064,0.4645031690597534,0.5934505462646484,0.27044418454170227,0.4130953550338745
