,who,made,temüjin,khan,of,the,mongols,?
at,0.22096660733222961,0.20185844600200653,0.25093090534210205,0.15931449830532074,0.42558613419532776,0.457212895154953,0.12352439761161804,0.21978627145290375
a,0.36608949303627014,0.3180864453315735,0.36845725774765015,0.1743650734424591,0.5052502155303955,0.5829201340675354,0.13675467669963837,0.23916715383529663
khuruldai,0.2723138928413391,0.17413774132728577,0.5675962567329407,0.5752332806587219,0.2947298586368561,0.2679694890975952,0.5237216949462891,0.23691365122795105
",",0.3365725874900818,0.32507219910621643,0.3484273850917816,0.19700400531291962,0.4946078956127167,0.4933079481124878,0.26664721965789795,0.31091248989105225
a,0.36608949303627014,0.3180864453315735,0.36845725774765015,0.1743650734424591,0.5052502155303955,0.5829201340675354,0.13675467669963837,0.23916715383529663
council,0.19620807468891144,0.12221342325210571,0.26024821400642395,0.29646122455596924,0.2972237169742584,0.2829204201698303,0.1748584657907486,0.1160062924027443
of,0.2827862501144409,0.33167365193367004,0.378805011510849,0.17124508321285248,1.0,0.733189046382904,0.23517343401908875,0.1826142966747284
mongol,0.22505711019039154,0.07320716977119446,0.599585771560669,0.5576101541519165,0.22712039947509766,0.2924198508262634,0.905461847782135,0.12849251925945282
chiefs,0.29126879572868347,0.1695893257856369,0.31086668372154236,0.22487635910511017,0.23118822276592255,0.28790906071662903,0.25812220573425293,0.13727404177188873
",",0.3365725874900818,0.32507219910621643,0.3484273850917816,0.19700400531291962,0.4946078956127167,0.4933079481124878,0.26664721965789795,0.31091248989105225
temüjin,0.416724294424057,0.25742578506469727,1.0,0.5100751519203186,0.378805011510849,0.43713900446891785,0.6022577881813049,0.21090233325958252
was,0.3318818509578705,0.3433256447315216,0.38774195313453674,0.23483267426490784,0.4069072902202606,0.48711544275283813,0.19519121944904327,0.18412111699581146
acknowledged,0.3219526708126068,0.2385863959789276,0.3542344868183136,0.22548449039459229,0.2888377606868744,0.24316465854644775,0.2266799658536911,0.20185135304927826
as,0.3923053741455078,0.40740177035331726,0.32332390546798706,0.22500167787075043,0.3886612355709076,0.48381632566452026,0.19857051968574524,0.27043893933296204
``,0.02397952415049076,-0.0342245027422905,0.08535800129175186,0.07293079793453217,0.06780257821083069,0.029072100296616554,0.10090413689613342,0.0685480609536171
khan,0.2616176903247833,0.11834710091352463,0.5100751519203186,1.0,0.17124508321285248,0.21067845821380615,0.5210641026496887,0.12862591445446014
'',0.024401003494858742,0.014119047671556473,0.07828018069267273,0.06717371195554733,0.13035868108272552,0.041273195296525955,0.026175666600465775,0.018684765323996544
of,0.2827862501144409,0.33167365193367004,0.378805011510849,0.17124508321285248,1.0,0.733189046382904,0.23517343401908875,0.1826142966747284
the,0.3733934462070465,0.3885267674922943,0.43713900446891785,0.21067845821380615,0.733189046382904,1.0,0.310281366109848,0.22068053483963013
consolidated,0.1153721809387207,0.16960397362709045,0.31606248021125793,0.12852142751216888,0.3171479105949402,0.28580236434936523,0.19875092804431915,0.16821198165416718
tribes,0.2694885730743408,0.12678273022174835,0.4125889539718628,0.2990405559539795,0.21502000093460083,0.26830655336380005,0.4619878828525543,0.08824794739484787
and,0.41279885172843933,0.34954607486724854,0.3789469599723816,0.22885166108608246,0.5116966962814331,0.5171257257461548,0.2535054385662079,0.20544172823429108
took,0.2481452226638794,0.3014582097530365,0.36550742387771606,0.14650984108448029,0.2766268849372864,0.31657639145851135,0.23986002802848816,0.14109265804290771
the,0.3733934462070465,0.3885267674922943,0.43713900446891785,0.21067845821380615,0.733189046382904,1.0,0.310281366109848,0.22068053483963013
new,0.2378052920103073,0.20649032294750214,0.206562340259552,0.08042891323566437,0.343457967042923,0.3845241069793701,0.1520107090473175,0.14782847464084625
title,0.18150031566619873,0.15023131668567657,0.2721523642539978,0.22046531736850739,0.18969319760799408,0.27465343475341797,0.14744237065315247,0.34551161527633667
``,0.02397952415049076,-0.0342245027422905,0.08535800129175186,0.07293079793453217,0.06780257821083069,0.029072100296616554,0.10090413689613342,0.0685480609536171
genghis,0.3018350303173065,0.1661241054534912,0.604469895362854,0.5896923542022705,0.2938849925994873,0.3448939025402069,0.6018205285072327,0.18813461065292358
khan,0.2616176903247833,0.11834710091352463,0.5100751519203186,1.0,0.17124508321285248,0.21067845821380615,0.5210641026496887,0.12862591445446014
'',0.024401003494858742,0.014119047671556473,0.07828018069267273,0.06717371195554733,0.13035868108272552,0.041273195296525955,0.026175666600465775,0.018684765323996544
.,0.3541337847709656,0.4032190144062042,0.31788840889930725,0.19819748401641846,0.5352458953857422,0.5934505462646484,0.1921418309211731,0.4130953550338745
