,when,did,the,north,american,french,and,indian,war,end,?
the,0.5091903209686279,0.34736719727516174,1.0,0.36298373341560364,0.24562937021255493,0.2555147111415863,0.5171257257461548,0.23407642543315887,0.366199791431427,0.39658910036087036,0.22068053483963013
war,0.26339730620384216,0.27422013878822327,0.366199791431427,0.2980347275733948,0.2592540383338928,0.2536753714084625,0.29695844650268555,0.23471178114414215,1.0000001192092896,0.3102572560310364,0.15510529279708862
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.39050599932670593,0.22871561348438263,0.22093388438224792,0.4954058527946472,0.17715758085250854,0.29904094338417053,0.28539085388183594,0.20430970191955566
north,0.21003669500350952,0.16732536256313324,0.36298373341560364,1.0,0.2107747346162796,0.14223402738571167,0.2776443064212799,0.19197654724121094,0.2980347275733948,0.2279748171567917,0.11829731613397598
america,0.21924224495887756,0.2212076634168625,0.37090015411376953,0.4837384521961212,0.3915616571903229,0.15473008155822754,0.2647855281829834,0.1831231713294983,0.23212303221225739,0.17070841789245605,0.19333907961845398
officially,0.3171864151954651,0.23247523605823517,0.36343514919281006,0.2871719300746918,0.13618874549865723,0.16490140557289124,0.18821144104003906,0.12932610511779785,0.29059749841690063,0.2142842411994934,0.15603435039520264
ended,0.2624439001083374,0.33372020721435547,0.3356485068798065,0.16911999881267548,0.1963030993938446,0.17074082791805267,0.2036798745393753,0.1192706972360611,0.38025277853012085,0.4509032666683197,0.15429291129112244
with,0.5075214505195618,0.25472134351730347,0.4223487675189972,0.185934916138649,0.20245933532714844,0.1637353003025055,0.5477725267410278,0.16460631787776947,0.20580904185771942,0.23444485664367676,0.2433311939239502
the,0.5091903209686279,0.34736719727516174,1.0,0.36298373341560364,0.24562937021255493,0.2555147111415863,0.5171257257461548,0.23407642543315887,0.366199791431427,0.39658910036087036,0.22068053483963013
signing,0.2867964804172516,0.2153119593858719,0.3163802921772003,0.12794296443462372,0.17005734145641327,0.16683785617351532,0.1918805092573166,0.08763356506824493,0.24651086330413818,0.2591789662837982,0.15776143968105316
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.3604778051376343,0.22180068492889404,0.19450366497039795,0.5116966962814331,0.24303589761257172,0.31680163741111755,0.2215006798505783,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,1.0,0.36298373341560364,0.24562937021255493,0.2555147111415863,0.5171257257461548,0.23407642543315887,0.366199791431427,0.39658910036087036,0.22068053483963013
treaty,0.15431849658489227,0.19075942039489746,0.2690109610557556,0.2429315149784088,0.09202565997838974,0.20101603865623474,0.1592116355895996,0.19182558357715607,0.412763386964798,0.2533435523509979,0.1174844279885292
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.3604778051376343,0.22180068492889404,0.19450366497039795,0.5116966962814331,0.24303589761257172,0.31680163741111755,0.2215006798505783,0.1826142966747284
paris,0.23232801258563995,0.2176143378019333,0.24946041405200958,0.19791465997695923,0.1810559332370758,0.4664231836795807,0.2769920825958252,0.1410185843706131,0.2805107533931732,0.1532699465751648,0.1491217315196991
on,0.37706470489501953,0.2670976221561432,0.5107308030128479,0.24055036902427673,0.2356499582529068,0.1382952481508255,0.4077630043029785,0.1533810794353485,0.23017507791519165,0.2773675322532654,0.2714994251728058
10,0.057211097329854965,0.1914099007844925,0.2880653440952301,0.34347110986709595,0.13325902819633484,0.08017447590827942,0.2397010177373886,0.3113310635089874,0.10086486488580704,0.0587826631963253,0.022911956533789635
february,0.2621206045150757,0.25426602363586426,0.26483774185180664,0.19048018753528595,0.3302780091762543,0.22585777938365936,0.25102463364601135,0.18201930820941925,0.23280571401119232,0.1112842932343483,0.29594847559928894
1763,0.03452290967106819,0.024344369769096375,0.08999345451593399,0.13473288714885712,0.05565926805138588,0.22790472209453583,0.10948607325553894,0.0791577398777008,0.05294172465801239,0.07949008792638779,0.1296161562204361
",",0.36674630641937256,0.3015086054801941,0.4933079481124878,0.31834840774536133,0.3048616647720337,0.28806620836257935,0.6633074283599854,0.2407594621181488,0.2671184241771698,0.25448864698410034,0.31091248989105225
and,0.4716290831565857,0.34479495882987976,0.5171257257461548,0.2776443064212799,0.32290002703666687,0.32751965522766113,1.0,0.24078236520290375,0.29695844650268555,0.24708716571331024,0.20544172823429108
war,0.26339730620384216,0.27422013878822327,0.366199791431427,0.2980347275733948,0.2592540383338928,0.2536753714084625,0.29695844650268555,0.23471178114414215,1.0000001192092896,0.3102572560310364,0.15510529279708862
in,0.4431333839893341,0.2593238651752472,0.6662389636039734,0.39050599932670593,0.22871561348438263,0.22093388438224792,0.4954058527946472,0.17715758085250854,0.29904094338417053,0.28539085388183594,0.20430970191955566
the,0.5091903209686279,0.34736719727516174,1.0,0.36298373341560364,0.24562937021255493,0.2555147111415863,0.5171257257461548,0.23407642543315887,0.366199791431427,0.39658910036087036,0.22068053483963013
european,0.1717725396156311,0.2440035194158554,0.3423081040382385,0.24949796497821808,0.2377248853445053,0.30328667163848877,0.24143946170806885,0.23149901628494263,0.2521776556968689,0.16247999668121338,0.14560863375663757
theatre,0.16944347321987152,0.17782776057720184,0.25594043731689453,0.13805396854877472,0.21358399093151093,0.21059434115886688,0.2638216018676758,0.17377766966819763,0.26466354727745056,0.1874132603406906,0.1159285232424736
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.3604778051376343,0.22180068492889404,0.19450366497039795,0.5116966962814331,0.24303589761257172,0.31680163741111755,0.2215006798505783,0.1826142966747284
the,0.5091903209686279,0.34736719727516174,1.0,0.36298373341560364,0.24562937021255493,0.2555147111415863,0.5171257257461548,0.23407642543315887,0.366199791431427,0.39658910036087036,0.22068053483963013
seven,0.1915208101272583,0.11491922289133072,0.28151169419288635,0.17746955156326294,0.2254749983549118,0.16133227944374084,0.26877880096435547,0.12965519726276398,0.19957704842090607,0.20485073328018188,0.1732930988073349
years,0.3409145474433899,0.2695724070072174,0.2912273406982422,0.26820671558380127,0.19942641258239746,0.17051009833812714,0.300204873085022,0.1961277425289154,0.3038960099220276,0.2339317500591278,0.1914375126361847
',0.2558356821537018,0.25488927960395813,0.474788099527359,0.20784355700016022,0.2715173065662384,0.15956202149391174,0.3053182065486908,0.1699446588754654,0.17949679493904114,0.19123448431491852,0.330942302942276
war,0.26339730620384216,0.27422013878822327,0.366199791431427,0.2980347275733948,0.2592540383338928,0.2536753714084625,0.29695844650268555,0.23471178114414215,1.0000001192092896,0.3102572560310364,0.15510529279708862
was,0.37326499819755554,0.41399896144866943,0.48711544275283813,0.29020047187805176,0.31632548570632935,0.2523815333843231,0.3740963041782379,0.23096419870853424,0.3560331463813782,0.19220198690891266,0.18412111699581146
settled,0.2473156750202179,0.20065045356750488,0.29293251037597656,0.23616638779640198,0.129208505153656,0.15523318946361542,0.25537189841270447,0.1854744553565979,0.2291855812072754,0.15086397528648376,0.09694210439920425
by,0.4376842677593231,0.18574509024620056,0.4408751428127289,0.22664140164852142,0.2777634859085083,0.23343317210674286,0.4289871156215668,0.14617662131786346,0.18974854052066803,0.19136181473731995,0.17966607213020325
the,0.5091903209686279,0.34736719727516174,1.0,0.36298373341560364,0.24562937021255493,0.2555147111415863,0.5171257257461548,0.23407642543315887,0.366199791431427,0.39658910036087036,0.22068053483963013
treaty,0.15431849658489227,0.19075942039489746,0.2690109610557556,0.2429315149784088,0.09202565997838974,0.20101603865623474,0.1592116355895996,0.19182558357715607,0.412763386964798,0.2533435523509979,0.1174844279885292
of,0.3757161796092987,0.2513895630836487,0.733189046382904,0.3604778051376343,0.22180068492889404,0.19450366497039795,0.5116966962814331,0.24303589761257172,0.31680163741111755,0.2215006798505783,0.1826142966747284
hubertusburg,0.16832618415355682,0.18180274963378906,0.27925848960876465,0.33221498131752014,0.21295078098773956,0.31406378746032715,0.22613593935966492,0.15282493829727173,0.3186831772327423,0.21507832407951355,0.23660477995872498
on,0.37706470489501953,0.2670976221561432,0.5107308030128479,0.24055036902427673,0.2356499582529068,0.1382952481508255,0.4077630043029785,0.1533810794353485,0.23017507791519165,0.2773675322532654,0.2714994251728058
15,-0.04047394171357155,0.03605250269174576,-0.011810222640633583,0.03317498043179512,0.03709430247545242,-0.023220039904117584,0.031420208513736725,0.05448083207011223,0.047191012650728226,-0.04033101722598076,-0.010706285014748573
february,0.2621206045150757,0.25426602363586426,0.26483774185180664,0.19048018753528595,0.3302780091762543,0.22585777938365936,0.25102463364601135,0.18201930820941925,0.23280571401119232,0.1112842932343483,0.29594847559928894
1763,0.03452290967106819,0.024344369769096375,0.08999345451593399,0.13473288714885712,0.05565926805138588,0.22790472209453583,0.10948607325553894,0.0791577398777008,0.05294172465801239,0.07949008792638779,0.1296161562204361
.,0.475719153881073,0.35288307070732117,0.5934505462646484,0.3171539604663849,0.29108086228370667,0.2480926215648651,0.588965117931366,0.2388933300971985,0.3000848889350891,0.26526886224746704,0.4130953550338745
