,how,many,residential,dorms,house,upper,class,",",sophomore,",",jr,",",and,sr,students,?
sophomore,0.17799314856529236,0.20859578251838684,0.27361756563186646,0.2357388436794281,0.24495480954647064,0.1393594890832901,0.23335635662078857,0.3307931125164032,0.9999999403953552,0.3307931125164032,0.25752928853034973,0.3307931125164032,0.2728134095668793,0.1353754848241806,0.3792390823364258,0.15567097067832947
",",0.22659391164779663,0.40610817074775696,0.21989741921424866,0.2878994345664978,0.28236111998558044,0.22235287725925446,0.1753857135772705,1.0000001192092896,0.3307931125164032,1.0000001192092896,0.31571900844573975,1.0000001192092896,0.6633074283599854,0.25801849365234375,0.26501646637916565,0.31091248989105225
junior,0.09128160029649734,0.10453637689352036,0.12857340276241302,0.1508949100971222,0.1989550143480301,0.14063787460327148,0.16258715093135834,0.25050756335258484,0.3477953374385834,0.25050756335258484,0.32300496101379395,0.25050756335258484,0.2219081073999405,0.24014244973659515,0.295886367559433,0.1303381472826004
",",0.22659391164779663,0.40610817074775696,0.21989741921424866,0.2878994345664978,0.28236111998558044,0.22235287725925446,0.1753857135772705,1.0000001192092896,0.3307931125164032,1.0000001192092896,0.31571900844573975,1.0000001192092896,0.6633074283599854,0.25801849365234375,0.26501646637916565,0.31091248989105225
and,0.33647966384887695,0.5296266674995422,0.3452662229537964,0.27385902404785156,0.2552875876426697,0.2172592729330063,0.20710228383541107,0.6633074283599854,0.2728134095668793,0.6633074283599854,0.18126936256885529,0.6633074283599854,1.0,0.24970124661922455,0.28111961483955383,0.20544172823429108
senior,0.127563938498497,0.14305002987384796,0.21139633655548096,0.1402880847454071,0.2610975205898285,0.09578760713338852,0.16127677261829376,0.2702373266220093,0.3155996799468994,0.2702373266220093,0.24028265476226807,0.2702373266220093,0.27617061138153076,0.17083069682121277,0.3186129629611969,0.104712575674057
undergraduates,0.1748385727405548,0.2715155780315399,0.37437140941619873,0.32903555035591125,0.15108448266983032,0.19649642705917358,0.25960999727249146,0.22169508039951324,0.48128291964530945,0.22169508039951324,0.17313063144683838,0.22169508039951324,0.28725674748420715,0.11982262879610062,0.6883468627929688,0.14489197731018066
live,0.16572442650794983,0.31241026520729065,0.23818430304527283,0.2906493842601776,0.16043265163898468,0.1384725421667099,0.11746594309806824,0.29754534363746643,0.2399469017982483,0.29754534363746643,0.03392932564020157,0.29754534363746643,0.29040172696113586,0.00988996122032404,0.166085347533226,0.19481121003627777
in,0.2601168751716614,0.41474202275276184,0.29686787724494934,0.27789363265037537,0.20026938617229462,0.27419501543045044,0.1761927455663681,0.5201468467712402,0.32083046436309814,0.5201468467712402,0.17069292068481445,0.5201468467712402,0.4954058527946472,0.13009551167488098,0.2676171064376831,0.20430970191955566
twelve,0.18371286988258362,0.29723310470581055,0.07986857742071152,0.12102615833282471,0.177284836769104,0.15276286005973816,0.10328524559736252,0.24362413585186005,0.250071257352829,0.24362413585186005,0.1552400141954422,0.24362413585186005,0.22829754650592804,0.16270282864570618,0.23279152810573578,0.06192852556705475
