,who,created,the,nation,'s,first,aviation,community,?
developer,0.23478424549102783,0.27992114424705505,0.19321660697460175,0.16237063705921173,0.04388640820980072,0.17789076268672943,0.17536309361457825,0.3257827162742615,0.19652149081230164
william,0.32068803906440735,0.1416419893503189,0.21537061035633087,0.14403773844242096,0.00675395829603076,0.26558709144592285,0.19227176904678345,0.11733328551054001,0.14462219178676605
smilie,0.29946455359458923,0.07298123091459274,0.14873705804347992,0.14320720732212067,0.029615255072712898,0.17572462558746338,0.14871414005756378,0.13139130175113678,0.1792912781238556
created,0.25695955753326416,1.0,0.3539263904094696,0.21029721200466156,-0.015766004100441933,0.32392561435699463,0.20151804387569427,0.2543397843837738,0.21177415549755096
the,0.3733934462070465,0.3539263904094696,1.0,0.39486879110336304,-0.01540423184633255,0.49448907375335693,0.2703816592693329,0.2601400911808014,0.22068053483963013
nation,0.23936018347740173,0.21029721200466156,0.39486879110336304,1.0,0.033554114401340485,0.26920846104621887,0.20364049077033997,0.29868414998054504,0.17865248024463654
's,0.05599616840481758,-0.015766004100441933,-0.01540423184633255,0.033554114401340485,0.9999999403953552,-0.014458609744906425,-0.027523839846253395,0.020855724811553955,-0.023395681753754616
first,0.39065709710121155,0.32392561435699463,0.49448907375335693,0.26920846104621887,-0.014458609744906425,1.0,0.18802331387996674,0.15024319291114807,0.18701928853988647
planned,0.189250648021698,0.21036739647388458,0.3010992109775543,0.20179350674152374,0.06015291437506676,0.2937391698360443,0.2027292549610138,0.20219826698303223,0.16188396513462067
aviation,0.09883026033639908,0.20151804387569427,0.2703816592693329,0.20364049077033997,-0.027523839846253395,0.18802331387996674,1.0,0.187704935669899,0.1517462134361267
community,0.245173841714859,0.2543397843837738,0.2601400911808014,0.29868414998054504,0.020855724811553955,0.15024319291114807,0.187704935669899,0.9999998807907104,0.2380419820547104
.,0.3541337847709656,0.3230568766593933,0.5934505462646484,0.2852533757686615,-0.003708066651597619,0.4345304071903229,0.2238127440214157,0.2594514787197113,0.4130953550338745
