,what,made,the,student,decide,to,occupy,the,president,'s,office,in,protest,?
the,0.42745697498321533,0.3885267674922943,1.0,0.21259291470050812,0.35331496596336365,0.535392165184021,0.31747862696647644,1.0,0.24330610036849976,-0.01540423184633255,0.27314993739128113,0.6662389636039734,0.25126034021377563,0.22068053483963013
university,0.20256435871124268,0.143972709774971,0.263973206281662,0.46536099910736084,0.12647351622581482,0.20192374289035797,0.25297173857688904,0.263973206281662,0.2515452206134796,-0.007441582623869181,0.2374965250492096,0.3201795518398285,0.21110603213310242,0.11887256056070328
experienced,0.37686559557914734,0.24549968540668488,0.26857760548591614,0.25918108224868774,0.2608402967453003,0.28612127900123596,0.19359362125396729,0.26857760548591614,0.09231263399124146,0.01367704663425684,0.10441248118877411,0.25524765253067017,0.19871410727500916,0.23420310020446777
its,0.30393704771995544,0.23243726789951324,0.559237003326416,0.17580947279930115,0.15593929588794708,0.3691340684890747,0.23045964539051056,0.559237003326416,0.1704227179288864,0.03202139586210251,0.25612401962280273,0.3793783485889435,0.18863987922668457,0.15103481709957123
share,0.2764742076396942,0.15536442399024963,0.249948650598526,0.11719664186239243,0.20576798915863037,0.27366065979003906,0.20651516318321228,0.249948650598526,0.04156026616692543,0.10465416312217712,0.12664830684661865,0.21491074562072754,0.154808908700943,0.1754547506570816
of,0.33290785551071167,0.33167365193367004,0.733189046382904,0.20310284197330475,0.2682307958602905,0.41548454761505127,0.3452157974243164,0.733189046382904,0.21610750257968903,-0.03817026689648628,0.24605777859687805,0.5696388483047485,0.24564224481582642,0.1826142966747284
student,0.20548318326473236,0.07184748351573944,0.21259291470050812,1.0000001192092896,0.26206767559051514,0.21220189332962036,0.15513285994529724,0.21259291470050812,0.3333226144313812,0.018150636926293373,0.23292922973632812,0.254856139421463,0.3371713161468506,0.13282090425491333
unrest,0.15532222390174866,0.11131542176008224,0.23773464560508728,0.17381075024604797,0.1231878250837326,0.2516883909702301,0.25944623351097107,0.23773464560508728,0.2591158449649811,0.05761979520320892,0.18082845211029053,0.26387542486190796,0.357915461063385,0.08488935232162476
during,0.24137552082538605,0.2681747078895569,0.4838213622570038,0.18758854269981384,0.2121889889240265,0.2828781306743622,0.22003692388534546,0.4838213622570038,0.19422510266304016,0.011294117197394371,0.17611193656921387,0.4627237319946289,0.21958941221237183,0.1325719803571701
the,0.42745697498321533,0.3885267674922943,1.0,0.21259291470050812,0.35331496596336365,0.535392165184021,0.31747862696647644,1.0,0.24330610036849976,-0.01540423184633255,0.27314993739128113,0.6662389636039734,0.25126034021377563,0.22068053483963013
1960s,-0.17530474066734314,-0.10547317564487457,-0.06868536025285721,0.055848199874162674,-0.14088012278079987,-0.1955609768629074,-0.10145394504070282,-0.06868536025285721,0.12587544322013855,0.03265397250652313,-0.0109209343791008,0.0007937865448184311,-0.04706919938325882,-0.08257022500038147
",",0.3087472915649414,0.32507219910621643,0.4933079481124878,0.2261858433485031,0.24334396421909332,0.44245919585227966,0.2732933461666107,0.4933079481124878,0.26552814245224,-0.0016132977325469255,0.25194036960601807,0.5201468467712402,0.2963520884513855,0.31091248989105225
beginning,0.3351518511772156,0.21646064519882202,0.49622642993927,0.18252664804458618,0.20009295642375946,0.32582011818885803,0.24672366678714752,0.49622642993927,0.22574372589588165,-0.03033691644668579,0.1936991810798645,0.3787442147731781,0.20735611021518707,0.19413669407367706
in,0.30808621644973755,0.25271502137184143,0.6662389636039734,0.254856139421463,0.24276606738567352,0.45010748505592346,0.3150743544101715,0.6662389636039734,0.18811661005020142,-0.037580832839012146,0.28433957695961,1.0,0.29343265295028687,0.20430970191955566
1962,-0.001027831924147904,-0.05572199076414108,-0.023296929895877838,-0.03725946322083473,-0.04931481182575226,-0.048656053841114044,0.0920465737581253,-0.023296929895877838,0.04372582212090492,0.02088261768221855,0.023047465831041336,-0.0651141032576561,0.03005969524383545,-0.008269774727523327
