,what,may,cause,``,motivational,embellishment,'',?
there,0.35085538029670715,0.3923002779483795,0.3022115230560303,0.0756821483373642,0.18736380338668823,0.16838976740837097,0.03646579384803772,0.29405656456947327
are,0.29724663496017456,0.3162533640861511,0.2999303638935089,0.12624181807041168,0.22520476579666138,0.22876158356666565,0.0263817198574543,0.24591213464736938
various,0.26045072078704834,0.259015291929245,0.16014935076236725,-0.01631314493715763,0.2839251458644867,0.23302946984767914,0.02580529823899269,0.12823495268821716
mechanisms,0.23776228725910187,0.21244217455387115,0.295256108045578,0.1368541419506073,0.3127641975879669,0.2540596127510071,-0.03701295703649521,0.20209980010986328
by,0.2455483376979828,0.1970296949148178,0.20837076008319855,-0.030704375356435776,0.20887546241283417,0.26221561431884766,-0.010275691747665405,0.17966607213020325
which,0.5261979103088379,0.23536433279514313,0.35877716541290283,0.05178012326359749,0.23640121519565582,0.27673205733299255,-0.03332270681858063,0.25814583897590637
teacher,0.20492632687091827,0.15417979657649994,0.08935278654098511,0.07266681641340256,0.30067580938339233,0.16088901460170746,-0.0015530947130173445,0.1797819435596466
enthusiasm,0.24652187526226044,0.15972766280174255,0.23316951096057892,0.03255396708846092,0.3525658845901489,0.24153561890125275,-0.08026084303855896,0.20266079902648926
may,0.25739946961402893,0.9999998807907104,0.3391842246055603,0.13614267110824585,0.2769565284252167,0.17626892030239105,0.020231230184435844,0.2768254578113556
facilitate,0.2072707712650299,0.1910097450017929,0.2651353180408478,0.02028024196624756,0.33237433433532715,0.1977814882993698,-0.03208602964878082,0.255449503660202
higher,0.2538340389728546,0.18423119187355042,0.25972309708595276,0.09723145514726639,0.2366524338722229,0.1201663613319397,-0.02041453868150711,0.15679465234279633
levels,0.21641245484352112,0.23522217571735382,0.2808149755001068,0.0378570593893528,0.21737118065357208,0.15176065266132355,-0.026776907965540886,0.1541307419538498
of,0.33290785551071167,0.26447007060050964,0.25979894399642944,0.06780257821083069,0.24062757194042206,0.2714916169643402,0.13035868108272552,0.1826142966747284
intrinsic,0.38694334030151367,0.25062331557273865,0.38609597086906433,0.09172667562961578,0.38478463888168335,0.3064018785953522,0.059444207698106766,0.2300206422805786
motivation,0.3632064461708069,0.2820869982242584,0.31677985191345215,0.09413687139749527,0.8725070953369141,0.20068879425525665,-0.038337673991918564,0.27532052993774414
.,0.3567904531955719,0.35826805233955383,0.267557293176651,0.05720457062125206,0.2462569624185562,0.25876861810684204,-0.07181349396705627,0.4130953550338745
,what,may,cause,``,motivational,embellishment,'',?
also,0.42747777700424194,0.3555105924606323,0.3166497051715851,0.000636551936622709,0.2802889049053192,0.19655440747737885,0.05102188512682915,0.21848613023757935
",",0.3087472915649414,0.5007920861244202,0.2546827793121338,0.09681109338998795,0.2767159044742584,0.23889735341072083,-0.037358131259679794,0.31091248989105225
enthusiasm,0.24652187526226044,0.15972766280174255,0.23316951096057892,0.03255396708846092,0.3525658845901489,0.24153561890125275,-0.08026084303855896,0.20266079902648926
