,who,experimented,by,rolling,stones,and,canonballs,down,a,steep,incline,?
the,0.3733934462070465,0.1823195219039917,0.4408751428127289,0.2699836790561676,0.2682363986968994,0.5171257257461548,0.2532973885536194,0.3325848877429962,0.5829201340675354,0.23276886343955994,0.17890620231628418,0.22068053483963013
shortcomings,0.2502090036869049,0.25541365146636963,0.20500899851322174,0.2521231770515442,0.26467791199684143,0.34587162733078003,0.31360283493995667,0.16520792245864868,0.2626919448375702,0.2157348245382309,0.24392621219158173,0.41145098209381104
of,0.2827862501144409,0.16629961133003235,0.3646814823150635,0.2538992762565613,0.23857183754444122,0.5116966962814331,0.25573474168777466,0.23279321193695068,0.5052502155303955,0.17447429895401,0.1496601104736328,0.1826142966747284
aristotelian,0.31525078415870667,0.29416581988334656,0.24070093035697937,0.11162977665662766,0.09310484677553177,0.2571854591369629,0.3305055499076843,0.14555585384368896,0.2305297553539276,0.11999194324016571,0.2439742088317871,0.15906864404678345
physics,0.14691244065761566,0.3248823881149292,0.15634199976921082,0.1081085130572319,0.07882560044527054,0.14552804827690125,0.22060005366802216,0.14857684075832367,0.1683787703514099,0.09732411056756973,0.18321748077869415,0.1470423936843872
would,0.3632977604866028,0.22255326807498932,0.28394925594329834,0.2318762093782425,0.2418367564678192,0.34921059012413025,0.25326672196388245,0.2835104465484619,0.398599237203598,0.2115505337715149,0.3208168148994446,0.37178951501846313
not,0.369414746761322,0.2509180009365082,0.291808545589447,0.1840447634458542,0.20173828303813934,0.39099299907684326,0.21861401200294495,0.24106737971305847,0.3791346549987793,0.2468271553516388,0.295916348695755,0.41942933201789856
be,0.3371641933917999,0.2942444980144501,0.43158695101737976,0.20387354493141174,0.24383634328842163,0.41766801476478577,0.3054654896259308,0.24427638947963715,0.39883795380592346,0.20412687957286835,0.28150203824043274,0.3324260413646698
fully,0.2663757801055908,0.2142343968153,0.24546781182289124,0.10683198273181915,0.1347782015800476,0.23881065845489502,0.20083218812942505,0.14242888987064362,0.25668543577194214,0.1888408660888672,0.22477519512176514,0.2089291661977768
corrected,0.19211216270923615,0.3198617100715637,0.3018675446510315,0.11313054710626602,0.18117892742156982,0.23781725764274597,0.222626194357872,0.18935897946357727,0.21850232779979706,0.18395046889781952,0.18881098926067352,0.32021793723106384
until,0.2530071437358856,0.15426330268383026,0.26738616824150085,0.12200777232646942,0.16128315031528473,0.3372601866722107,0.16401295363903046,0.19398029148578644,0.2314814180135727,0.12732361257076263,0.1148516982793808,0.20304496586322784
the,0.3733934462070465,0.1823195219039917,0.4408751428127289,0.2699836790561676,0.2682363986968994,0.5171257257461548,0.2532973885536194,0.3325848877429962,0.5829201340675354,0.23276886343955994,0.17890620231628418,0.22068053483963013
17th,0.0544084869325161,0.12300337105989456,0.20275087654590607,0.17699827253818512,0.1963154822587967,0.2645922303199768,0.1320009082555771,0.15988759696483612,0.18620461225509644,0.27724841237068176,0.2691245377063751,0.096589595079422
century,0.2990973889827728,0.27987080812454224,0.29995259642601013,0.14599764347076416,0.203220397233963,0.2726690471172333,0.214609757065773,0.2034510374069214,0.19417014718055725,0.1247987449169159,0.1353570520877838,0.1026201918721199
work,0.3146236836910248,0.3865143656730652,0.25005507469177246,0.20125088095664978,0.1681072860956192,0.37551814317703247,0.24478669464588165,0.2043389528989792,0.266241192817688,0.14254973828792572,0.1865766942501068,0.2621155381202698
