,what,was,the,diameter,of,the,saturn,v,in,feet,?
it,0.45803478360176086,0.4577186405658722,0.6251175999641418,0.22054040431976318,0.38761502504348755,0.6251175999641418,0.2410580962896347,0.1784781813621521,0.5130809545516968,0.25074467062950134,0.25732165575027466
was,0.22111038863658905,1.0000001192092896,0.48711544275283813,0.17759911715984344,0.4069072902202606,0.48711544275283813,0.24932558834552765,0.16128918528556824,0.45514053106307983,0.16205810010433197,0.18412111699581146
33,-0.15484987199306488,-0.16929735243320465,-0.03255842998623848,0.1007966473698616,-0.06182495877146721,-0.03255842998623848,-0.042185138911008835,-0.08458832651376724,-0.11882872134447098,0.07399293780326843,-0.19592872262001038
feet,0.18749791383743286,0.16205810010433197,0.24407297372817993,0.41197434067726135,0.15753290057182312,0.24407297372817993,0.11814583837985992,0.13841462135314941,0.18039943277835846,0.9999999403953552,0.14855161309242249
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.19697368144989014,0.35032153129577637,0.33289089798927307,0.16996361315250397,0.2043849378824234,0.3087427020072937,0.21065963804721832,0.40561532974243164
10.1,0.16788022220134735,0.28916284441947937,0.37290918827056885,-0.004173313267529011,0.3604128360748291,0.37290918827056885,0.03391397371888161,0.004169468302279711,0.4003712832927704,0.12451653927564621,-0.0018049016362056136
m,0.23871465027332306,0.19339345395565033,0.15156042575836182,0.26573121547698975,0.14254631102085114,0.15156042575836182,0.13424517214298248,0.2072003185749054,0.12893682718276978,0.40945446491241455,0.2618667185306549
),0.26259949803352356,0.3267642855644226,0.3456730246543884,0.22628384828567505,0.3680361211299896,0.3456730246543884,0.18594779074192047,0.20857036113739014,0.3326910734176636,0.23115503787994385,0.42300865054130554
in,0.30808621644973755,0.45514053106307983,0.6662389636039734,0.106893390417099,0.5696388483047485,0.6662389636039734,0.16002382338047028,0.15216681361198425,1.0,0.18039943277835846,0.20430970191955566
diameter,0.18005183339118958,0.17759911715984344,0.16862457990646362,1.0,0.16086798906326294,0.16862457990646362,0.3702395260334015,0.08487018197774887,0.106893390417099,0.41197434067726135,0.16941580176353455
and,0.31309178471565247,0.3740963041782379,0.5171257257461548,0.1786619871854782,0.5116966962814331,0.5171257257461548,0.18160289525985718,0.19040757417678833,0.4954058527946472,0.2656141221523285,0.20544172823429108
stood,0.2212754786014557,0.39698195457458496,0.33816975355148315,0.23033608496189117,0.2673929035663605,0.33816975355148315,0.14133889973163605,0.12195156514644623,0.20745345950126648,0.31504884362220764,0.12488352507352829
363,-0.11263309419155121,-0.3419904112815857,-0.43179967999458313,-0.3265970051288605,-0.4552713930606842,-0.43179967999458313,-0.1908150166273117,-0.24852892756462097,-0.4097781777381897,-0.3049522638320923,-0.06602831184864044
feet,0.18749791383743286,0.16205810010433197,0.24407297372817993,0.41197434067726135,0.15753290057182312,0.24407297372817993,0.11814583837985992,0.13841462135314941,0.18039943277835846,0.9999999403953552,0.14855161309242249
(,0.2411840260028839,0.2980341613292694,0.33289089798927307,0.19697368144989014,0.35032153129577637,0.33289089798927307,0.16996361315250397,0.2043849378824234,0.3087427020072937,0.21065963804721832,0.40561532974243164
110.6,0.013554590754210949,0.13248911499977112,0.1406402736902237,-0.056879375129938126,0.1508692502975464,0.1406402736902237,-0.047191519290208817,-0.06127849966287613,0.21046413481235504,0.0510982945561409,-0.09738031774759293
m,0.23871465027332306,0.19339345395565033,0.15156042575836182,0.26573121547698975,0.14254631102085114,0.15156042575836182,0.13424517214298248,0.2072003185749054,0.12893682718276978,0.40945446491241455,0.2618667185306549
),0.26259949803352356,0.3267642855644226,0.3456730246543884,0.22628384828567505,0.3680361211299896,0.3456730246543884,0.18594779074192047,0.20857036113739014,0.3326910734176636,0.23115503787994385,0.42300865054130554
tall,0.18232308328151703,0.19623446464538574,0.1970994472503662,0.4088957607746124,0.19572877883911133,0.1970994472503662,0.1436564177274704,0.085772305727005,0.20393341779708862,0.5966626405715942,0.16138394176959991
