,which,series,were,featured,on,the,first,doctor,who,soundtrack,?
the,0.6521818041801453,0.31376904249191284,0.3906462490558624,0.28660184144973755,0.5107308030128479,1.0,0.49448907375335693,0.2820442318916321,0.3733934462070465,0.2600078582763672,0.22068053483963013
first,0.3828166127204895,0.3264976441860199,0.3285558819770813,0.2963907718658447,0.3120559751987457,0.49448907375335693,1.0,0.27244147658348083,0.39065709710121155,0.25917574763298035,0.18701928853988647
featured,0.30209124088287354,0.3595673739910126,0.26517489552497864,0.9999999403953552,0.38461124897003174,0.28660184144973755,0.2963907718658447,0.16105584800243378,0.25015440583229065,0.5188519358634949,0.2944096624851227
tracks,0.24653342366218567,0.2103215754032135,0.2539118230342865,0.3780311048030853,0.23041629791259766,0.20449745655059814,0.21163219213485718,0.11917570233345032,0.15167440474033356,0.3878081440925598,0.11127933114767075
from,0.38755592703819275,0.20279763638973236,0.29991888999938965,0.2378813475370407,0.36926645040512085,0.40150508284568787,0.23348960280418396,0.15658842027187347,0.27839982509613037,0.1947099268436432,0.19969791173934937
the,0.6521818041801453,0.31376904249191284,0.3906462490558624,0.28660184144973755,0.5107308030128479,1.0,0.49448907375335693,0.2820442318916321,0.3733934462070465,0.2600078582763672,0.22068053483963013
first,0.3828166127204895,0.3264976441860199,0.3285558819770813,0.2963907718658447,0.3120559751987457,0.49448907375335693,1.0,0.27244147658348083,0.39065709710121155,0.25917574763298035,0.18701928853988647
two,0.4674137234687805,0.27629992365837097,0.4493520259857178,0.27362558245658875,0.3205535411834717,0.43858039379119873,0.3794230818748474,0.12698069214820862,0.2791741192340851,0.13169358670711517,0.19645625352859497
series,0.2484029233455658,1.0000001192092896,0.264431357383728,0.3595673739910126,0.23828625679016113,0.31376904249191284,0.3264976441860199,0.2712797522544861,0.21484537422657013,0.34699445962905884,0.1709602326154709
",",0.3658004403114319,0.24060699343681335,0.36755475401878357,0.27189624309539795,0.49057599902153015,0.4933079481124878,0.34503069519996643,0.20407600700855255,0.3365725874900818,0.19718436896800995,0.31091248989105225
the,0.6521818041801453,0.31376904249191284,0.3906462490558624,0.28660184144973755,0.5107308030128479,1.0,0.49448907375335693,0.2820442318916321,0.3733934462070465,0.2600078582763672,0.22068053483963013
second,0.336174339056015,0.24665457010269165,0.17748267948627472,0.2238447070121765,0.26659107208251953,0.4620301127433777,0.6953977942466736,0.20181342959403992,0.21920166909694672,0.18379932641983032,0.17239587008953094
and,0.506277859210968,0.26972857117652893,0.42175528407096863,0.26700839400291443,0.4077630043029785,0.5171257257461548,0.3167642652988434,0.21673844754695892,0.41279885172843933,0.1989576518535614,0.20544172823429108
third,0.29048746824264526,0.22608651220798492,0.17625688016414642,0.22225727140903473,0.24143609404563904,0.4229298532009125,0.6071826219558716,0.19177944958209991,0.20739443600177765,0.18225200474262238,0.15394791960716248
featured,0.30209124088287354,0.3595673739910126,0.26517489552497864,0.9999999403953552,0.38461124897003174,0.28660184144973755,0.2963907718658447,0.16105584800243378,0.25015440583229065,0.5188519358634949,0.2944096624851227
music,0.27402597665786743,0.215604767203331,0.1990155726671219,0.26078858971595764,0.2173950970172882,0.2714049816131592,0.22269050776958466,0.19428947567939758,0.20470726490020752,0.4626098871231079,0.18264494836330414
from,0.38755592703819275,0.20279763638973236,0.29991888999938965,0.2378813475370407,0.36926645040512085,0.40150508284568787,0.23348960280418396,0.15658842027187347,0.27839982509613037,0.1947099268436432,0.19969791173934937
the,0.6521818041801453,0.31376904249191284,0.3906462490558624,0.28660184144973755,0.5107308030128479,1.0,0.49448907375335693,0.2820442318916321,0.3733934462070465,0.2600078582763672,0.22068053483963013
third,0.29048746824264526,0.22608651220798492,0.17625688016414642,0.22225727140903473,0.24143609404563904,0.4229298532009125,0.6071826219558716,0.19177944958209991,0.20739443600177765,0.18225200474262238,0.15394791960716248
and,0.506277859210968,0.26972857117652893,0.42175528407096863,0.26700839400291443,0.4077630043029785,0.5171257257461548,0.3167642652988434,0.21673844754695892,0.41279885172843933,0.1989576518535614,0.20544172823429108
fourth,0.2565274238586426,0.2721402645111084,0.19597062468528748,0.25321632623672485,0.2738758623600006,0.40804702043533325,0.5567235350608826,0.21519136428833008,0.16443325579166412,0.18819859623908997,0.13791213929653168
series,0.2484029233455658,1.0000001192092896,0.264431357383728,0.3595673739910126,0.23828625679016113,0.31376904249191284,0.3264976441860199,0.2712797522544861,0.21484537422657013,0.34699445962905884,0.1709602326154709
respectively,0.28874409198760986,0.17709417641162872,0.31166696548461914,0.24503834545612335,0.2537144720554352,0.3498423993587494,0.31398189067840576,0.09327070415019989,0.22078678011894226,0.18156899511814117,0.1307799071073532
.,0.45942068099975586,0.3121925890445709,0.3378238379955292,0.27540460228919983,0.49257001280784607,0.5934505462646484,0.4345304071903229,0.22361043095588684,0.3541337847709656,0.21142935752868652,0.4130953550338745
