,who,led,the,committee,established,by,seaman,?
seamans,0.29676353931427,0.1568135768175125,0.29178768396377563,0.13263414800167084,0.06521701067686081,0.1846989542245865,0.8644747734069824,0.15091076493263245
',0.22534559667110443,0.1525333672761917,0.474788099527359,0.19803671538829803,0.26741066575050354,0.2610379159450531,0.190947487950325,0.330942302942276
establishment,0.16982267796993256,0.26584672927856445,0.344906210899353,0.2688809633255005,0.6873134970664978,0.18964755535125732,0.0791943371295929,0.1661023646593094
of,0.2827862501144409,0.32918456196784973,0.733189046382904,0.2920650243759155,0.2735237777233124,0.3646814823150635,0.19348077476024628,0.1826142966747284
an,0.2848317325115204,0.16785816848278046,0.4207492768764496,0.16761980950832367,0.1547301560640335,0.2719563841819763,0.24050086736679077,0.19793890416622162
ad-hoc,0.16086015105247498,0.09942033141851425,0.2405291199684143,0.26531222462654114,0.06411389261484146,0.17080140113830566,0.11184839904308319,0.2784298360347748
committee,0.2034623622894287,0.19985853135585785,0.24322165548801422,1.0,0.2293817102909088,0.18816545605659485,0.16862988471984863,0.12144632637500763
headed,0.23283647000789642,0.3267211616039276,0.256571888923645,0.20929211378097534,0.2622109055519104,0.25338810682296753,0.08463076502084732,0.1387181431055069
by,0.39727845788002014,0.30694612860679626,0.4408751428127289,0.18816545605659485,0.21138796210289001,1.0000001192092896,0.14408929646015167,0.17966607213020325
his,0.44966956973075867,0.30691808462142944,0.4394008219242096,0.1817333698272705,0.18046686053276062,0.3107621967792511,0.2614203691482544,0.18075084686279297
special,0.21519862115383148,0.14570990204811096,0.3027077615261078,0.20615798234939575,0.1105196550488472,0.2578898072242737,0.18686968088150024,0.29623302817344666
technical,0.15799535810947418,0.15646110475063324,0.21600495278835297,0.24573738873004913,0.13122092187404633,0.1823938935995102,0.22264894843101501,0.1962660700082779
assistant,0.30212080478668213,0.22896084189414978,0.14871449768543243,0.23697127401828766,0.15250827372074127,0.17069260776042938,0.23708593845367432,0.08149340003728867
nicholas,0.299662709236145,0.14800360798835754,0.1640765219926834,0.11812631040811539,0.12516173720359802,0.2331184446811676,0.22174783051013947,0.17208030819892883
e.,-0.02677040547132492,-0.0795329287648201,0.04129594564437866,-0.03665868192911148,0.054696645587682724,0.03714229539036751,-0.012399236671626568,0.04848470166325569
golovin,0.2779919505119324,0.10082594305276871,0.266879141330719,0.17580728232860565,0.07883203774690628,0.20845849812030792,0.1593734174966812,0.27774158120155334
in,0.2792111933231354,0.2990247309207916,0.6662389636039734,0.2107008546590805,0.3118882477283478,0.370934396982193,0.2014540284872055,0.20430970191955566
july,0.2606464624404907,0.18186330795288086,0.2371699959039688,0.18255048990249634,0.17987826466560364,0.16927224397659302,0.19492265582084656,0.2897891402244568
1961,-0.016341788694262505,0.18248948454856873,0.0738944262266159,0.051973067224025726,0.04895463213324547,0.09517981112003326,-0.15582787990570068,0.009729373268783092
",",0.3365725874900818,0.22548827528953552,0.4933079481124878,0.20982497930526733,0.22739723324775696,0.3680937886238098,0.23666124045848846,0.31091248989105225
to,0.42656609416007996,0.21815308928489685,0.535392165184021,0.24979650974273682,0.15850777924060822,0.33534231781959534,0.16338634490966797,0.29463258385658264
recommend,0.2643473446369171,0.15517713129520416,0.2400718331336975,0.2642325758934021,0.19996961951255798,0.21968042850494385,0.17996430397033691,0.3685612082481384
a,0.36608949303627014,0.19072435796260834,0.5829201340675354,0.1903151571750641,0.23500119149684906,0.32094135880470276,0.1993575543165207,0.23916715383529663
launch,0.09666242450475693,0.21709325909614563,0.2628649175167084,0.14637216925621033,0.21322891116142273,0.1562509536743164,0.15800192952156067,0.22009649872779846
vehicle,0.17691867053508759,0.13237027823925018,0.20434843003749847,0.18042780458927155,0.11356053501367569,0.18302859365940094,0.2870524525642395,0.16397647559642792
to,0.42656609416007996,0.21815308928489685,0.535392165184021,0.24979650974273682,0.15850777924060822,0.33534231781959534,0.16338634490966797,0.29463258385658264
be,0.3371641933917999,0.12408394366502762,0.4248143136501312,0.17965561151504517,0.11399583518505096,0.43158695101737976,0.16840049624443054,0.3324260413646698
used,0.20756356418132782,0.19746845960617065,0.3718377649784088,0.17781762778759003,0.18702277541160583,0.27705541253089905,0.16048352420330048,0.22430120408535004
in,0.2792111933231354,0.2990247309207916,0.6662389636039734,0.2107008546590805,0.3118882477283478,0.370934396982193,0.2014540284872055,0.20430970191955566
the,0.3733934462070465,0.3267505168914795,1.0,0.24322165548801422,0.33092597126960754,0.4408751428127289,0.24083149433135986,0.22068053483963013
apollo,0.19149452447891235,0.178904727101326,0.2169172167778015,0.07521950453519821,0.08824821561574936,0.1803566962480545,0.1766129583120346,0.191528782248497
program,0.2097788155078888,0.16123229265213013,0.22986935079097748,0.21612441539764404,0.16274482011795044,0.19954828917980194,0.20084376633167267,0.1440187245607376
",",0.3365725874900818,0.22548827528953552,0.4933079481124878,0.20982497930526733,0.22739723324775696,0.3680937886238098,0.23666124045848846,0.31091248989105225
represented,0.17065028846263885,0.24570898711681366,0.3256146013736725,0.23432333767414093,0.19436773657798767,0.23673410713672638,0.169035404920578,0.11276352405548096
a,0.36608949303627014,0.19072435796260834,0.5829201340675354,0.1903151571750641,0.23500119149684906,0.32094135880470276,0.1993575543165207,0.23916715383529663
turning,0.1883036494255066,0.21578645706176758,0.3650859296321869,0.0640723779797554,0.09532704949378967,0.23226891458034515,0.1107727661728859,0.1670563519001007
point,0.15094248950481415,0.14153847098350525,0.3084787130355835,0.12767770886421204,0.16421166062355042,0.16723552346229553,0.1626465767621994,0.19189560413360596
in,0.2792111933231354,0.2990247309207916,0.6662389636039734,0.2107008546590805,0.3118882477283478,0.370934396982193,0.2014540284872055,0.20430970191955566
nasa,0.1536933034658432,0.1482798308134079,0.19786997139453888,0.19271156191825867,0.09566091001033783,0.19248856604099274,0.19854483008384705,0.1809994876384735
