,which,television,network,aired,the,super,bowl,?
in,0.4840516746044159,0.2689782977104187,0.19496823847293854,0.21521411836147308,0.6662389636039734,0.18576006591320038,0.17236235737800598,0.20430970191955566
the,0.6521818041801453,0.24569597840309143,0.27187061309814453,0.2525516450405121,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
united,0.2821946144104004,0.23613357543945312,0.1803126037120819,0.24073617160320282,0.34367692470550537,0.19838912785053253,0.20208074152469635,0.17266890406608582
states,0.27476921677589417,0.22540400922298431,0.18116310238838196,0.2158312350511551,0.3463578522205353,0.16831240057945251,0.1989538073539734,0.16272737085819244
",",0.3658004403114319,0.27995240688323975,0.1932937651872635,0.2195960283279419,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.31091248989105225
the,0.6521818041801453,0.24569597840309143,0.27187061309814453,0.2525516450405121,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
game,0.23652023077011108,0.3236095905303955,0.2793661653995514,0.3074551820755005,0.285271555185318,0.3480181396007538,0.2413962334394455,0.1829071193933487
was,0.2830964922904968,0.2516675293445587,0.1994880586862564,0.27861282229423523,0.48711544275283813,0.21420986950397491,0.21915455162525177,0.18412111699581146
televised,0.2598966658115387,0.7145999670028687,0.404205858707428,0.54571533203125,0.32855433225631714,0.20656390488147736,0.21069155633449554,0.12888526916503906
by,0.40543368458747864,0.23368048667907715,0.214903324842453,0.23136848211288452,0.4408751428127289,0.15233319997787476,0.12992306053638458,0.17966607213020325
cbs,0.18413257598876953,0.5213743448257446,0.4702880382537842,0.48803529143333435,0.2283918708562851,0.23111854493618011,0.2528696060180664,0.14594407379627228
",",0.3658004403114319,0.27995240688323975,0.1932937651872635,0.2195960283279419,0.4933079481124878,0.22322475910186768,0.1810409277677536,0.31091248989105225
as,0.41006597876548767,0.25070273876190186,0.2054080367088318,0.17256414890289307,0.48381632566452026,0.21450649201869965,0.14539222419261932,0.27043893933296204
part,0.4460882246494293,0.1663149893283844,0.20589607954025269,0.218070387840271,0.527681291103363,0.14509333670139313,0.15861135721206665,0.08557961881160736
of,0.5011631846427917,0.21995750069618225,0.21800683438777924,0.15519371628761292,0.733189046382904,0.14718765020370483,0.2243070751428604,0.1826142966747284
a,0.56894451379776,0.22552843391895294,0.17299489676952362,0.1767585724592209,0.5829201340675354,0.26005712151527405,0.19533146917819977,0.23916715383529663
cycle,0.3195553123950958,0.16481110453605652,0.17633658647537231,0.16516722738742828,0.2701641917228699,0.08068617433309555,0.08278321474790573,0.07156776636838913
between,0.395174115896225,0.14901204407215118,0.2824346423149109,0.23919259011745453,0.39067012071609497,0.07381514459848404,0.10010302066802979,0.12887074053287506
the,0.6521818041801453,0.24569597840309143,0.27187061309814453,0.2525516450405121,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
three,0.40919098258018494,0.2175305187702179,0.16434773802757263,0.17604348063468933,0.43452659249305725,0.14228717982769012,0.18332304060459137,0.20928427577018738
main,0.37042954564094543,0.1630113422870636,0.1812800019979477,0.1593828797340393,0.38631999492645264,0.14307591319084167,0.13414473831653595,0.1665669083595276
broadcast,0.26385819911956787,0.6160560846328735,0.5386998653411865,0.5757981538772583,0.2713715434074402,0.1449931412935257,0.18237876892089844,0.15760008990764618
television,0.21160198748111725,1.0000001192092896,0.4371747076511383,0.5683969855308533,0.24569597840309143,0.1881602704524994,0.1757185459136963,0.16825827956199646
partners,0.14463935792446136,0.20087167620658875,0.23604826629161835,0.14964725077152252,0.13242726027965546,0.0820658728480339,0.07424474507570267,0.10955255478620529
of,0.5011631846427917,0.21995750069618225,0.21800683438777924,0.15519371628761292,0.733189046382904,0.14718765020370483,0.2243070751428604,0.1826142966747284
the,0.6521818041801453,0.24569597840309143,0.27187061309814453,0.2525516450405121,1.0,0.21959073841571808,0.21576224267482758,0.22068053483963013
nfl,0.1353975087404251,0.2618465721607208,0.31300151348114014,0.24459241330623627,0.15305201709270477,0.319060355424881,0.48354101181030273,0.10610254108905792
.,0.45942068099975586,0.2806251645088196,0.23909442126750946,0.2278250902891159,0.5934505462646484,0.2757420241832733,0.21516893804073334,0.4130953550338745
