,besides,the,study,of,prime,numbers,",",what,general,theory,was,considered,the,official,example,of,pure,mathematics,?
for,0.3905259370803833,0.4739971458911896,0.18700449168682098,0.4185989499092102,0.17833133041858673,0.2885598838329315,0.4464869201183319,0.3017193675041199,0.23497237265110016,0.20500218868255615,0.3863949179649353,0.3214476406574249,0.4739971458911896,0.2504976987838745,0.45665353536605835,0.4185989499092102,0.28783664107322693,0.2045057862997055,0.264628142118454
a,0.26277080178260803,0.5829201340675354,0.2268155962228775,0.5052502155303955,0.17998681962490082,0.24434582889080048,0.427140474319458,0.3320399522781372,0.2157215178012848,0.2233850657939911,0.4508470594882965,0.36109375953674316,0.5829201340675354,0.19875815510749817,0.40234753489494324,0.5052502155303955,0.2732713520526886,0.2234155833721161,0.23916715383529663
long,0.2287003993988037,0.3075225353240967,0.16730940341949463,0.2567519545555115,0.0786014199256897,0.14925555884838104,0.3431144952774048,0.28276848793029785,0.16063736379146576,0.11566971242427826,0.1968146562576294,0.194121316075325,0.3075225353240967,0.1014215350151062,0.2734566330909729,0.2567519545555115,0.12045583128929138,0.10311814397573471,0.19699987769126892
time,0.2733122408390045,0.43061500787734985,0.18666692078113556,0.35127586126327515,0.15766194462776184,0.22379173338413239,0.3029961884021759,0.36319252848625183,0.2027285099029541,0.22444109618663788,0.3641340136528015,0.2660984396934509,0.43061500787734985,0.18294629454612732,0.31812599301338196,0.35127586126327515,0.22623981535434723,0.2009515017271042,0.27391523122787476
",",0.340058833360672,0.4933079481124878,0.26425549387931824,0.4946078956127167,0.2565026581287384,0.26479464769363403,1.0000001192092896,0.3087472915649414,0.3022127151489258,0.18095813691616058,0.45456063747406006,0.32932984828948975,0.4933079481124878,0.2088543325662613,0.3094974756240845,0.4946078956127167,0.2349223643541336,0.24772751331329346,0.31091248989105225
number,0.24924492835998535,0.35145696997642517,0.19786886870861053,0.2778518795967102,0.2556258738040924,0.7132124304771423,0.2535701394081116,0.23046229779720306,0.15013115108013153,0.24102473258972168,0.1855042725801468,0.2176661193370819,0.35145696997642517,0.1219194084405899,0.3581446707248688,0.2778518795967102,0.16588862240314484,0.28893232345581055,0.19256845116615295
theory,0.21004968881607056,0.2277156263589859,0.44104549288749695,0.23506702482700348,0.15658484399318695,0.21611954271793365,0.18095813691616058,0.297923743724823,0.23614253103733063,0.9999999403953552,0.18278326094150543,0.18576759099960327,0.2277156263589859,0.12614397704601288,0.2446725219488144,0.23506702482700348,0.23979900777339935,0.5324837565422058,0.1387292891740799
in,0.3447916507720947,0.6662389636039734,0.2875489294528961,0.5696388483047485,0.18097394704818726,0.23087690770626068,0.5201468467712402,0.30808621644973755,0.259066641330719,0.16955126821994781,0.45514053106307983,0.28591203689575195,0.6662389636039734,0.25180214643478394,0.30483278632164,0.5696388483047485,0.18685252964496613,0.2075900435447693,0.20430970191955566
general,0.17867042124271393,0.28634732961654663,0.1688927263021469,0.28352999687194824,0.3252279460430145,0.2060379683971405,0.3022127151489258,0.24928055703639984,1.0000001192092896,0.23614253103733063,0.2445744127035141,0.11420184373855591,0.28634732961654663,0.17032769322395325,0.23668405413627625,0.28352999687194824,0.06573713570833206,0.2193361073732376,0.1972234547138214
",",0.340058833360672,0.4933079481124878,0.26425549387931824,0.4946078956127167,0.2565026581287384,0.26479464769363403,1.0000001192092896,0.3087472915649414,0.3022127151489258,0.18095813691616058,0.45456063747406006,0.32932984828948975,0.4933079481124878,0.2088543325662613,0.3094974756240845,0.4946078956127167,0.2349223643541336,0.24772751331329346,0.31091248989105225
