,survival,needs,such,as,income,for,food,and,shelter,motivates,what,type,of,entrepreneurship,?
however,0.2920016348361969,0.35490065813064575,0.40233248472213745,0.4668710231781006,0.2832024395465851,0.44511833786964417,0.27271872758865356,0.498121976852417,0.2428683042526245,0.37592411041259766,0.4480680823326111,0.23281864821910858,0.3800618350505829,0.22984151542186737,0.2152075469493866
",",0.21006706357002258,0.2390357255935669,0.39626169204711914,0.48816442489624023,0.19703416526317596,0.4464869201183319,0.2870374023914337,0.6633074283599854,0.2408304214477539,0.2650986313819885,0.3087472915649414,0.1804078221321106,0.4946078956127167,0.281644344329834,0.31091248989105225
most,0.2282032072544098,0.2185729295015335,0.38148126006126404,0.3548237979412079,0.22118313610553741,0.3906237483024597,0.22719769179821014,0.4309377074241638,0.18687810003757477,0.22775189578533173,0.3219912350177765,0.24228660762310028,0.4178851246833801,0.22507989406585693,0.2107497900724411
of,0.25278621912002563,0.17594867944717407,0.3209529519081116,0.3886612355709076,0.2581324577331543,0.4185989499092102,0.2602803111076355,0.5116966962814331,0.1947731077671051,0.19624881446361542,0.33290785551071167,0.18112817406654358,1.0,0.21051692962646484,0.1826142966747284
it,0.17794513702392578,0.2979326546192169,0.28879642486572266,0.4461488723754883,0.17110911011695862,0.32171204686164856,0.2451106756925583,0.40957894921302795,0.197042316198349,0.20159080624580383,0.45803478360176086,0.22145579755306244,0.38761502504348755,0.2312212735414505,0.25732165575027466
is,0.2486993968486786,0.36612293124198914,0.23545363545417786,0.43216490745544434,0.14559021592140198,0.43268078565597534,0.20563258230686188,0.3859752118587494,0.1782059222459793,0.1861378699541092,0.28837618231773376,0.3053323030471802,0.4854315221309662,0.18708662688732147,0.22961433231830597
often,0.2743875980377197,0.2978108525276184,0.4611203372478485,0.405699223279953,0.2028384655714035,0.37495917081832886,0.2966936528682709,0.42465832829475403,0.2867305874824524,0.26843565702438354,0.3849453330039978,0.29205119609832764,0.3351972997188568,0.1581249237060547,0.23748154938220978
based,0.21211256086826324,0.18240965902805328,0.29245617985725403,0.2264380156993866,0.2020360678434372,0.2761107087135315,0.14525313675403595,0.2660958170890808,0.06962105631828308,0.16564561426639557,0.274813175201416,0.19222953915596008,0.3033197224140167,0.1437198966741562,0.134929820895195
on,0.22201324999332428,0.22299721837043762,0.3181164264678955,0.36047765612602234,0.12938405573368073,0.36199691891670227,0.18752937018871307,0.4077630043029785,0.2178477644920349,0.1602599173784256,0.34226128458976746,0.2118636518716812,0.3966929316520691,0.19307640194892883,0.2714994251728058
necessity,0.3068348467350006,0.3525699973106384,0.33636975288391113,0.277192622423172,0.2921525239944458,0.31165000796318054,0.2609519958496094,0.2438020408153534,0.20075035095214844,0.29004696011543274,0.3584839403629303,0.20525021851062775,0.29507577419281006,0.20477144420146942,0.20659345388412476
rather,0.21858349442481995,0.3623944818973541,0.38312989473342896,0.38414403796195984,0.20427916944026947,0.3629494905471802,0.23632508516311646,0.34474092721939087,0.22958506643772125,0.351779043674469,0.3923804461956024,0.2488519549369812,0.3045461177825928,0.20667685568332672,0.3053998053073883
than,0.19540485739707947,0.3216564655303955,0.4386829137802124,0.40532299876213074,0.22589486837387085,0.30793827772140503,0.21420720219612122,0.39361441135406494,0.23184742033481598,0.22778068482875824,0.29388150572776794,0.21065692603588104,0.33036211133003235,0.14598391950130463,0.24917294085025787
opportunity,0.2802678048610687,0.22045746445655823,0.2024737000465393,0.195546954870224,0.23919743299484253,0.30034998059272766,0.258356511592865,0.24587087333202362,0.33052295446395874,0.3505591154098511,0.2871367037296295,0.09335581213235855,0.2255665808916092,0.311727374792099,0.19524551928043365
.,0.22411233186721802,0.23357591032981873,0.3298943042755127,0.515582263469696,0.26448529958724976,0.4726039469242096,0.27541688084602356,0.588965117931366,0.18193921446800232,0.25595200061798096,0.3567904531955719,0.23195341229438782,0.5352458953857422,0.24007877707481384,0.4130953550338745
