,what,helps,the,process,of,free,movement,of,goods,?
free,0.22754132747650146,0.2656884789466858,0.22231732308864594,0.1616269201040268,0.2430545836687088,1.0,0.17103612422943115,0.2430545836687088,0.21483129262924194,0.1278279572725296
movement,0.23934946954250336,0.27591070532798767,0.339571475982666,0.2334122657775879,0.2662941515445709,0.17103612422943115,1.0,0.2662941515445709,0.18493682146072388,0.1423349231481552
of,0.33290785551071167,0.22412827610969543,0.733189046382904,0.23962904512882233,1.0,0.2430545836687088,0.2662941515445709,1.0,0.18927626311779022,0.1826142966747284
goods,0.20192822813987732,0.16208194196224213,0.2343561202287674,0.2838636636734009,0.18927626311779022,0.21483129262924194,0.18493682146072388,0.18927626311779022,1.0,0.12034571915864944
within,0.2498195916414261,0.17411382496356964,0.39827480912208557,0.23981508612632751,0.39594778418540955,0.2486710399389267,0.20748914778232574,0.39594778418540955,0.1902463734149933,0.1870293766260147
the,0.42745697498321533,0.28157877922058105,1.0,0.264274537563324,0.733189046382904,0.22231732308864594,0.339571475982666,0.733189046382904,0.2343561202287674,0.22068053483963013
european,0.15324164927005768,0.13338319957256317,0.3423081040382385,0.17462414503097534,0.2507138252258301,0.12509097158908844,0.20052438974380493,0.2507138252258301,0.23956048488616943,0.14560863375663757
union,0.1396910548210144,0.10993558168411255,0.24421639740467072,0.13329672813415527,0.2642118036746979,0.24928396940231323,0.2541976869106293,0.2642118036746979,0.21028751134872437,0.07797172665596008
is,0.28837618231773376,0.27021104097366333,0.5823672413825989,0.21762968599796295,0.4854315221309662,0.2297741025686264,0.20353496074676514,0.4854315221309662,0.20845846831798553,0.22961433231830597
achieved,0.1794850081205368,0.10974583774805069,0.2821090817451477,0.2889694273471832,0.2701522707939148,0.08791054040193558,0.2481144517660141,0.2701522707939148,0.14822430908679962,0.17008265852928162
by,0.2455483376979828,0.1410844922065735,0.4408751428127289,0.2115318775177002,0.3646814823150635,0.19287452101707458,0.20122553408145905,0.3646814823150635,0.1922420859336853,0.17966607213020325
a,0.3320399522781372,0.26026079058647156,0.5829201340675354,0.2601566016674042,0.5052502155303955,0.23877057433128357,0.23380696773529053,0.5052502155303955,0.22076524794101715,0.23916715383529663
customs,0.2684868574142456,0.13350921869277954,0.2428995668888092,0.11539319157600403,0.27883780002593994,0.14173902571201324,0.14941878616809845,0.27883780002593994,0.4079303741455078,0.19795118272304535
union,0.1396910548210144,0.10993558168411255,0.24421639740467072,0.13329672813415527,0.2642118036746979,0.24928396940231323,0.2541976869106293,0.2642118036746979,0.21028751134872437,0.07797172665596008
",",0.3087472915649414,0.2342686951160431,0.4933079481124878,0.2061346471309662,0.4946078956127167,0.2434854805469513,0.1862073689699173,0.4946078956127167,0.21030361950397491,0.31091248989105225
and,0.31309178471565247,0.32972991466522217,0.5171257257461548,0.20204883813858032,0.5116966962814331,0.29029855132102966,0.2837696671485901,0.5116966962814331,0.2947494387626648,0.20544172823429108
the,0.42745697498321533,0.28157877922058105,1.0,0.264274537563324,0.733189046382904,0.22231732308864594,0.339571475982666,0.733189046382904,0.2343561202287674,0.22068053483963013
principle,0.3569014072418213,0.23557807505130768,0.24017377197742462,0.3609940707683563,0.2430231273174286,0.15253283083438873,0.3619932234287262,0.2430231273174286,0.1844465732574463,0.2002675086259842
of,0.33290785551071167,0.22412827610969543,0.733189046382904,0.23962904512882233,1.0,0.2430545836687088,0.2662941515445709,1.0,0.18927626311779022,0.1826142966747284
non-discrimination,0.2865746319293976,0.19290360808372498,0.23895104229450226,0.29826071858406067,0.23988230526447296,0.21246151626110077,0.3536328971385956,0.23988230526447296,0.30272045731544495,0.26149481534957886
.,0.3567904531955719,0.24475505948066711,0.5934505462646484,0.23766504228115082,0.5352458953857422,0.238864928483963,0.22796523571014404,0.5352458953857422,0.17814435064792633,0.4130953550338745
