,what,does,the,secretariat,wing,house,?
on,0.34226128458976746,0.2568802833557129,0.5107308030128479,0.22162488102912903,0.199074849486351,0.19286204874515533,0.2714994251728058
the,0.42745697498321533,0.35928019881248474,1.0,0.29265260696411133,0.28874075412750244,0.2847244441509247,0.22068053483963013
very,0.37053924798965454,0.3347555100917816,0.34171217679977417,0.1369730681180954,0.162390798330307,0.17990727722644806,0.20864155888557434
northern,0.19332477450370789,0.11593209207057953,0.3422943353652954,0.2279311865568161,0.15474651753902435,0.21671676635742188,0.13149388134479523
edge,0.2064312994480133,0.167372927069664,0.3453350365161896,0.1387389898300171,0.25387251377105713,0.15522176027297974,0.06842754781246185
of,0.33290785551071167,0.3119818866252899,0.733189046382904,0.2976089119911194,0.19099068641662598,0.285114049911499,0.1826142966747284
the,0.42745697498321533,0.35928019881248474,1.0,0.29265260696411133,0.28874075412750244,0.2847244441509247,0.22068053483963013
site,0.21561308205127716,0.09297509491443634,0.288954496383667,0.16839492321014404,0.11946671456098557,0.19717395305633545,0.2014765441417694
is,0.28837618231773376,0.4403602182865143,0.5823672413825989,0.21627375483512878,0.1570284515619278,0.2084006369113922,0.22961433231830597
situated,0.21471437811851501,0.1511920541524887,0.3139766454696655,0.29434746503829956,0.18640992045402527,0.2153150588274002,0.039639271795749664
the,0.42745697498321533,0.35928019881248474,1.0,0.29265260696411133,0.28874075412750244,0.2847244441509247,0.22068053483963013
secretariat,0.1463027000427246,0.19053129851818085,0.29265260696411133,1.0,0.2360508143901825,0.2792871296405792,0.11597823351621628
wing,0.14464668929576874,0.1478269398212433,0.28874075412750244,0.2360508143901825,1.0,0.19190850853919983,0.10201311856508255
",",0.3087472915649414,0.28617382049560547,0.4933079481124878,0.21162110567092896,0.18741334974765778,0.28236111998558044,0.31091248989105225
also,0.42747777700424194,0.4118025600910187,0.6021018624305725,0.22302256524562836,0.226831316947937,0.21123580634593964,0.21848613023757935
built,0.1554843783378601,0.09012943506240845,0.2950156033039093,0.18153056502342224,0.1555146872997284,0.19757618010044098,0.09449632465839386
in,0.30808621644973755,0.214483380317688,0.6662389636039734,0.27743786573410034,0.19632737338542938,0.20026938617229462,0.20430970191955566
1862,0.069773368537426,-0.02303893491625786,0.043515436351299286,0.1514107584953308,0.08030687272548676,0.013012806884944439,0.06664664298295975
this,0.5489566326141357,0.4166489243507385,0.6274310946464539,0.19306901097297668,0.2078077793121338,0.1562400460243225,0.3155723512172699
houses,0.1434021294116974,0.1817551702260971,0.2692612111568451,0.22038263082504272,0.16127872467041016,0.637040376663208,0.10120081901550293
the,0.42745697498321533,0.35928019881248474,1.0,0.29265260696411133,0.28874075412750244,0.2847244441509247,0.22068053483963013
offices,0.1431061029434204,0.17066261172294617,0.2803647518157959,0.4148210883140564,0.22755159437656403,0.32040005922317505,0.10076487064361572
and,0.31309178471565247,0.3461615741252899,0.5171257257461548,0.22919902205467224,0.2740335762500763,0.2552875876426697,0.20544172823429108
board,0.15681391954421997,0.12828996777534485,0.2871673107147217,0.26349255442619324,0.2504091262817383,0.13084031641483307,0.1261475533246994
room,0.22132179141044617,0.23728899657726288,0.2031363844871521,0.1969740390777588,0.15907055139541626,0.4150768518447876,0.1769251674413681
etc,0.2803364396095276,0.272630900144577,0.25901228189468384,0.1705329269170761,0.07752513885498047,0.09649685770273209,0.38010111451148987
.,0.3567904531955719,0.3022993505001068,0.5934505462646484,0.25253239274024963,0.1937725841999054,0.2607949376106262,0.4130953550338745
