,who,issued,the,royal,proclamation,of,1763,?
following,0.1758657693862915,0.1643456220626831,0.39779382944107056,0.15359194576740265,0.24999508261680603,0.3576679527759552,0.1642099767923355,0.1555173695087433
the,0.3733934462070465,0.22837360203266144,1.0,0.2997032403945923,0.3199230134487152,0.733189046382904,0.08999345451593399,0.22068053483963013
treaty,0.1262437403202057,0.2013801485300064,0.2690109610557556,0.2107655256986618,0.4167756736278534,0.2602092921733856,0.1456281989812851,0.1174844279885292
",",0.3365725874900818,0.21577242016792297,0.4933079481124878,0.24590183794498444,0.30962246656417847,0.4946078956127167,0.10973798483610153,0.31091248989105225
king,0.24555552005767822,0.1499405801296234,0.25887003540992737,0.3860742747783661,0.27274465560913086,0.2938710153102875,0.0775013417005539,0.19130074977874756
george,0.25805044174194336,0.16373032331466675,0.2510760426521301,0.2521124482154846,0.2659553587436676,0.22097964584827423,-0.05199771746993065,0.1479024887084961
iii,0.1920083463191986,0.19807860255241394,0.18552400171756744,0.1664012223482132,0.22901877760887146,0.21691277623176575,0.08304347097873688,0.13642357289791107
issued,0.13050927221775055,0.9999999403953552,0.22837360203266144,0.2307099848985672,0.41606447100639343,0.2873246371746063,0.09053809195756912,0.169851616024971
the,0.3733934462070465,0.22837360203266144,1.0,0.2997032403945923,0.3199230134487152,0.733189046382904,0.08999345451593399,0.22068053483963013
royal,0.16729144752025604,0.2307099848985672,0.2997032403945923,0.9999999403953552,0.27630332112312317,0.3112924098968506,0.10489785671234131,0.11453001946210861
proclamation,0.2125280797481537,0.41606447100639343,0.3199230134487152,0.27630332112312317,0.9999998807907104,0.31100159883499146,0.06008606776595116,0.2521890103816986
of,0.2827862501144409,0.2873246371746063,0.733189046382904,0.3112924098968506,0.31100159883499146,1.0,0.15998519957065582,0.1826142966747284
1763,0.03786081820726395,0.09053809195756912,0.08999345451593399,0.10489785671234131,0.06008606776595116,0.15998519957065582,0.9999999403953552,0.1296161562204361
on,0.2340552806854248,0.2797412872314453,0.5107308030128479,0.17692488431930542,0.2100495547056198,0.3966929316520691,0.04609140008687973,0.2714994251728058
