,when,did,tesla,enroll,in,austrian,polytechnic,?
in,0.4431333839893341,0.2593238651752472,0.17097744345664978,0.23368561267852783,1.0,0.16418905556201935,0.30881479382514954,0.20430970191955566
1875,0.22372357547283173,0.15116965770721436,0.151961088180542,0.06545887887477875,0.11490650475025177,0.08096367865800858,0.07359111309051514,0.22339659929275513
",",0.36674630641937256,0.3015086054801941,0.20599327981472015,0.2468680739402771,0.5201468467712402,0.21496297419071198,0.25962182879447937,0.31091248989105225
tesla,0.1504557579755783,0.09757418930530548,0.9999999403953552,0.2087692767381668,0.17097744345664978,0.21734847128391266,0.2251133769750595,0.10250775516033173
enrolled,0.2424362450838089,0.23432742059230804,0.15411603450775146,0.846315324306488,0.27873459458351135,0.17987051606178284,0.46664267778396606,0.09043214470148087
at,0.38876327872276306,0.28390252590179443,0.16552478075027466,0.32266765832901,0.4374977946281433,0.18009893596172333,0.37801700830459595,0.21978627145290375
austrian,0.14232806861400604,0.1650308519601822,0.21734847128391266,0.15637090802192688,0.16418905556201935,1.0,0.17324846982955933,0.10452693700790405
polytechnic,0.18547560274600983,0.15189918875694275,0.2251133769750595,0.5162185430526733,0.30881479382514954,0.17324846982955933,0.9999999403953552,0.13763803243637085
in,0.4431333839893341,0.2593238651752472,0.17097744345664978,0.23368561267852783,1.0,0.16418905556201935,0.30881479382514954,0.20430970191955566
graz,0.17976036667823792,0.15470579266548157,0.27265462279319763,0.20714189112186432,0.25709354877471924,0.548565685749054,0.21738770604133606,0.19033589959144592
",",0.36674630641937256,0.3015086054801941,0.20599327981472015,0.2468680739402771,0.5201468467712402,0.21496297419071198,0.25962182879447937,0.31091248989105225
austria,0.1801789551973343,0.1684301197528839,0.2749306261539459,0.17273272573947906,0.24159443378448486,0.7623867988586426,0.16794998943805695,0.16068434715270996
",",0.36674630641937256,0.3015086054801941,0.20599327981472015,0.2468680739402771,0.5201468467712402,0.21496297419071198,0.25962182879447937,0.31091248989105225
on,0.37706470489501953,0.2670976221561432,0.16159376502037048,0.17768357694149017,0.46853652596473694,0.1467168629169464,0.15311919152736664,0.2714994251728058
a,0.44397395849227905,0.2552328109741211,0.2211925983428955,0.1912536919116974,0.539380669593811,0.15372397005558014,0.17925728857517242,0.23916715383529663
military,0.20479682087898254,0.17979979515075684,0.18128615617752075,0.23226407170295715,0.2402431070804596,0.14579319953918457,0.2924223840236664,0.1890317052602768
frontier,0.19568905234336853,0.20067201554775238,0.18761107325553894,0.08354136347770691,0.2864285707473755,0.20208875834941864,0.16424788534641266,0.13416144251823425
scholarship,0.2201998084783554,0.30774229764938354,0.20302057266235352,0.5134921669960022,0.19075782597064972,0.09868092089891434,0.4185898005962372,0.07760601490736008
.,0.475719153881073,0.35288307070732117,0.17949827015399933,0.22353823482990265,0.5591574311256409,0.20832042396068573,0.25855156779289246,0.4130953550338745
