,in,which,year,did,the,v,&,a,theatre,&,performance,galleries,open,?
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.34736719727516174,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.25594043731689453,0.14992168545722961,0.260756254196167,0.27603694796562195,0.2764171361923218,0.22068053483963013
v,0.15216681361198425,0.1653934270143509,0.12632298469543457,0.17618848383426666,0.18580520153045654,1.0,0.10860954970121384,0.21861357986927032,0.15862858295440674,0.10860954970121384,0.15144681930541992,0.17544934153556824,0.07413283735513687,0.28677162528038025
&,0.1358654648065567,0.16294614970684052,0.04340685158967972,0.160298690199852,0.14992168545722961,0.10860954970121384,0.9999998807907104,0.07266713678836823,0.10870680212974548,0.9999998807907104,0.10423384606838226,0.18190616369247437,0.0327712744474411,0.12596383690834045
a,0.539380669593811,0.56894451379776,0.29350247979164124,0.2552328109741211,0.5829201340675354,0.21861357986927032,0.07266713678836823,1.0,0.2103080451488495,0.07266713678836823,0.25398191809654236,0.16555815935134888,0.21603602170944214,0.23916715383529663
theatre,0.26776230335235596,0.17380180954933167,0.14061827957630157,0.17782776057720184,0.25594043731689453,0.15862858295440674,0.10870680212974548,0.2103080451488495,1.0,0.10870680212974548,0.36168646812438965,0.34344226121902466,0.14618051052093506,0.1159285232424736
&,0.1358654648065567,0.16294614970684052,0.04340685158967972,0.160298690199852,0.14992168545722961,0.10860954970121384,0.9999998807907104,0.07266713678836823,0.10870680212974548,0.9999998807907104,0.10423384606838226,0.18190616369247437,0.0327712744474411,0.12596383690834045
performance,0.252952516078949,0.27414360642433167,0.23774611949920654,0.2360910028219223,0.260756254196167,0.15144681930541992,0.10423384606838226,0.25398191809654236,0.36168646812438965,0.10423384606838226,1.0000001192092896,0.18553638458251953,0.1145973652601242,0.1587955504655838
galleries,0.2712664008140564,0.28423401713371277,0.1413644701242447,0.12485787272453308,0.27603694796562195,0.17544934153556824,0.18190616369247437,0.16555815935134888,0.34344226121902466,0.18190616369247437,0.18553638458251953,0.9999998807907104,0.21908678114414215,0.1957392692565918
",",0.5201468467712402,0.3658004403114319,0.28560417890548706,0.3015086054801941,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.29216358065605164,0.2516871392726898,0.2156122624874115,0.2487238645553589,0.28863707184791565,0.31091248989105225
formerly,0.25645580887794495,0.31071120500564575,0.06911085546016693,0.143826425075531,0.2854805290699005,0.14726966619491577,0.16683867573738098,0.24537251889705658,0.21327772736549377,0.16683867573738098,0.12181863933801651,0.11838431656360626,0.1407124400138855,0.0843876302242279
the,0.6662389636039734,0.6521818041801453,0.3609684407711029,0.34736719727516174,1.0,0.18580520153045654,0.14992168545722961,0.5829201340675354,0.25594043731689453,0.14992168545722961,0.260756254196167,0.27603694796562195,0.2764171361923218,0.22068053483963013
theatre,0.26776230335235596,0.17380180954933167,0.14061827957630157,0.17782776057720184,0.25594043731689453,0.15862858295440674,0.10870680212974548,0.2103080451488495,1.0,0.10870680212974548,0.36168646812438965,0.34344226121902466,0.14618051052093506,0.1159285232424736
museum,0.2407650351524353,0.22731433808803558,0.1009267270565033,0.14870306849479675,0.24861779808998108,0.07561434060335159,0.18110838532447815,0.14725451171398163,0.3464374840259552,0.18110838532447815,0.15353219211101532,0.54404217004776,0.1323409527540207,0.14128351211547852
",",0.5201468467712402,0.3658004403114319,0.28560417890548706,0.3015086054801941,0.4933079481124878,0.22053663432598114,0.2516871392726898,0.427140474319458,0.29216358065605164,0.2516871392726898,0.2156122624874115,0.2487238645553589,0.28863707184791565,0.31091248989105225
opened,0.2972770035266876,0.24361629784107208,0.17148488759994507,0.2014526128768921,0.28544309735298157,0.07595886290073395,0.1428482085466385,0.20146222412586212,0.35501691699028015,0.1428482085466385,0.20971666276454926,0.2789672017097473,0.39371490478515625,0.1934700310230255
in,1.0,0.4840516746044159,0.3359307050704956,0.2593238651752472,0.6662389636039734,0.15216681361198425,0.1358654648065567,0.539380669593811,0.26776230335235596,0.1358654648065567,0.252952516078949,0.2712664008140564,0.27347445487976074,0.20430970191955566
march,0.29730337858200073,0.13842162489891052,0.27447643876075745,0.27992504835128784,0.2680487632751465,0.11564301699399948,0.141702800989151,0.23374363780021667,0.22269301116466522,0.141702800989151,0.20265606045722961,0.1081869825720787,0.1857151836156845,0.2802562415599823
2009,-0.28531888127326965,-0.23722223937511444,-0.13903464376926422,-0.20252078771591187,-0.23935742676258087,-0.17017494142055511,-0.0035072974860668182,-0.24348297715187073,-0.15492351353168488,-0.0035072974860668182,-0.08186472207307816,-0.22622942924499512,-0.16740059852600098,-0.2287932187318802
.,0.5591574311256409,0.45942068099975586,0.32538118958473206,0.35288307070732117,0.5934505462646484,0.2973858416080475,0.16452857851982117,0.50484299659729,0.2394188642501831,0.16452857851982117,0.18741370737552643,0.2919006645679474,0.28460413217544556,0.4130953550338745
